Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Estimated Revenue Range,Founded Date,Founded Date Precision,Industry Groups,Number of Founders,Number of Employees,Number of Funding Rounds,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Investors,IPO Status,IPO Date,Acquisition Status,Number of Events,Number of Lead Investors,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,IPqwery - Total Patents,IPqwery - Total Trademarks,Investment Stage
Camino Financial,https://www.crunchbase.com/organization/camino-financial,"Commercial Lending, Credit, Financial Services, FinTech, Small and Medium Businesses","Los Angeles, California, United States",Camino Financial is a data-driven fintech platform pioneering affordable small business loans to Latinx businesses,"10,798",,2014-01-01,year,"Financial Services, Lending and Investments",2,51-100,9,20350000,USD,20350000,7,Private,,,,3,Early Stage Venture,2019-12-11,8000000,USD,8000000,Series A,0,1,
JustFoodForDogs,https://www.crunchbase.com/organization/justfoodfordogs,"Food and Beverage, Food Processing, Health Care","West Hollywood, California, United States","Nutritionally Balanced, 100% USDA Ingredients, No Preservatives, Vet Recommended & Always Hand-made in Small Batches.","10,817",$10M to $50M,2010-04-01,day,"Food and Beverage, Health Care",1,11-50,3,11100000,USD,11100000,1,Private,,,,1,,2018-10-25,8500000,USD,8500000,Venture - Series Unknown,0,6,
Hippeas,https://www.crunchbase.com/organization/hippeas,"Food and Beverage, Health Care, Organic Food","Los Angeles, California, United States",Hippeas is a operator of natural snack food companies.,"10,822",$1M to $10M,2015-01-01,year,"Food and Beverage, Health Care",1,11-50,4,22000000,USD,22000000,3,Private,,,,2,,2018-12-07,8000000,USD,8000000,Venture - Series Unknown,,,
Virtualitics,https://www.crunchbase.com/organization/virtualitics,"Artificial Intelligence, Augmented Reality, Data Visualization, Machine Learning, Natural Language Processing, Software, Virtual Reality","Pasadena, California, United States",Virtualitics provides data visualization in virtual reality and augmented reality environments.,"10,846",Less than $1M,2015-01-01,year,"Artificial Intelligence, Data and Analytics, Design, Hardware, Information Technology, Science and Engineering, Software",4,11-50,3,11400000,USD,11400000,2,Private,,,5,2,Early Stage Venture,2018-02-28,7000000,USD,7000000,Series B,2,2,
Matter,https://www.crunchbase.com/organization/matter-music,"Independent Music, Media and Entertainment, Music, Music Streaming","Los Angeles, California, United States",beyond streaming,"10,854",,2019-02-01,month,"Internet Services, Media and Entertainment, Music and Audio",2,1-10,1,500000,USD,500000,,Private,,,,,Seed,2019-06-01,500000,USD,500000,Pre-Seed,0,2,
Apelab,https://www.crunchbase.com/organization/apelab,"Augmented Reality, Digital Entertainment, Media and Entertainment, Software, Virtual Reality","Los Angeles, California, United States",Apelab is a software company focusing on AR/VR/MR.,"10,883",Less than $1M,2014-01-01,year,"Hardware, Media and Entertainment, Software",4,1-10,2,300000,USD,300000,3,Private,,,1,2,Seed,2020-04-03,,,,Seed,,,
Jumpcut,https://www.crunchbase.com/organization/jumpcut-studios,"Digital Media, Education, Film Production, Internet, Social Media Marketing, Video, Video Editing","Los Angeles, California, United States",Jumpcut creates captivating online courses.,"10,919",Less than $1M,2014-06-01,month,"Content and Publishing, Education, Internet Services, Media and Entertainment, Sales and Marketing, Video",3,11-50,2,2000000,USD,2000000,13,Private,,,1,1,Seed,2019-08-06,,,,Seed,,,
Funraise,https://www.crunchbase.com/organization/funraise,"Crowdfunding, Enterprise Software, SaaS, Software","Los Angeles, California, United States",Nonprofit Fundraising Software,"10,936",$1M to $10M,2015-01-01,year,"Financial Services, Software",3,51-100,2,12700000,USD,12700000,3,Private,,,,1,Early Stage Venture,2018-01-30,9700000,USD,9700000,Series A,0,5,Early Stage Venture
AWAK Technologies,https://www.crunchbase.com/organization/awak,"Biotechnology, Wearables","Burbank, California, United States","AWAK develops wearable dialysis machines that operate and function like a normal kidney, for continuous dialysis.","10,936",,2007-01-01,year,"Biotechnology, Consumer Electronics, Hardware, Science and Engineering",1,11-50,3,57200000,USD,57200000,5,Private,,,,2,Early Stage Venture,2019-12-13,40000000,USD,40000000,Series A,,,
Lucid Sight,https://www.crunchbase.com/organization/lucid-sight,"Blockchain, Computer, Cryptocurrency, Ethereum, Product Design, Video Games, Virtual Reality","Los Angeles, California, United States","Lucid Sight, Inc. develops games with digital scarcity and true digital ownership as first principles.","10,968",$1M to $10M,2015-01-01,year,"Consumer Electronics, Design, Financial Services, Gaming, Hardware, Payments, Software",3,11-50,3,11000000,USD,11000000,10,Private,,,,2,Early Stage Venture,2019-04-02,6000000,USD,6000000,Series B,0,11,
Embodied Labs,https://www.crunchbase.com/organization/embodied-labs,"Corporate Training, Elder Care, Health Care, Home Health Care, Nursing and Residential Care, Training, Virtual Reality, Wellness","Los Angeles, California, United States","Embodied Labs is an immersive training platform that improves outcomes in training, awareness, and family and caregiver support.","11,015",Less than $1M,2016-08-01,day,"Education, Hardware, Health Care, Software",3,1-10,1,3200000,USD,3200000,6,Private,,,17,1,Seed,2020-01-13,3200000,USD,3200000,Seed,,,
Lofty AI,https://www.crunchbase.com/organization/lofty-ai,"Artificial Intelligence, Real Estate","Marina Del Rey, California, United States",Lofty AI is a real estate investment technology using artificial intelligence to identify neighborhood growth.,"11,030",,2018-06-01,month,"Artificial Intelligence, Data and Analytics, Real Estate, Science and Engineering, Software",3,1-10,2,800000,USD,800000,11,Private,,,,2,Seed,2019-08-19,800000,USD,800000,Seed,,,
Social Native,https://www.crunchbase.com/organization/social-native,"Advertising, Brand Marketing, Content","Beverly Hills, California, United States",Social Native is a technology platform for creating high performing branded content.,"11,032",,2015-01-01,day,"Advertising, Media and Entertainment, Sales and Marketing",2,11-50,1,8000000,USD,8000000,22,Private,,,1,1,Seed,2017-05-15,8000000,USD,8000000,Seed,0,2,
Syxsense,https://www.crunchbase.com/organization/verismic-software-inc-cloud-management-suite,"Cloud Management, Cloud Security, Enterprise Software, IT Management, Security, Software","Aliso Viejo, California, United States","IT management and security solution that combines Vulnerability Scanning, Patch Management and EDR capabilities","11,181",$1M to $10M,2012-10-10,day,"Information Technology, Internet Services, Privacy and Security, Software",1,51-100,2,2000000,USD,2000000,2,Private,,,,1,Seed,2019-06-19,2000000,USD,2000000,Debt Financing,,,
SetPoint Medical,https://www.crunchbase.com/organization/setpoint-medical,"Biotechnology, Health Care, Medical Device, Neuroscience","Valencia, California, United States",SetPoint Medical treats patients with debilitating inflammatory diseases using proprietary implantable bioelectronic devices.,"11,187",$1M to $10M,2006-01-01,year,"Biotechnology, Health Care, Science and Engineering",3,11-50,7,84300000,USD,84300000,10,Private,,,,1,Late Stage Venture,2017-08-28,30000000,USD,30000000,Series D,31,3,
Hype and Vice,https://www.crunchbase.com/organization/hype-and-vice,"E-Commerce, Education, Fashion, Lifestyle, Retail","Los Angeles, California, United States",Hype and Vice combines on-trend fashion with University brands to create apparel women actually want to wear.,"11,200",,2015-11-23,day,"Clothing and Apparel, Commerce and Shopping, Community and Lifestyle, Design, Education",2,1-10,2,1650000,USD,1650000,5,Private,,,,2,Seed,2019-11-13,1500000,USD,1500000,Seed,0,4,
Mahmee,https://www.crunchbase.com/organization/mahmee,"Health Care, mHealth, Women's","Los Angeles, California, United States","Mahmee provides comprehensive, personalized supports and care management pregnancy through infancy.","11,210",Less than $1M,2014-01-01,year,"Health Care, Mobile",2,11-50,4,3000000,USD,3000000,12,Private,,,1,2,Seed,2019-09-01,,,,Seed,0,1,
HomeHero,https://www.crunchbase.com/organization/homehero,"Health Care, Home Health Care, Internet, Service Industry","Santa Monica, California, United States",HomeHero is a non-medical home care provider that leverages technology and human compassion to extend the health system into the home.,"11,229",,2013-05-01,day,"Health Care, Internet Services",2,11-50,3,23000000,USD,23000000,9,Private,,,,2,Seed,2016-03-28,,,,Pre-Seed,,,
Quarterly,https://www.crunchbase.com/organization/quarterly,"E-Commerce, Gift Card","Culver City, California, United States",Quarterly offers a design-oriented subscription service enabling anyone to sign up and receive curated gifts from influential contributors.,"11,238",,2011-05-01,day,"Commerce and Shopping, Financial Services",1,11-50,4,3650000,USD,3650000,11,Private,,Made Acquisitions,,1,Early Stage Venture,2015-09-02,,,,Convertible Note,,,
Skechers U.S.A.,https://www.crunchbase.com/organization/skechers-u-s-a,"Fashion, Lifestyle, Shopping","Manhattan Beach, California, United States","SKECHERS USA, Inc. designs, develops and markets more than 3,000 styles for men, women and children.","11,249",$1B to $10B,1992-01-01,year,"Clothing and Apparel, Commerce and Shopping, Community and Lifestyle, Design",1,5001-10000,1,500000000,USD,500000000,,Public,1999-06-09,Made Acquisitions,,,IPO,2019-11-26,500000000,USD,500000000,Post-IPO Debt,,,
Monkey,https://www.crunchbase.com/organization/monkey-9122,"Mobile Apps, Social Network, Video Chat","Los Angeles, California, United States",Monkey is a social networking app where like-minded people meet.,"11,264",,2017-01-01,year,"Apps, Information Technology, Internet Services, Messaging and Telecommunications, Mobile, Software",3,1-10,1,2000000,USD,2000000,2,Private,,Was Acquired,,,M&A,2017-02-01,2000000,USD,2000000,Seed,,,
Iodine,https://www.crunchbase.com/organization/iodine,"Analytics, Data Visualization, Health Care, Internet, Location Based Services","Santa Monica, California, United States",Iodine is a healthcare company helps people find the right medications.,"11,271",,2013-01-01,year,"Data and Analytics, Design, Health Care, Information Technology, Internet Services, Navigation and Mapping, Software",2,11-50,2,2500000,USD,2500000,10,Private,,Was Acquired,,,M&A,2014-02-28,2500000,USD,2500000,Seed,0,6,
ArmaGen Technologies,https://www.crunchbase.com/organization/armagen-technologies,"Biotechnology, Health Care, Medical","Santa Monica, California, United States",ArmaGen is focused on developing technologies for siRNA delivery across the blood-brain barrier.,"11,288",$1M to $10M,2001-01-01,year,"Biotechnology, Health Care, Science and Engineering",1,11-50,2,25492899,USD,25492899,4,Private,,Was Acquired,,1,M&A,2012-11-29,17000000,USD,17000000,Series A,3,1,
Ticketmaster,https://www.crunchbase.com/organization/ticketmaster,"Concerts, Digital Entertainment, Enterprise Software, Events, Media and Entertainment, Mobile, Social Media, Ticketing","West Hollywood, California, United States",Ticketmaster is the world’s largest ticket marketplace and the global market leader in live event ticketing.,"11,306",$1B to $10B,1976-01-01,year,"Events, Internet Services, Media and Entertainment, Mobile, Software",4,5001-10000,1,,,,1,Public,1996-11-19,"Made Acquisitions, Was Acquired",4,,M&A,1997-11-20,,,,Venture - Series Unknown,19,0,
Koia,https://www.crunchbase.com/organization/koia,"Food and Beverage, Food Delivery, Food Processing","Los Angeles, California, United States",Koia fresh plant-based protein beverages.,"11,351",$1M to $10M,2014-01-01,year,"Food and Beverage, Transportation",3,1-10,3,7500000,USD,7500000,3,Private,,,,2,,2018-10-23,,,,Undisclosed,,,
ForwardLine,https://www.crunchbase.com/organization/forwardline,"Financial Services, Small and Medium Businesses","Woodland Hills, California, United States","ForwardLine is a non-bank lender providing small business owners, nationwide, with alternatives to traditional business loans.","11,363",$1M to $10M,2003-01-01,year,Financial Services,3,51-100,2,120000000,USD,120000000,2,Private,,,,2,,2019-09-26,20000000,USD,20000000,Venture - Series Unknown,0,5,
mitú,https://www.crunchbase.com/organization/mitú,"Communities, Hospitality, Publishing","Santa Monica, California, United States",Home to the largest community of Latino,"11,377",$1M to $10M,2012-01-01,year,"Community and Lifestyle, Content and Publishing, Media and Entertainment, Travel and Tourism",3,51-100,5,52000000,USD,52000000,13,Private,,Was Acquired,2,2,M&A,2018-11-14,10000000,USD,10000000,Series D,1,10,
Reaction Commerce,https://www.crunchbase.com/organization/ongo-works,"E-Commerce, E-Commerce Platforms, Information Technology, Internet, Marketplace, Open Source, Software","Santa Monica, California, United States",Reaction Commerce is an open and real-time commerce platform for modern retailers.,"11,406",$1M to $10M,2013-10-01,day,"Commerce and Shopping, Information Technology, Internet Services, Software",2,11-50,2,11200000,USD,11200000,8,Private,,,,2,Early Stage Venture,2017-10-31,8500000,USD,8500000,Series A,0,4,
PKRS.AI,https://www.crunchbase.com/organization/peakers,"Artificial Intelligence, Internet, Machine Learning, Sports","Santa Monica, California, United States","The future of personal coaching. AI powered, human enhanced.","11,464",,2018-01-01,day,"Artificial Intelligence, Data and Analytics, Internet Services, Science and Engineering, Software, Sports",1,11-50,4,4095000,USD,4095000,1,Private,,,,1,Seed,2019-09-20,2750000,USD,2750000,Seed,0,2,
TPx Communications,https://www.crunchbase.com/organization/telepacific-communications,"Internet, ISP, Telecommunications, Web Hosting","Los Angeles, California, United States","TPx Communications provides business internet, phone and data services for business telecommunication needs.","11,466",,1998-01-01,year,"Hardware, Internet Services",1,1001-5000,5,292000000,USD,292000000,2,Private,,"Made Acquisitions, Was Acquired",9,2,M&A,2011-07-26,125000000,USD,125000000,Private Equity,,,
BeautyCon,https://www.crunchbase.com/organization/beautycon,"Beauty, Fashion, Lifestyle","Los Angeles, California, United States",BeautyCon Media is a website for all things beauty and fashion.,"11,467",,2011-01-01,year,"Clothing and Apparel, Community and Lifestyle, Consumer Goods, Design",3,11-50,4,11000000,USD,11000000,26,Private,,,,1,Early Stage Venture,2018-01-15,,,,Series A,0,9,
Rally Cry,https://www.crunchbase.com/organization/rally-cry,"Gaming, Media and Entertainment","Irvine, California, United States",Rally Cry is an early-stage gaming technology startup located in Southern California.,"11,487",,2020-01-01,year,"Gaming, Media and Entertainment",3,1-10,1,1200000,USD,1200000,8,Private,,,,,Seed,2020-03-26,1200000,USD,1200000,Seed,,,
Intellect,https://www.crunchbase.com/organization/interneer,"Enterprise Software, Information Technology, SaaS, Software","Los Angeles, California, United States","Intellect, is a leader in SaaS BPM software that helps to empower everyone to innovate with Smart Business Apps.","11,503",$1M to $10M,2000-01-01,year,"Information Technology, Software",1,11-50,6,4100000,USD,4100000,2,Private,,,,1,Seed,2018-03-30,200000,USD,200000,Debt Financing,2,3,
Liberman Broadcasting,https://www.crunchbase.com/organization/liberman-broadcasting,"Broadcasting, Music, TV","Burbank, California, United States","LBI Media, Inc. engages in the ownership and operation of Spanish-language radio and television","11,510",$100M to $500M,1987-01-01,year,"Media and Entertainment, Music and Audio, Video",1,501-1000,1,211526000,USD,211526000,,Private,,,,,,2015-01-07,211526000,USD,211526000,Debt Financing,,,
Tuition.io,https://www.crunchbase.com/organization/tuition-io,"Education, Finance, Financial Services, Personal Finance","Santa Monica, California, United States","Tuition.io delivers student loan contributions as a benefit, allowing companies and governments of all sizes to recruit and retain talent.","11,613",,2011-01-01,year,"Education, Financial Services",2,11-50,5,15150000,USD,15150000,19,Private,,,1,2,Early Stage Venture,2017-09-21,7000000,USD,7000000,Series B,0,1,
"Stop, Breathe & Think, PBC",https://www.crunchbase.com/organization/stop-breathe-think-pbc,"Fitness, Health Care, Mobile","Santa Monica, California, United States",Inspiring the world to practice mental wellness every day,"11,654",,2016-01-01,year,"Health Care, Mobile, Sports",2,1-10,3,3000000,USD,3000000,2,Private,,Was Acquired,,1,M&A,2018-10-01,600000,USD,600000,Seed,0,1,
"ODK Media, Inc.",https://www.crunchbase.com/organization/odk-media,"Media and Entertainment, Video Streaming","Fullerton, California, United States","Korean TV, Movies, Video Streaming","11,688",Less than $1M,2011-12-31,day,"Content and Publishing, Media and Entertainment, Video",4,11-50,2,3562743,USD,3562743,3,Private,,,,,Early Stage Venture,2014-04-01,2062743,USD,2062743,Series B,0,4,
Workpop,https://www.crunchbase.com/organization/workpop,"Internet, Recruiting, Small and Medium Businesses, Software","Santa Monica, California, United States",Workpop is a seamless hiring platform for small and medium businesses.,"11,690",,2014-02-01,month,"Internet Services, Professional Services, Software",4,11-50,3,16100000,USD,16100000,18,Private,,Was Acquired,,1,M&A,2016-04-01,8200000,USD,8200000,Venture - Series Unknown,0,5,
Jakks Pacific,https://www.crunchbase.com/organization/jakks-pacific,"Electronics, Green Consumer Goods, Toys","Santa Monica, California, United States","JAKKS Pacific designs, develops, produces, and markets consumer products for kids.","11,698",$100M to $500M,1995-01-01,year,"Consumer Electronics, Consumer Goods, Hardware, Sustainability",1,501-1000,2,75000000,USD,75000000,2,Public,1998-06-10,Made Acquisitions,,,IPO,2016-10-17,,,,Post-IPO Equity,44,320,
Enplug,https://www.crunchbase.com/organization/enplug,"Advertising, Digital Signage, Enterprise Software, Local Advertising, SaaS, Social Media, Software","Culver City, California, United States",Enplug is a software company that built the first open platform for digital displays everywhere.,"11,698",$1M to $10M,2012-09-01,day,"Advertising, Internet Services, Media and Entertainment, Sales and Marketing, Software",5,11-50,3,3700000,USD,3700000,16,Private,,,,,Seed,2014-04-17,2500000,USD,2500000,Seed,6,2,
Unitas Global,https://www.crunchbase.com/organization/unitas-global,"Cloud Computing, Cloud Management, Enterprise Software, IaaS, Private Cloud","Los Angeles, California, United States",Enterprise Managed Cloud and Cloud Connectivity Solutions,"11,718",$50M to $100M,2009-01-01,year,"Hardware, Information Technology, Internet Services, Software",4,101-250,4,20600000,USD,20600000,5,Private,,Made Acquisitions,,1,Late Stage Venture,2018-01-17,10000000,USD,10000000,Series C,0,7,
Vetted PetCare,https://www.crunchbase.com/organization/vetted-petcare,"Health Care, Medical, Pet, Veterinary","Los Angeles, California, United States",Vetted PetCare provides veterinarians for in-home care and video triage.,"11,729",$1M to $10M,2015-01-01,year,"Community and Lifestyle, Health Care",1,1-10,2,3450000,USD,3450000,5,Private,,Made Acquisitions,,1,,2019-11-26,150000,USD,150000,Venture - Series Unknown,,,
EcoSense Lighting,https://www.crunchbase.com/organization/ecosense-lighting,"Consumer Applications, Electronics, Manufacturing, Product Design, Software","Los Angeles, California, United States",EcoSense Lighting designs and develops lighting solutions for commercial and residential applications.,"11,729",$10M to $50M,2009-01-01,year,"Apps, Consumer Electronics, Design, Hardware, Manufacturing, Software",1,51-100,5,56788185,USD,56788185,2,Private,,Made Acquisitions,,2,Late Stage Venture,2014-12-16,25215501,USD,25215501,Series C,95,20,
Digital Map Products,https://www.crunchbase.com/organization/digital-map-products,"Cloud Data Services, Geospatial, Location Based Services, PaaS, Real Estate, SaaS, Software","Irvine, California, United States",We provide context to the world around you with the most extensible location intelligence platform available.,"11,758",$10M to $50M,2000-10-01,month,"Data and Analytics, Information Technology, Internet Services, Navigation and Mapping, Real Estate, Software",1,101-250,3,41227000,USD,41227000,2,Private,,"Made Acquisitions, Was Acquired",2,1,M&A,2016-09-15,36300000,USD,36300000,Private Equity,2,5,
HMBradley,https://www.crunchbase.com/organization/hmbradley,"Apps, Banking, Finance, Financial Services, Mobile, Wealth Management","Santa Monica, California, United States",HMBradley develops a digital banking platform that automates the process of physical banking.,"11,765",,2018-01-01,year,"Apps, Financial Services, Lending and Investments, Mobile, Software",3,11-50,1,3500000,USD,3500000,5,Private,,,,2,Seed,2019-11-06,3500000,USD,3500000,Seed,0,1,
Songtradr,https://www.crunchbase.com/organization/songtradr,"Digital Media, E-Commerce, Marketplace, Music, Music Streaming","Santa Monica, California, United States","Songtradr is an online marketplace designed to facilitate music licensing for films, TV shows, ads, apps, and other media.","11,786",,2014-01-01,year,"Commerce and Shopping, Internet Services, Media and Entertainment, Music and Audio",1,11-50,7,21240000,USD,21240000,3,Private,,Made Acquisitions,2,2,Early Stage Venture,2019-03-21,12000000,USD,12000000,Series B,2,5,
Plant Prefab,https://www.crunchbase.com/organization/plant-prefab,"Architecture, Construction, GreenTech, Manufacturing, Smart Building","Rialto, California, United States",Plant Prefab is the first prefabricated home factory in the nation dedicated to sustainable construction.,"11,817",,2015-01-01,year,"Manufacturing, Real Estate, Sustainability",1,,2,9700000,USD,9700000,3,Private,,,,2,Early Stage Venture,2018-09-25,6700000,USD,6700000,Series A,1,1,
BookingPal,https://www.crunchbase.com/organization/bookingpal,"Leisure, SaaS, Travel","Irvine, California, United States","BookingPal is a distribution platform for vacation rental properties, resorts, campgrounds and RV park owners.","11,857",$1M to $10M,2013-01-01,year,"Community and Lifestyle, Software, Travel and Tourism",1,11-50,5,22009994,USD,22009994,8,Private,,,,3,Late Stage Venture,2019-03-04,12000000,USD,12000000,Series D,0,3,
TOCA Football,https://www.crunchbase.com/organization/toca-football,"Recreation, Soccer, Sports","Costa Mesa, California, United States",TOCA is a soccer technology company that aims to disrupt and elevate the soccer experience through user-centered technology.,"11,863",$10M to $50M,2013-01-01,year,Sports,1,11-50,3,36460671,USD,36460671,2,Private,,,,1,Late Stage Venture,2019-10-30,25000000,USD,25000000,Series D,6,27,
Quality Systems,https://www.crunchbase.com/organization/quality-systems,"Biotechnology, Health Care, Medical","Irvine, California, United States",Quality Systems develops healthcare information systems that automate medical and dental practices.,"11,869",$500M to $1B,1974-01-01,year,"Biotechnology, Health Care, Science and Engineering",1,1001-5000,3,323394037,USD,323394037,2,Public,1982-12-10,Made Acquisitions,,2,IPO,2018-04-02,300000000,USD,300000000,Post-IPO Debt,0,7,
Anine Bing,https://www.crunchbase.com/organization/anine-bing,"E-Commerce, Internet, Retail, Shopping","Los Angeles, California, United States","ANINE BING offers luxurious staples, wardrobe basics and statement pieces that are current and timeless.","11,880",$10M to $50M,2012-01-01,year,"Commerce and Shopping, Internet Services",1,,1,15000000,USD,15000000,3,Private,,,,1,Early Stage Venture,2018-09-01,15000000,USD,15000000,Series A,0,6,
Breitbart News Network,https://www.crunchbase.com/organization/breitbart-news-network,"Media and Entertainment, News, Publishing","Los Angeles, California, United States",Breitbart News Network offers real-time access to news and analysis sources online.,"11,895",$1M to $10M,2007-01-01,year,"Content and Publishing, Media and Entertainment",1,1-10,1,10000000,USD,10000000,,Private,,,,,,2011-09-26,10000000,USD,10000000,Venture - Series Unknown,0,1,
SurveySparrow,https://www.crunchbase.com/organization/surveysparrow,Market Research,"Walnut, California, United States","SurveySparrow lets you collect feedback naturally, gain insights and make better decisions.","11,910",,2017-03-02,day,"Data and Analytics, Design",2,11-50,1,1425000,USD,1425000,1,Private,,,,1,,2019-04-02,1425000,USD,1425000,Venture - Series Unknown,,,
DMarket,https://www.crunchbase.com/organization/dmarket,"Digital Entertainment, Gaming, Internet","Santa Monica, California, United States",DMarket is an in-game item trading platform.,"11,932",,2017-05-01,month,"Gaming, Internet Services, Media and Entertainment",3,101-250,1,19000000,USD,19000000,3,Private,,,5,1,,2017-12-05,19000000,USD,19000000,Initial Coin Offering,,,
Luxury Presence,https://www.crunchbase.com/organization/luxury-presence,"Advertising, Real Estate","Santa Monica, California, United States",Website and marketing system used by the world’s leading real estate agents and brokers.,"11,952",$1M to $10M,2014-01-01,year,"Advertising, Real Estate, Sales and Marketing",1,,2,5400000,USD,5400000,7,Private,,,,1,Early Stage Venture,2020-01-08,5400000,USD,5400000,Series A,,,
Jukin Media,https://www.crunchbase.com/organization/jukin-media,"Digital Entertainment, Digital Media, TV Production","Los Angeles, California, United States",Jukin Media is the global leader in user-generated entertainment,"11,954",,2009-01-01,year,"Media and Entertainment, Video",3,101-250,6,8400000,USD,8400000,7,Private,,Made Acquisitions,9,,,2016-06-30,2500000,USD,2500000,Debt Financing,0,53,
Yamibuy,https://www.crunchbase.com/organization/yamibuy,"Beauty, E-Commerce, Retail","Brea, California, United States",Yamibuy is the leading Asian-centric Internet retailer in the U.S.,"11,954",,2013-03-28,day,"Commerce and Shopping, Consumer Goods",1,251-500,1,10000000,USD,10000000,3,Private,,,,1,Early Stage Venture,2017-07-10,10000000,USD,10000000,Series A,0,4,
Patch of Land,https://www.crunchbase.com/organization/patch-of-land,"Crowdfunding, Finance, FinTech, Internet, Lending, Real Estate","Los Angeles, California, United States",Patch of Land is real estate crowdfunding site that brings together borrowers and investors through a simple online interface,"11,971",,2013-02-02,day,"Financial Services, Internet Services, Real Estate",3,51-100,3,24925000,USD,24925000,6,Private,,,3,1,Early Stage Venture,2015-04-08,23600000,USD,23600000,Series A,0,4,
Homestead,https://www.crunchbase.com/organization/homestead,"Construction, Property Development, Property Management, Real Estate","Los Angeles, California, United States",Homestead finances and manages the conversion of garages into rental apartments.,"11,977",,2019-12-17,day,Real Estate,2,11-50,1,150000,USD,150000,1,Private,,,,,Seed,2020-03-16,150000,USD,150000,Seed,,,
Opus Bank,https://www.crunchbase.com/organization/opus-bank,"Banking, Real Estate, Service Industry","Irvine, California, United States",Opus Bank's mission is to identify and accelerate the work of business leaders and successful entrepreneurs who have proven their ability.,"11,999",$50M to $100M,2010-09-30,day,"Financial Services, Lending and Investments, Real Estate",2,501-1000,1,53000000,USD,53000000,,Public,2014-04-17,Made Acquisitions,,,IPO,2017-02-15,53000000,USD,53000000,Post-IPO Equity,0,7,
Spaces,https://www.crunchbase.com/organization/spaces-6,"Augmented Reality, Computer, Software, Virtual Reality, Virtual World","Santa Monica, California, United States","SPACES designs VR, AR and MR experiences for theme parks, retail, and other public locations worldwide.","12,072",$1M to $10M,2016-01-01,year,"Community and Lifestyle, Consumer Electronics, Hardware, Media and Entertainment, Software",2,11-50,2,9500000,USD,9500000,11,Private,,,,2,,2017-01-13,6500000,USD,6500000,Venture - Series Unknown,,,
United Capital,https://www.crunchbase.com/organization/united-capital,"Advice, Consulting, Financial Services, Wealth Management","Newport Beach, California, United States",United Capital is a wealth counseling company assisting clients achieve empowerment over their financial aspirations.,"12,074",$10M to $50M,2005-01-01,year,"Financial Services, Media and Entertainment",2,501-1000,1,38000000,USD,38000000,3,Private,,"Made Acquisitions, Was Acquired",,1,M&A,2013-10-21,38000000,USD,38000000,Venture - Series Unknown,1,1,
Brighter.com,https://www.crunchbase.com/organization/brighter,"Dental, Health Care, Information Technology, Internet, Marketplace","Santa Monica, California, United States",Brighter creates an online marketplace that allows members to compare dentists by price and reputation.,"12,086",,2011-01-01,year,"Commerce and Shopping, Health Care, Information Technology, Internet Services",1,51-100,4,49000000,USD,49000000,5,Private,,Was Acquired,,4,M&A,2016-04-20,21000000,USD,21000000,Series D,1,18,
Connexity,https://www.crunchbase.com/organization/connexity,"Advertising, E-Commerce, Internet, Internet of Things, Marketing, Online Portals","Los Angeles, California, United States",Connexity is an integrated digital advertising company providing optimized audience buying and selling solutions.,"12,096",,1997-07-01,day,"Advertising, Commerce and Shopping, Internet Services, Sales and Marketing",,501-1000,3,5000000,USD,5000000,4,Private,,"Made Acquisitions, Was Acquired",4,1,M&A,2012-08-02,3000000,USD,3000000,Seed,10,40,
FreedomPop,https://www.crunchbase.com/organization/freedompop,"Internet, Mobile, Wireless","West Los Angeles, California, United States",FreedomPop is a free internet and free phone service provider.,"12,144",,2011-01-01,year,"Hardware, Internet Services, Mobile",1,101-250,8,109300009,USD,109300009,9,Private,,,,6,Late Stage Venture,2016-01-20,50000000,USD,50000000,Series C,,,
Mars Reel,https://www.crunchbase.com/organization/mars-reel,"Digital Media, Internet, Sports, Video","Los Angeles, California, United States",Mars Reel Media is building a sports network for high school and amateur sports.,"12,243",,2010-01-01,year,"Internet Services, Media and Entertainment, Sports, Video",2,11-50,2,4825000,USD,4825000,24,Private,,,1,3,Seed,2018-08-01,4700000,USD,4700000,Seed,0,1,
Envoy Technologies Inc.,https://www.crunchbase.com/organization/envoy-there,"Car Sharing, Communities, Electric Vehicle, Real Estate, Transportation","Culver City, California, United States",Envoy provides electric vehicle (EV) carsharing as an amenity within communities.,"12,250",$1M to $10M,2017-04-01,month,"Community and Lifestyle, Real Estate, Transportation",2,11-50,5,6500000,USD,6500000,3,Private,,,1,1,Seed,2019-09-01,5000000,USD,5000000,Seed,0,2,
GlobeNewswire,https://www.crunchbase.com/organization/globenewswire,"News, Publishing","Los Angeles, California, United States","GlobeNewswire is specialized in the delivery of corporate press releases, financial disclosures, and multimedia content.","12,293",$1M to $10M,1998-01-01,year,"Content and Publishing, Media and Entertainment",,1-10,,,,,,Private,,,,,,,,,,,,,
