Organization/Person Name,Organization/Person Name URL,Location,Industries,CB Rank (Company),Description,Estimated Revenue Range,Founded Date,Founded Date Precision,Industry Groups,Number of Founders,Number of Employees,Number of Funding Rounds,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Investors,IPO Status,IPO Date,Acquisition Status,Number of Events,Number of Lead Investors,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,IPqwery - Patents,IPqwery - Trademarks
Nimble CRM,https://www.crunchbase.com/organization/nimble-crm,"Santa Monica, California, United States","Collaboration, CRM, SaaS, Software","8,903",Nimble is a Web and SaaS-based platform providing small businesses with high-end CRM systems combined with social media.,$1M to $10M,2009-04-01,day,"Information Technology, Sales and Marketing, Software",2,11-50,4,12000000,USD,12000000,13,Private,,,1,1,Early Stage Venture,2017-03-02,9000000,USD,9000000,Series A,0,15
FitOn,https://www.crunchbase.com/organization/fiton,"Los Angeles, California, United States","Fitness, Mobile Apps, Personal Health, Wellness","8,916",Workout together from anywhere.,,2018-01-01,year,"Apps, Health Care, Mobile, Software, Sports",2,11-50,2,5049000,USD,5049000,,Private,,,,,Seed,2018-11-21,4649000,USD,4649000,Seed,0,3
CareerArc,https://www.crunchbase.com/organization/careerarc,"Los Angeles, California, United States","Human Resources, SaaS","8,940",CareerArc is an HR technology company helping business leaders recruit and transition the modern workforce.,$1M to $10M,2009-01-01,year,Software,1,101-250,1,30000000,USD,30000000,1,Private,,Made Acquisitions,2,1,Private Equity,2019-01-14,30000000,USD,30000000,Private Equity,0,17
Clearinghouse CDFI,https://www.crunchbase.com/organization/clearinghouse-cdfi,"Lake Forest, California, United States","Commercial Lending, Construction, Financial Services, Small and Medium Businesses","8,944",Clearinghouse CDFI is a community development lender that finances projects benefiting low-income and under-served communities.,$1M to $10M,1996-01-01,year,"Financial Services, Lending and Investments, Real Estate",1,11-50,5,6550000,USD,6550000,5,Private,,,,5,,2020-03-19,3000000,USD,3000000,Grant,,
Mobilitie,https://www.crunchbase.com/organization/mobilitie,"Newport Beach, California, United States","Infrastructure, Mobile, Wireless","8,961",Mobilitie develops and operates networks and infrastructure that wireless carriers rely upon to provide coverage for their customers.,$100M to $500M,2005-01-01,year,"Hardware, Mobile",1,501-1000,2,425000000,USD,425000000,3,Private,,,4,2,Private Equity,2015-11-10,325000000,USD,325000000,Debt Financing,48,50
Retention Science,https://www.crunchbase.com/organization/retention-science,"Santa Monica, California, United States","CRM, Marketing Automation, Predictive Analytics, SaaS","9,007","Retention Science, the global leader in Retention Marketing, is the best way to target, engage and retain your customers.",,2011-01-01,year,"Artificial Intelligence, Data and Analytics, Information Technology, Sales and Marketing, Software",1,51-100,4,10250000,USD,10250000,11,Private,,,,2,Early Stage Venture,2014-08-05,7000000,USD,7000000,Series A,,
8i,https://www.crunchbase.com/organization/8i,"Los Angeles, California, United States","3D Technology, Computer, Software, Virtual Reality","9,013",8i is a virtual reality software development company focusing on creating life like humans in virtual reality.,,2014-05-01,month,"Consumer Electronics, Hardware, Software",4,11-50,3,41481914,USD,41481914,26,Private,,,1,3,Early Stage Venture,2017-02-13,27000000,USD,27000000,Series B,0,4
Ryff,https://www.crunchbase.com/organization/ryff,"Los Angeles, California, United States","Ad Targeting, Advertising, Artificial Intelligence, Digital Marketing, Digital Media, Marketing, Media and Entertainment","9,027",Dynamic digital brand integration and story telling using AI and visual computing.,$1M to $10M,2018-06-14,day,"Advertising, Artificial Intelligence, Data and Analytics, Media and Entertainment, Sales and Marketing, Science and Engineering, Software",4,11-50,3,8600000,USD,8600000,4,Private,,,,1,,2019-12-17,5000000,USD,5000000,Venture - Series Unknown,,
BloomNation,https://www.crunchbase.com/organization/bloomnation,"Los Angeles, California, United States","E-Commerce, Flowers, Marketplace, Retail, SaaS","9,061","Largest marketplace for fresh artisan flowers and complete end-to-end SaaS platform (web-builder, CRM, PoS) for local independent florists.",,2010-03-22,day,"Commerce and Shopping, Consumer Goods, Software",3,11-50,2,7200000,USD,7200000,7,Private,,,2,2,Early Stage Venture,2014-10-07,5550000,USD,5550000,Series A,0,5
Prevoty,https://www.crunchbase.com/organization/prevoty,"Los Angeles, California, United States","Cyber Security, Developer Tools, Information Technology, Security","9,068",Prevoty is a provider of RASP security that enables enterprises to automatically protect their applications in production.,,2013-03-01,day,"Information Technology, Privacy and Security, Software",2,11-50,4,25827000,USD,25827000,12,Private,,Was Acquired,6,5,M&A,2017-12-05,13000000,USD,13000000,Series B,7,0
Bitvore,https://www.crunchbase.com/organization/bitvore,"Irvine, California, United States","Artificial Intelligence, Big Data, Machine Learning, Real Time, Software","9,080",Real-time information for companies.,,2009-01-01,year,"Artificial Intelligence, Data and Analytics, Science and Engineering, Software",2,11-50,4,27294700,USD,27294700,3,Private,,,,1,,2018-02-02,14200000,USD,14200000,Venture - Series Unknown,21,11
Laurel & Wolf,https://www.crunchbase.com/organization/laurelandwolf,"Los Angeles, California, United States","E-Commerce, Fashion, Interior Design, Internet, Lifestyle, Marketplace","9,086",Laurel & Wolf is the leading online interior design marketplace. We make professional interior design affordable & accessible for everyone.,$1M to $10M,2014-01-01,year,"Clothing and Apparel, Commerce and Shopping, Community and Lifestyle, Design, Internet Services, Real Estate",2,51-100,4,25500000,USD,25500000,14,Private,,,3,1,Early Stage Venture,2015-09-02,20000000,USD,20000000,Series B,0,1
"Elevate Services, Inc.",https://www.crunchbase.com/organization/elevate-services-inc,"Los Angeles, California, United States","Consulting, Information Technology, Legal","9,104","Elevate is the law company. We provide consulting, technology and services to law departments and law firms.",$10M to $50M,2011-01-01,year,"Information Technology, Professional Services",1,1001-5000,2,25000000,USD,25000000,2,Private,,Made Acquisitions,1,1,,2019-06-17,25000000,USD,25000000,Venture - Series Unknown,0,4
