Full Description,Organization Name,Organization Name URL,Industries,Headquarters Location,Description,Number of Funding Rounds,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),CB Rank (Organization),Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Company Type,Website,Number of Employees,Number of Founders,Industry Groups,Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,IPO Status,Number of Events
"Whisper is building the media company of the future. Each month, over 250 million people across the web consume Whisper stories, videos and posts - which showcase authentic, eye opening perspectives from Whisper users around the globe. Whisper stories and videos are powered by Eliot, Whisper’s AI storytelling technology. Whisper’s mobile app is the largest platform where people share real thoughts and feelings, without identities.  Whisper is backed by venture investors including Sequoia Capital, Tencent, Lightspeed Venture Partners, Thrive Capital and Shasta Ventures. The Whisper app is available on iOS and Android. .",Whisper,https://www.crunchbase.com/organization/whisper,"Media and Entertainment, Mobile","Venice, California, United States","Whisper is an AI powered media company. Each month, over 250 million people across the web consume Whisper content.",5,M&A,61000000,USD,61000000,"1,832",$1M to $10M,Active,2012-01-01,year,2019-10-19,day,For Profit,http://whisper.sh,51-100,2,"Media and Entertainment, Mobile","Tencent Holdings, Sequoia Capital, Lightspeed Venture Partners, Susa Ventures, Shasta Ventures",3,17,,Was Acquired,Private,1
"Mavenlink is a modern software platform for professional and marketing services organizations. It is the only solution that helps services firms establish an operational system of record that facilitates their business lifecycle, including key capabilities like resource management, project management, collaboration, project accounting, and BI. Services organizations in more than 100 countries are improving operational execution, increasing agility, and driving improved financial performance with Mavenlink. Mavenlink was recently named one of the fastest growing companies in North America by Deloitte, is the only solution to be listed as a Leader in both G2 Crowd’s Best Professional Services Automation and Best Project Management Software grids, and was recently named A Cool Vendor by Gartner, the world's leading technology research and advisory firm. The company was founded in 2008 and is based in Irvine, California.",Mavenlink,https://www.crunchbase.com/organization/mavenlink,"Business Intelligence, Collaboration, Enterprise Software, Professional Services, Project Management, SaaS, Software","Irvine, California, United States",Mavenlink is a transformative SaaS platform for the modern professional services organization. ,5,Late Stage Venture,111464000,USD,111464000,"1,886",Less than $1M,Active,2008-09-01,day,,,For Profit,https://www.mavenlink.com/,251-500,3,"Data and Analytics, Software","Goldman Sachs, Silicon Valley Bank, Carrick Capital Partners",2,3,,,Private,7
"Viking Cruises is leader in river and small ship ocean cruising, offers destination-focused itineraries designed for experienced travelers who have an interest in geography, culture and history. In its first year of operation, Viking Ocean Cruises was rated the #1 ocean cruise line in Travel + Leisure’s 2016 “World’s Best” Awards, which came on the heels of being rated the highest of all cruise lines in the 2015 “World’s Best” Awards. Viking currently operates a fleet of 61 vessels, offering scenic cruising along the rivers and oceans of the Americas, Europe, Russia, Egypt, China, and Southeast Asia.",Viking Cruises,https://www.crunchbase.com/organization/viking-cruises,"Leisure, Travel","Woodland Hills, California, United States",Viking Cruises is a provider of worldwide river and ocean cruises.,1,Private Equity,500000000,USD,500000000,"1,938",$50M to $100M,Active,1997-01-01,year,,,For Profit,https://www.vikingcruises.com/,1001-5000,1,"Community and Lifestyle, Travel and Tourism","TPG, Canada Pension Plan Investment Board",2,2,,,Private,
"Wheels operates a shared electric mobility platform designed to revolutionize dockless mobility. The company's platform offers hybrid electric vehicles that are sleek in design with swappable parts, batteries and real-time dynamic maintenance upkeep with the built-in bluetooth speakers as well as charging point for phone, enabling users to get low-cost, fun and comfortable ebikes to get around cities through the connection of a smartphone.",Wheels,https://www.crunchbase.com/organization/wheels-7fda,"Autonomous Vehicles, Electric Vehicle, Transportation, Travel","Los Angeles, California, United States",Wheels operates a shared electric mobility platform designed to revolutionize dockless mobility.,4,,89749991,USD,89749991,"1,956",$1M to $10M,Active,2018-01-01,year,,,For Profit,http://www.takewheels.com/,11-50,3,"Transportation, Travel and Tourism","Alumni Ventures Group, Bullpen Capital, Naval Ravikant, Tenaya Capital, Crosscut Ventures",4,10,,,Private,
"Jam City is a leader in mobile entertainment, providing unique and deeply engaging games that appeal to broad global audiences. Jam City was founded in 2009 by MySpace cofounder and CEO Chris DeWolfe and former 20th Century Fox executive Josh Yguado.  Jam City is the creative powerhouse behind some of the highest grossing and most enduring social gaming franchises for mobile, including Cookie Jam (Facebook “Game of the Year” winner) and Panda Pop. Jam City is the go-to studio for Hollywood, having developed immersive, narrative rich mobile games around iconic entertainment brands including Harry Potter, Family Guy and Marvel Avengers.  Jam City has studios in Los Angeles (HQ), San Francisco, San Diego, Bogotá and Buenos Aires. The Jam City team is known for its creative excellence and technological innovation in key areas including storytelling, data science and audience insights.",Jam City,https://www.crunchbase.com/organization/jam-city,"Digital Entertainment, Gaming, Mobile, Mobile Apps, Online Games, Social Media","Culver City, California, United States","Jam City is a mobile entertainment company, connecting the world through technology, creativity, and play.",4,,302000000,USD,302000000,"1,992",$100M to $500M,Active,2010-01-01,year,,,For Profit,http://www.jamcity.com/,251-500,3,"Apps, Gaming, Internet Services, Media and Entertainment, Mobile, Software","JP Morgan Chase, Bank of America Merrill Lynch, Silicon Valley Bank, Netmarble, Austin Ventures",4,7,7,Made Acquisitions,Private,6
"Masimo Corporation, a medical technology company, develops, manufactures, and markets noninvasive patient monitoring products. It provides a patient monitoring solution that incorporates a monitor or circuit board and sensors, including both proprietary single-patient use and reusable sensors and cables. The company also offers Masimo Signal Extraction Technology, which provides the capabilities of measure-through motion and low perfusion pulse oximetry to address the primary limitations of conventional pulse oximetry. In addition, it provides remote-alarm/monitoring solutions and software. The company sells its products to end-users through direct sales force and distributors, as well as to original equipment manufacturers and partners to incorporate into their products. Masimo Corporation was founded in 1989 and is headquartered in Irvine, California.",Masimo,https://www.crunchbase.com/organization/masimo,"Biotechnology, Manufacturing, Medical Device","Irvine, California, United States","Masimo Corporation, a medical technology company, develops, manufactures, and markets noninvasive patient monitoring products.",3,IPO,4950000,USD,4950000,"2,011",$100M to $500M,Active,1989-01-01,year,2007-08-08,day,,http://www.masimo.com,1001-5000,1,"Biotechnology, Health Care, Manufacturing, Science and Engineering","Bill & Melinda Gates Foundation, Signatures Capital, Robeco",2,3,3,Made Acquisitions,Public,
"PatientPop is the only complete practice growth solution that empowers healthcare providers to thrive in the digital age. By enhancing and automating each touchpoint in the patient journey — from first impression online, to digital booking, to post-appointment follow-up — PatientPop makes it easy for healthcare providers to attract more patients, manage online reputation, modernize the patient experience, and automate the front office.",PatientPop,https://www.crunchbase.com/organization/patientpop,"Health Care, Internet, SaaS","Santa Monica, California, United States",PatientPop is the only complete practice growth solution that empowers healthcare providers to thrive in the digital age.,4,Early Stage Venture,75000000,USD,75000000,"2,029",$1M to $10M,Active,2014-01-01,year,,,For Profit,https://www.patientpop.com,251-500,2,"Health Care, Internet Services, Software","Silicon Valley Bank, Athenahealth, Toba Capital, Leerink Transformation Partners",3,4,,,Private,
"Wondery, a network of storytellers, creates and curates immersive podcasts including Sword & Scale, Dirty John, American History Tellers, Business Wars, Hollywood & Crime, Something You Should Know, and over 50 others. Founded in 2016, the company is headquartered in West Hollywood, California, United States.",Wondery,https://www.crunchbase.com/organization/wondery,"Audio, Digital Media, Media and Entertainment, Podcast","West Hollywood, California, United States","Wondery, a network of storytellers, creates and curates immersive podcasts.",3,Early Stage Venture,15000000,USD,15000000,"2,043",Less than $1M,Active,2016-01-01,day,,,For Profit,https://wondery.com/,11-50,1,"Media and Entertainment, Music and Audio","Lerer Hippeau, Advancit Capital, Greycroft, NXTP Ventures, BAM Ventures",3,13,,,Private,1
Service gets you paid when your flight is delayed or cancelled.,Service,https://www.crunchbase.com/organization/service-2,"Customer Service, Mobile, Software, Travel","Los Angeles, California, United States",Service gets you paid when your flight is delayed or cancelled.,5,Seed,5140000,USD,5140000,"2,048",Less than $1M,Active,2015-06-01,month,,,For Profit,http://getservice.com,11-50,1,"Mobile, Software, Travel and Tourism","Founders Fund, Menlo Ventures, Maveron, Rising Tide, Streamlined Ventures",1,12,1,Made Acquisitions,Private,1
"NEXT Trucking is a technology platform connecting shippers with owner/operators and small fleets. It is building smart technology that matches truck drivers to their preferred loads, addressing the problem of carrier capacity. The company combines a freight marketplace with over 16,000 drivers, company-owned assets, and strategic partnerships to provide customers with an unrivaled suite of services from OTR to drayage and warehousing. NEXT Trucking was founded in 2015 and is based in Lynwood, California.",NEXT Trucking,https://www.crunchbase.com/organization/next-trucking,Freight Service,"El Segundo, California, United States",NEXT Trucking is a technology platform connecting shippers with owner/operators and small fleets.,5,Late Stage Venture,124260000,USD,124260000,"2,048",$10M to $50M,Active,2015-10-18,day,,,For Profit,https://www.nexttrucking.com/,101-250,2,Transportation,"Sequoia Capital, Brookfield Asset Management, Mucker Capital, GLP, Zuma Ventures",2,9,,,Private,1
"Alpha Foods produces plant-based foods focused on taste, texture, and sustainability. It is dedicated to returning to the roots of a healthy diet and sustainable industry by bringing delicious meat alternatives derived from plants. It aims to bring clean, sustainable sizzle to the plant-based protein market with a variety of delicious convenience foods. Alpha Foods was founded in 2015.",Alpha Foods,https://www.crunchbase.com/organization/alpha-foods,"Food and Beverage, Food Processing, Nutrition, Sustainability","Glendale, California, United States","Alpha Foods produces plant-based foods focused on taste, texture, and sustainability.",2,Early Stage Venture,35000000,USD,35000000,"2,067",$10M to $50M,Active,2015-01-01,year,,,For Profit,http://alphaplantbased.com,1-10,2,"Food and Beverage, Health Care, Sustainability","New Crop Capital, AF Ventures (formerly AccelFoods), Blue Horizon Ventures, Green Monday Ventures",2,4,,,Private,
EquityBee helps startup employees get the money they need to exercise their stock options before they expire. Their platform links employees with investors to provide option-holders the funding they need to exercise their options and unlock the value of their equity.,EquityBee,https://www.crunchbase.com/organization/equitybee,Financial Services,"Los Angeles, California, United States",EquityBee helps startup employees get the money they need to exercise their stock options before they expire by linking them to investors.,2,Early Stage Venture,8300000,USD,8300000,"2,091",$1M to $10M,Active,2017-01-01,year,,,For Profit,https://equitybee.com/,11-50,4,Financial Services,"Battery Ventures, LocalGlobe, AltaIR Capital, David Helgason, Group 11",2,9,,,Private,
"Savage X Fenty is a lingerie brand company that offers a variety of underwear ranging from everyday basics to more provocative pieces. It celebrates fearlessness, confidence, and inclusivity. In partnership with a team assembled from the industry's elite, the label is braced to disrupt and redefine the marketplace with its accessible price point.  Savage X Fenty was founded by Robyn Rihanna Fenty, a music and fashion icon.",Savage X Fenty,https://www.crunchbase.com/organization/savage-x-fenty,"E-Commerce, Fashion, Retail","El Segundo, California, United States",Savage X Fenty is a lingerie brand company that offers a variety of underwear ranging from everyday basics to more provocative pieces.,1,,70000000,USD,70000000,"2,094",$100M to $500M,Active,2017-01-01,year,,,,https://www.savagex.com/,,3,"Clothing and Apparel, Commerce and Shopping, Design","Avenir Growth Capital, Marcy Venture Partners",2,2,,,Private,
"Welcome Technologies, a For Benefit corporation, is the world’s first platform dedicated to connecting the 250 million global immigrant community with the information, products, and services they need to thrive in a new country. Today, the company has an unparalleled reach of over 9M immigrants a year and a membership of nearly 2M active users. Our platform combines the power of technology and security to provide our members with trusted, customized solutions across sectors such Finance, Education, Healthcare,  Telecommunication, and Government Services. Founded by immigration and technology experts, Welcome Tech is headquartered in Los Angeles, California.",Welcome Technologies,https://www.crunchbase.com/organization/welcometechnologies,"Education, Financial Services, FinTech, Market Research, Marketing, Social Entrepreneurship","Los Angeles, California, United States","We build technology that's powering immigrant success with services across Finance, Education, Healthcare and more.",4,Early Stage Venture,8000000,USD,8000000,"2,097",Less than $1M,Active,2002-01-01,year,,,For Profit,https://welcome.tech/,11-50,2,"Community and Lifestyle, Data and Analytics, Design, Education, Financial Services, Sales and Marketing","BAM Ventures, Crosscut Ventures, Manatt Venture Fund, TYLT Ventures, Beamonte Investments",1,6,,,Private,
"J2 Global is a leading Internet information and services company consisting of a portfolio of brands including IGN, Mashable, Humble Bundle, Speedtest, PCMag, Offers.com, Spiceworks, Everyday Health, BabyCenter and What To Expect in its Digital Media business and eFax, eVoice, iContact, Campaigner, VIPRE, IPVanish and KeepItSafe in its Cloud Services business. Reaching over 180 million people per month across its brands, J2 Global has achieved 23 consecutive fiscal years of revenue growth. With more than 3,000 employees around the world in over 50 offices, J2 Global is an active acquirer of businesses, having deployed more than $2.5 billion of acquisition capital since its founding.",J2 Global,https://www.crunchbase.com/organization/j2-global-communications,"Cloud Computing, Digital Media, Internet","Los Angeles, California, United States",J2 Global is a leading Internet information and services company consisting of a portfolio of brands.,1,IPO,650000000,USD,650000000,"2,117",$100M to $500M,Active,1995-01-01,year,1999-07-23,day,For Profit,http://www.j2global.com,1001-5000,2,"Internet Services, Media and Entertainment, Software",,,,51,Made Acquisitions,Public,
"LegalZoom is the nation's most recognized name in law, the alternative to the traditional law firm.   The leading provider of online legal document services and legal plans to families and small businesses, LegalZoom offers high quality, affordable legal services, marrying cutting-edge technology with access to experienced attorneys. LegalZoom was founded on the idea that all Americans deserve access to the law;  and as of 2011 the company has helped close to two million small businesses and families with their legal needs.  Our high quality documents have been accepted in all 50 states, and 94% of customers would refer LegalZoom to their family and friends.",LegalZoom,https://www.crunchbase.com/organization/legalzoom-com,"Consulting, Legal, Legal Tech, Professional Services","Glendale, California, United States",LegalZoom is a technology platform giving access to professional legal advice so people can protect what matters most.,5,,811000000,USD,811000000,"2,125",$10M to $50M,Active,1999-12-01,day,,,For Profit,http://www.legalzoom.com,1001-5000,3,Professional Services,"Kleiner Perkins, Franklin Templeton Investments, Polaris Partners, TCV, IVP (Institutional Venture Partners)",4,10,2,Made Acquisitions,Private,4
"AirMap is helping make drones a part of everyday life by building the foundations for the low-altitude air navigation systems of the future. The emergence of small, powerful, and autonomous drones, is transforming society. Drones are being used for agriculture, public safety, aerial photography and cinematography, and soon, package delivery. The next century of aviation innovation is happening at the local level, not across oceans, and it's happening below 500 feet. AirMap is organizing this low altitude information so innovation can take flight. AirMap works collaboratively with industry partners to create the future for drones. We focus exclusively on providing accurate, reliable and trustworthy airspace information so that others in our nascent industry can build amazing vehicles and applications. AirMap is a member of the Small UAV Coalition and the NASA Unmanned Traffic Management (UTM) program.",AirMap,https://www.crunchbase.com/organization/noflyzone,"Aerospace, Autonomous Vehicles, Big Data, Drones, Navigation, Robotics","Santa Monica, California, United States",AirMap is the world’s leading airspace services platform for unmanned aircraft.,4,Seed,43600000,USD,43600000,"2,182",$1M to $10M,Active,2014-12-01,day,,,For Profit,https://www.airmap.com,51-100,2,"Consumer Electronics, Consumer Goods, Data and Analytics, Hardware, Navigation and Mapping, Science and Engineering, Software, Transportation","Sony, General Catalyst, Rakuten, Lux Capital, Bullpen Capital",3,18,1,Made Acquisitions,Private,2
"Zest AI makes the power of machine learning safe to use in credit underwriting. Lenders using Zest Automated Machine Learning make better decisions and better loans -- increasing revenue, reducing risk, and automating compliance. Zest AI was founded in 2009 with the mission of making fair and transparent credit available to everyone and is now one of the fastest-growing fintech software companies. The company is headquartered in Los Angeles, California. For more information, visit zest.ai. Follow us on Twitter and LinkedIn.",Zest AI,https://www.crunchbase.com/organization/zestfinance,"Big Data, FinTech, Machine Learning","Burbank, California, United States",The world's most innovative lenders use Zest AI software to make better decisions and better loans.,6,,217000000,USD,217000000,"2,198",$10M to $50M,Active,2009-01-01,year,,,For Profit,http://zest.ai,101-250,1,"Artificial Intelligence, Data and Analytics, Financial Services, Software","Founders Fund, Matrix Partners, Lightspeed Venture Partners, Flybridge, Baidu",7,12,,,Private,4
"Conversion Logic delivers attribution, evolved: a cross-channel measurement platform that combines cloud analytics and machine learning for enterprise marketers. Built from the ground up for agility, innovation, and speed, Conversion Logic translates the most sophisticated data science on the market into clear, actionable insights across the customer journey. With media agnostic, real-time analytics and optimization, clients reduce friction, adapt, and realize value more quickly than ever before. Meet attribution, evolved, at www.conversionlogic.com.",Conversion Logic,https://www.crunchbase.com/organization/conversion-logic,"Analytics, SaaS, Software","Los Angeles, California, United States",Machine learning + cloud analytics for Enterprise B2C Marketers - the most intuitive cross-channel measurement and attribution platform.,4,M&A,14100000,USD,14100000,"2,230",,Active,2014-01-01,month,2020-03-18,day,For Profit,http://www.conversionlogic.com/,11-50,3,"Data and Analytics, Software","Lerer Hippeau, Founder Collective, Pelion Venture Partners, TenOneTen Ventures, Crosscut Ventures",2,14,,Was Acquired,Private,1
"Reformation designs limited-edition collections and manufactures styles in their downtown Los Angeles factory. This allows the company to release designs that reflect the latest fashion trends within a few weeks. By cutting out the middleman and selling in own boutiques and online store, Reformation is able to control costs and pass these savings to customers. Reformation also sources vintage garments and sustainable fabrics and incorporates green practices throughout its supply chain to make beautiful styles at a fraction of the environmental impact generated by most fashion brands.",Reformation,https://www.crunchbase.com/organization/reformation,"E-Commerce, Fashion, Manufacturing","Los Angeles, California, United States","Reformation is a revolution in fashion where design, value, and sustainability coexist.",2,M&A,37000000,USD,37000000,"2,295",$100M to $500M,Active,2009-01-01,year,2019-07-10,day,For Profit,http://www.thereformation.com,101-250,1,"Clothing and Apparel, Commerce and Shopping, Design, Manufacturing","14W, Stripes, Karlie Kloss, Future Tech Lab, Mo Koyfman",2,8,,Was Acquired,Private,
"TrueCar is an information and technology platform that enables its users to communicate with TrueCar certified dealers. TrueCar is the authority on new-car pricing. It aggregates multiple data sources to show car buyers and dealers how much people actually paid for a particular car in their geographic area. True Car helps dealers gain real-time, unbiased information about marketplace pricing, helping them know how to price their cars to sell more and gain market share from other dealers.  It was by automotive and technology pioneers Scott Painter and Tom Taira.",TrueCar,https://www.crunchbase.com/organization/truecar,"Automotive, Mobile Apps, Public Transportation","Santa Monica, California, United States",TrueCar is an information and technology platform that enables its users to communicate with TrueCar certified dealers.,8,IPO,340362625,USD,340362625,"2,296",$50M to $100M,Active,2005-01-01,year,2014-05-23,day,For Profit,http://truecar.com/,501-1000,5,"Apps, Mobile, Software, Transportation","Tech Coast Angels, Redpoint, Dealertrack, Capital One, Silicon Valley Bank",2,19,5,Made Acquisitions,Public,2
"Meet Happy Money, we’re not just a business, we’re a movement, providing financial tools and services for human happiness, working outside of the Sad Money™  complex with an innovative business model that works for members.  The category that needs a mission-based company the most – finance/banking – has none. It's time to leave mindless capitalism behind and usher in a new world of more mindful capitalism.  Our mission is helping borrowers become savers™. Our values of love, trust and hustle are our culture and they inspire us to deliver for our team, our members, our partners, our investors and society.  Join the Happy Money Movement today and help us deliver the future of Happy Financial Services.  Happy Money. A Happier Future™. Learn more at www.happymoney.com",Happy Money,https://www.crunchbase.com/organization/happymoney,"Finance, Financial Services, FinTech, Payments, Personal Finance","Costa Mesa, California, United States",Financial Tools and Services for Human Happiness,6,Late Stage Venture,141561341,USD,141561341,"2,302",$10M to $50M,Active,2009-01-01,day,,,For Profit,https://www.happymoney.com/,251-500,2,"Financial Services, Payments","Tencent Holdings, FirstMark, Great Oaks Venture Capital, Anthemis Group, CMFG Ventures",6,7,,,Private,1
"The Bouqs Company is an online flower delivery service founded by college classmates John Tabis and Juan Pablo Montúfar that delivers flowers fresh from eco-friendly, sustainable farms around the world to doorsteps across the country. Tabis, a brand and strategy executive formerly with Disney, and Montúfar, a third-generation farmer, started The Bouqs Company in late 2012 to radically disrupt the $100B global floral industry through a modern brand, responsibly-sourced flowers and a vertically-integrated supply chain.  Headquartered in Venice, CA, The Bouqs Company connects farms and a curated network of artisan florists directly to consumers, and disrupts the traditional supply chain by eliminating overhead costs like warehouses, importers, distributors, auctioneers and more. In turn, this model enables a superior product and redefines the experience and economics for both consumers and producers alike.",The Bouqs Company,https://www.crunchbase.com/organization/the-bouqs-company,"Delivery, E-Commerce, Retail","Los Angeles, California, United States",The Bouqs Company is a cut-to-order online flower delivery service.,7,Late Stage Venture,73100000,USD,73100000,"2,314",$1M to $10M,Active,2012-11-01,day,,,For Profit,http://www.bouqs.com,51-100,2,"Administrative Services, Commerce and Shopping","Plug and Play, Tech Coast Angels, Partech, Pontifax AgTech, M13",3,28,,,Private,2
"Emerge is a cross-reality presence company, building a platform that aims to enable more meaningful, engaging, and diverse interactions in XR that bring us closer to the people we care about. Emerge is creating a future where distance and time don’t stand in the way of feeling present with a first product that enables users to interact, share and physically feel XR immersive content with bare hands. The founders and team are former entrepreneurs and executives awarded by MIT, WEF and Forbes, have brought consumer electronics and XR products to market. Emerge is based in Los Angeles, CA.",Emerge,https://www.crunchbase.com/organization/emerge-io,"Augmented Reality, Consumer Electronics, Media and Entertainment, Telecommunications","Los Angeles, California, United States",We believe in a future where distance and time don’t stand in the way of feeling present.,4,Early Stage Venture,18899998,USD,18899998,"2,328",Less than $1M,Active,2015-08-01,month,,,For Profit,http://www.emerge.io/,11-50,3,"Consumer Electronics, Hardware, Media and Entertainment, Software","Alumni Ventures Group, Alma Mundi Ventures, Afore Capital, Golden Ventures, Vulcan Capital",4,19,,,Private,
Kite Pharma is a privately held development stage biotechnology company engaged in the design and development of pioneering immune-based targeted therapies to treat different cancer indications. Kite has a portfolio of proprietary product candidates designed to stimulate the patient's own immune system to fight tumor cells. These potential therapies could provide novel strategies for the treatment and management of a wide range of tumor types.,Kite Pharma,https://www.crunchbase.com/organization/kite-pharma,"Biotechnology, Health Care, Medical","Los Angeles, California, United States",Kite Pharma is a development-stage biotechnology company designing and developing immune-based therapies to treat cancer indications..,4,M&A,85250000,USD,85250000,"2,343",$10B+,Active,2009-01-01,year,2014-06-27,day,,http://www.kitepharma.com,51-100,2,"Biotechnology, Health Care, Science and Engineering","Alta Partners, Two River, Arie Belldegrun, Riverbank Capital Securities",1,4,,Was Acquired,Delisted,
"Pex delivers the best analytics and rights management service with simplicity, speed and accuracy, delivering transparency to a cloudy digital space. Pex is the only service that empowers creators, brands, rights owners and analysts to uncover and explain the true reach of online video and audio. We know what people watch, where they watch it, and why they share it.",Pex,https://www.crunchbase.com/organization/pexeso,"Digital Entertainment, Music, Photography, Video","Los Angeles, California, United States","Find, Track & Monetize Videos & Music Across The Web",1,Seed,7000000,USD,7000000,"2,399",,Active,2014-02-14,day,,,For Profit,http://pex.com,51-100,1,"Content and Publishing, Media and Entertainment, Music and Audio, Video","Susa Ventures, Universal Music Group, Warner Music Group, Illuminate Ventures, Blibros AB",2,5,1,Made Acquisitions,Private,
"ChowNow is an ordering platform dedicated to helping local restaurants grow and compete in a sustainable way. ChowNow helps local restaurants thrive. By helping diners discover the restaurants' delicious creations and helping restaurants connect with customers. ChowNow powers branded online ordering systems for independent restaurants via the restaurants’ own websites, on Facebook and Google pages, through ChowNow-created apps, and via ChowNow’s website, while also providing the restaurant partners key customer insights and marketing support. The company does its services for a reasonable monthly fee, without the predatory third-party commissions charged by competitors. It also enables diners to connect with independent restaurants in communities to order takeout and in some cases delivery, in a way that’s sustainable and fair to restaurants. ChowNow was founded on 2010 and is headquartered in Playa Vista, California.",ChowNow,https://www.crunchbase.com/organization/chownow,"Apps, Delivery Service, E-Commerce, Hospitality, Internet, Local, Mobile Apps, Restaurants","Playa Vista, California, United States",ChowNow powers branded online ordering systems for independent restaurants through the restaurants’ own websites.,9,Late Stage Venture,64036900,USD,64036900,"2,403",$1M to $10M,Active,2010-01-01,year,,,For Profit,http://www.ChowNow.com,51-100,2,"Apps, Commerce and Shopping, Food and Beverage, Internet Services, Mobile, Software, Transportation, Travel and Tourism","Upfront Ventures, Karlin Ventures, Catalyst Investors, Velos Partners, Daher Capital",3,13,,,Private,4
"Boulevard is transforming business management for premium beauty service brands through their proprietary platform-as-a-service. Developed in collaboration with industry-leading owners and operators, Boulevard is the only management tool built specifically for appointment-based businesses that delivers ease of use with style and sophistication. Founded in 2016 and based in Los Angeles, Boulevard is carefully designed to automate workflows and drive revenue while allowing brands to offer a personalized experience that keeps clients coming back.",Boulevard,https://www.crunchbase.com/organization/boulevard-3,"Customer Service, E-Commerce, Internet, Management Consulting","West Hollywood, California, United States",The business management platform powering the next generation of premium salons and spas.,2,Early Stage Venture,11000000,USD,11000000,"2,442",$1M to $10M,Active,2016-02-18,day,,,For Profit,https://www.joinblvd.com/,51-100,1,"Commerce and Shopping, Internet Services, Professional Services","BoxGroup, Index Ventures, Ludlow Ventures, Bonfire Ventures, Luma Launch",2,5,,,Private,
"Trace is the Action Sports Tracker. With Trace you can improve your performance and never edit a video again. Trace tracks and stores every session, allowing you to compare your performance over time and against others. Trace will help you jump higher, catch longer waves, throw sharper turns, or log more vertical. Trace will also automatically clip and edit your video highlights. Trace takes out the boring stuff and only keeps the good stuff. Colors will automatically pop and sharing couldn’t be easier.",Trace,https://www.crunchbase.com/organization/trace-3,"Quantified Self, Sensor, Sports","Huntington Beach, California, United States",Trace is the Action Sports Tracker.,5,Early Stage Venture,6000000,USD,6000000,"2,480",$1M to $10M,Active,2004-01-01,year,,,For Profit,http://www.traceup.com/,11-50,2,"Biotechnology, Data and Analytics, Hardware, Sports","Intel Capital, Lauren DeLuca, Brand Foundry Ventures, Amplify.LA, Toba Capital",1,6,,,Private,
"CREXi is a commercial real estate marketplace for lease, buy, and sale. It simplifies transactions for brokers with a suite of easy-to-use tools to manage the entire process from listing to closing. Bringing the traditional CRE sales process online, CREXi leverages the latest advances in technology to make transactions ultra-efficient.  CREXi features help brokers interact with the industry and its stakeholders, solicit, make, accept, counter and negotiate offers; run competitive bidding processes, run escrow and closing processes, research, markets, and sold properties. The company enables commercial real estate professionals to quickly streamline, manage, and grow their businesses using the industry's most advanced transaction management solution.  CREXi was founded in 2015 and is headquartered in Venice, California, United States.",CREXi,https://www.crunchbase.com/organization/crexi,"Commercial Real Estate, Marketplace, Real Estate","Venice, California, United States","CREXi is a commercial real estate marketplace for lease, buy, and sale.",4,Early Stage Venture,54000000,USD,54000000,"2,495",Less than $1M,Active,2015-01-01,year,,,For Profit,https://www.crexi.com/,101-250,4,"Commerce and Shopping, Real Estate","Lerer Hippeau, Founder Collective, Industry Ventures, TenOneTen Ventures, Mitsubishi Estate",5,13,,,Private,4
"Encantos is an award-winning B-Corp building family brands to inspire 21st century kids to learn 21st century skills.  Using the power of entertainment and technology to reimagine education in a direct-to-consumer way, we leverage our personalized learning platform to teach learning, literacy and life skills.  As a public benefit corporation, each of our family brands gives back to the community and supports a social cause.  As an entertainment education company, Encantos creates, designs, develops, licenses, and markets a diversified portfolio of award-winning family brands. These include the Emmy-nominated bilingual preschool brand Canticos, the travel brand Tiny Travelers, and the bravery brand Skeletitos.  Based in Culver City, CA, Encantos is a proud female-owned public benefit corporation that puts diversity, equality, and inclusion at the heart of everything it creates.",Encantos,https://www.crunchbase.com/organization/encantos,"Apps, Children, Consumer, Digital Entertainment, Education, Family, Subscription Service, Video","Culver City, California, United States",An entertainment education B-Corp building direct-to-consumer family brands inspiring 21st century kids to learn 21st century skills.,2,Seed,2800000,USD,2800000,"2,507",$1M to $10M,Active,2015-09-01,month,,,For Profit,http://www.encantosbrands.com/,1-10,4,"Apps, Education, Media and Entertainment, Software, Video","Lightspeed Venture Partners, Kapor Capital, MaC Venture Capital, Chingona Ventures, Human Ventures",1,13,,,Private,
"NeuroVasc Technologies is a medical device company that develops a catheter-based technology designed to treat neurovascular diseases. The company develops a comprehensive portfolio development strategy to bring tools to the community to facilitate treatment options for patients suffering from a stroke. NeuroVasc Technologies was founded in 2015 and is headquartered in Laguna Hills, California.",NeuroVasc Technologies,https://www.crunchbase.com/organization/neurovasc-technologies,"Health Care, Medical, Medical Device, Neuroscience","Laguna Hills, California, United States",NeuroVasc Technologies is a medical device company that develops a catheter-based technology to treat neurovascular diseases.,4,,42750000,USD,42750000,"2,511",$1M to $10M,Active,2015-01-01,year,,,For Profit,http://www.neurovasctechnologies.com/,,1,"Biotechnology, Health Care, Science and Engineering","Shangbay Capital, Weigao Group",2,2,,,Private,
