"","id","Organization.Name","Organization.Name.URL","Industries","Headquarters.Location","Description","CB.Rank..Company.","Estimated.Revenue.Range","Founded.Date","Founded.Date.Precision","Industry.Groups","Number.of.Founders","Number.of.Employees","Number.of.Funding.Rounds","Total.Funding.Amount","Total.Funding.Amount.Currency","Total.Funding.Amount.Currency..in.USD.","Number.of.Investors","IPO.Status","IPO.Date","Acquisition.Status","Number.of.Events","Number.of.Lead.Investors","Funding.Status","Last.Funding.Date","Last.Funding.Amount","Last.Funding.Amount.Currency","Last.Funding.Amount.Currency..in.USD.","Last.Funding.Type","IPqwery...Total.Patents","IPqwery...Total.Trademarks","Investment.Stage","Y"
"469",469,"Solaborate","https://www.crunchbase.com/organization/solaborate","Information Technology, Private Social Networking, Social Media, Software","Los Angeles, California, United States","Solaborate, is all in one  communication  and collaboration platform company",10421,"NA","2012-06-01","day","Community and Lifestyle, Information Technology, Internet Services, Media and Entertainment, Software","2","51-100","3","11430000","USD","11430000","2","Private","NA","NA","5","NA","Early Stage Venture","2020-02-03","1e+07","USD","10000000","Series A","1","0","NA",0
"470",470,"Iyuno Media Group","https://www.crunchbase.com/organization/iyuno-media-group","Broadcasting, Digital Media, Film Distribution, Media and Entertainment","Burbank, California, United States","Iyuno Media Group is a global localization and media content distribution services with 40 facilities in 30 countries.",10466,"$1M to $10M","2002-01-01","year","Media and Entertainment, Video","1","1001-5000","1","23500000","USD","23500000","1","Private","NA","Made Acquisitions, Was Acquired","NA","1","M&A","2018-04-13","23500000","USD","23500000","Series A","NA","NA","NA",0
"471",471,"Nasty Gal","https://www.crunchbase.com/organization/nasty-gal","E-Commerce, Fashion, Retail","Los Angeles, California, United States","Fashion",10501,"$10M to $50M","2006-11-01","day","Clothing and Apparel, Commerce and Shopping, Design","1","251-500","3","6.5e+07","USD","6.5e+07","2","Private","NA","Was Acquired","NA","2","M&A","2015-02-26","1.6e+07","USD","16000000","Series C","NA","NA","NA",0
"472",472,"Storyblaster","https://www.crunchbase.com/organization/storyblaster","Social Media, Social Media Marketing, Software","Studio City, California, United States","Storyblaster is a computer software platform designed for crowdfunding.",10526,"NA","2016-01-01","year","Internet Services, Media and Entertainment, Sales and Marketing, Software","2","11-50","3","4710000","USD","4710000","5","Private","NA","NA","NA","2","Seed","2020-03-05","2500000","USD","2500000","Seed","1","2","NA",0
"473",473,"Collab","https://www.crunchbase.com/organization/collab","Computer, Internet, Software","Los Angeles, California, United States","Collab is a creator development studio transforming popular digital video creators into professional entertainers",10533,"$50M to $100M","2012-01-01","month","Consumer Electronics, Hardware, Internet Services, Software","2","101-250","1","3e+06","USD","3e+06","1","Private","NA","NA","7","1","Early Stage Venture","2017-11-01","3e+06","USD","3000000","Series A","0","4","NA",0
"474",474,"Warner Bros.","https://www.crunchbase.com/organization/warner-bros","Art, Digital Entertainment, Film, Film Production, Telecommunications, TV Production","Burbank, California, United States","Warner Bros. is a media company that creates, produces, distributes, licenses, and markets of several forms of entertainment.",10561,"NA","1918-04-04","day","Hardware, Media and Entertainment, Video","1","501-1000","NA","NA","NA","NA","NA","Private","NA","Made Acquisitions","5","NA","NA","NA","NA","NA","NA","NA","165","2,079","NA",0
"475",475,"Scalefast","https://www.crunchbase.com/organization/scalefast","B2B, B2C, Cloud Computing, E-Commerce, E-Commerce Platforms, Payments, Subscription Service","El Segundo, California, United States","Scalefast is a global digital commerce solution that simplifies and streamlines ecommerce for inspirational brands.",10562,"NA","2014-01-01","year","Commerce and Shopping, Financial Services, Internet Services, Payments, Software","3","51-100","2","1e+07","USD","1e+07","4","Private","NA","NA","2","1","Early Stage Venture","2017-12-21","8e+06","USD","8000000","Series A","0","3","NA",0
"476",476,"Glaukos","https://www.crunchbase.com/organization/glaukos","Health Care, Medical, Wellness","San Clemente, California, United States","Glaukos is a glaucoma treatment company developing micro-bypass therapies to moderate the intraocular pressures that help preserve vision.",10577,"$50M to $100M","1998-01-01","year","Health Care","3","251-500","7","121000392","USD","121000392","8","Public","2015-06-25","Made Acquisitions","NA","2","IPO","2013-02-07","3e+07","USD","30000000","Series F","120","46","NA",0
"477",477,"Alphaeon","https://www.crunchbase.com/organization/alphaeon","Health Care, Medical Device, Wellness","Irvine, California, United States","ALPHAEON Corporation is a social commerce company with the goal of transforming self-pay healthcare.",10583,"NA","2013-07-22","day","Health Care","1","251-500","4","160760133","USD","160760133","4","Private","NA","Made Acquisitions, Was Acquired","NA","2","M&A","2016-08-10","53700000","USD","53700000","Convertible Note","52","42","NA",0
"478",478,"Forge","https://www.crunchbase.com/organization/forrge","Human Resources, SaaS, Software","Playa Vista, California, United States","Forge is platform that empowers hourly workforces to work on-demand while giving their employers the tools needed to run their business.",10610,"$1M to $10M","2015-01-01","year","Software","4","11-50","3","4e+06","USD","4e+06","11","Private","NA","Made Acquisitions, Was Acquired","NA","NA","M&A","2018-06-06","NA","NA","NA","Convertible Note","NA","NA","NA",0
"479",479,"Maple Media","https://www.crunchbase.com/organization/maple-media","Advertising, Android, Digital Media, iOS, Marketing, Media and Entertainment, Mobile Advertising, Mobile Apps, Social Media","Los Angeles, California, United States","Maple Media is a mobile media, advertising and technology company that acquires, manages, and operates mobile applications.",10619,"Less than $1M","2016-12-01","day","Advertising, Apps, Internet Services, Media and Entertainment, Mobile, Platforms, Sales and Marketing, Software","2","11-50","1","3e+07","USD","3e+07","1","Private","NA","Made Acquisitions","NA","1","Private Equity","2017-02-22","3e+07","USD","30000000","Private Equity","0","9","NA",0
"480",480,"PEAR SPORTS","https://www.crunchbase.com/organization/pear-sports","Fitness, Health Care, mHealth, Personal Health, Real Time, Software, Sports, Training, Wellness","Irvine, California, United States","Pear is the smart training system that coaches you in real-time, creating the ultimate workout experience that inspires and pushes you to",10704,"$1M to $10M","2010-01-01","year","Education, Health Care, Mobile, Software, Sports","2","11-50","3","6988095","USD","6988095","3","Private","NA","Made Acquisitions","NA","2","NA","2015-05-27","821095","USD","821095","Venture - Series Unknown","6","7","NA",0
"481",481,"Specright","https://www.crunchbase.com/organization/specright","SaaS, Software, Supply Chain Management","Irvine, California, United States","Specright’s Specification Data Management™platform enables companies to manage & map product and packaging data across the supply chain..",10722,"NA","2014-11-01","month","Software, Transportation","1","51-100","3","11955273","USD","11955273","4","Private","NA","NA","NA","1","Early Stage Venture","2019-04-29","8800000","USD","8800000","Series A","0","6","NA",0
"482",482,"Parrot Analytics","https://www.crunchbase.com/organization/parrot-analytics","Artificial Intelligence, Big Data, Content Discovery, Enterprise Software, Film, Internet, Machine Learning, Media and Entertainment, TV","Beverly Hills, California, United States","Parrot Analytics is a data science company that measures and predicts global demand for content, across all platforms, around the world. ",10755,"$1M to $10M","2013-01-01","year","Artificial Intelligence, Content and Publishing, Data and Analytics, Internet Services, Media and Entertainment, Science and Engineering, Software, Video","3","11-50","3","1.8e+07","NZD","12428245","10","Private","NA","NA","NA","1","Early Stage Venture","2018-07-25","1.5e+07","NZD","10265401","Series A","0","12","NA",0
"483",483,"FaceFirst","https://www.crunchbase.com/organization/facefirst","Facial Recognition, Software","Encino, California, United States","The FaceFirst platform uses face recognition technology to prevent fraud, security risks and public safety threats.",10765,"$1M to $10M","2007-01-01","year","Data and Analytics, Software","NA","11-50","1","7403920","USD","7403920","NA","Private","NA","NA","1","NA","Early Stage Venture","2016-05-05","7403920","USD","7403920","Series A","0","2","NA",0
"484",484,"Brainbase","https://www.crunchbase.com/organization/brainbase","Enterprise Software, Intellectual Property","Los Angeles, California, United States","Brainbase helps companies manage and monetize their intellectual property.",10774,"NA","2016-11-01","month","Professional Services, Software","3","11-50","2","4e+06","USD","4e+06","13","Private","NA","NA","NA","2","Seed","2019-08-20","3e+06","USD","3000000","Seed","NA","NA","NA",0
"485",485,"Pearl","https://www.crunchbase.com/organization/pearl-080d","Artificial Intelligence, Computer Vision, Dental, Health Care, Image Recognition, Software","West Hollywood, California, United States","Pearl is a computer vision company focusing on solving challenging problems in the dental industry.",10797,"NA","2019-04-30","day","Artificial Intelligence, Data and Analytics, Hardware, Health Care, Science and Engineering, Software","2","11-50","1","1.1e+07","USD","1.1e+07","2","Private","NA","NA","NA","1","Early Stage Venture","2019-05-08","1.1e+07","USD","11000000","Series A","0","5","NA",0
"486",486,"Camino Financial","https://www.crunchbase.com/organization/camino-financial","Commercial Lending, Credit, Financial Services, FinTech, Small and Medium Businesses","Los Angeles, California, United States","Camino Financial is a data-driven fintech platform pioneering affordable small business loans to Latinx businesses",10798,"NA","2014-01-01","year","Financial Services, Lending and Investments","2","51-100","9","20350000","USD","20350000","7","Private","NA","NA","NA","3","Early Stage Venture","2019-12-11","8e+06","USD","8000000","Series A","0","1","NA",0
"487",487,"JustFoodForDogs","https://www.crunchbase.com/organization/justfoodfordogs","Food and Beverage, Food Processing, Health Care","West Hollywood, California, United States","Nutritionally Balanced, 100% USDA Ingredients, No Preservatives, Vet Recommended & Always Hand-made in Small Batches.",10817,"$10M to $50M","2010-04-01","day","Food and Beverage, Health Care","1","11-50","3","11100000","USD","11100000","1","Private","NA","NA","NA","1","NA","2018-10-25","8500000","USD","8500000","Venture - Series Unknown","0","6","NA",0
"488",488,"Hippeas","https://www.crunchbase.com/organization/hippeas","Food and Beverage, Health Care, Organic Food","Los Angeles, California, United States","Hippeas is a operator of natural snack food companies.",10822,"$1M to $10M","2015-01-01","year","Food and Beverage, Health Care","1","11-50","4","2.2e+07","USD","2.2e+07","3","Private","NA","NA","NA","2","NA","2018-12-07","8e+06","USD","8000000","Venture - Series Unknown","NA","NA","NA",0
"489",489,"Virtualitics","https://www.crunchbase.com/organization/virtualitics","Artificial Intelligence, Augmented Reality, Data Visualization, Machine Learning, Natural Language Processing, Software, Virtual Reality","Pasadena, California, United States","Virtualitics provides data visualization in virtual reality and augmented reality environments.",10846,"Less than $1M","2015-01-01","year","Artificial Intelligence, Data and Analytics, Design, Hardware, Information Technology, Science and Engineering, Software","4","11-50","3","11400000","USD","11400000","2","Private","NA","NA","5","2","Early Stage Venture","2018-02-28","7e+06","USD","7000000","Series B","2","2","NA",0
"490",490,"Matter","https://www.crunchbase.com/organization/matter-music","Independent Music, Media and Entertainment, Music, Music Streaming","Los Angeles, California, United States","beyond streaming",10854,"NA","2019-02-01","month","Internet Services, Media and Entertainment, Music and Audio","2","1-10","1","5e+05","USD","5e+05","NA","Private","NA","NA","NA","NA","Seed","2019-06-01","5e+05","USD","500000","Pre-Seed","0","2","NA",0
"491",491,"Apelab","https://www.crunchbase.com/organization/apelab","Augmented Reality, Digital Entertainment, Media and Entertainment, Software, Virtual Reality","Los Angeles, California, United States","Apelab is a software company focusing on AR/VR/MR.",10883,"Less than $1M","2014-01-01","year","Hardware, Media and Entertainment, Software","4","1-10","2","3e+05","USD","3e+05","3","Private","NA","NA","1","2","Seed","2020-04-03","NA","NA","NA","Seed","NA","NA","NA",0
"492",492,"Jumpcut","https://www.crunchbase.com/organization/jumpcut-studios","Digital Media, Education, Film Production, Internet, Social Media Marketing, Video, Video Editing","Los Angeles, California, United States","Jumpcut creates captivating online courses.",10919,"Less than $1M","2014-06-01","month","Content and Publishing, Education, Internet Services, Media and Entertainment, Sales and Marketing, Video","3","11-50","2","2e+06","USD","2e+06","13","Private","NA","NA","1","1","Seed","2019-08-06","NA","NA","NA","Seed","NA","NA","NA",0
"493",493,"Funraise","https://www.crunchbase.com/organization/funraise","Crowdfunding, Enterprise Software, SaaS, Software","Los Angeles, California, United States","Nonprofit Fundraising Software",10936,"$1M to $10M","2015-01-01","year","Financial Services, Software","3","51-100","2","12700000","USD","12700000","3","Private","NA","NA","NA","1","Early Stage Venture","2018-01-30","9700000","USD","9700000","Series A","0","5","Early Stage Venture",0
"494",494,"AWAK Technologies","https://www.crunchbase.com/organization/awak","Biotechnology, Wearables","Burbank, California, United States","AWAK develops wearable dialysis machines that operate and function like a normal kidney, for continuous dialysis.",10936,"NA","2007-01-01","year","Biotechnology, Consumer Electronics, Hardware, Science and Engineering","1","11-50","3","57200000","USD","57200000","5","Private","NA","NA","NA","2","Early Stage Venture","2019-12-13","4e+07","USD","40000000","Series A","NA","NA","NA",0
"495",495,"Lucid Sight","https://www.crunchbase.com/organization/lucid-sight","Blockchain, Computer, Cryptocurrency, Ethereum, Product Design, Video Games, Virtual Reality","Los Angeles, California, United States","Lucid Sight, Inc. develops games with digital scarcity and true digital ownership as first principles.",10968,"$1M to $10M","2015-01-01","year","Consumer Electronics, Design, Financial Services, Gaming, Hardware, Payments, Software","3","11-50","3","1.1e+07","USD","1.1e+07","10","Private","NA","NA","NA","2","Early Stage Venture","2019-04-02","6e+06","USD","6000000","Series B","0","11","NA",0
"496",496,"Embodied Labs","https://www.crunchbase.com/organization/embodied-labs","Corporate Training, Elder Care, Health Care, Home Health Care, Nursing and Residential Care, Training, Virtual Reality, Wellness","Los Angeles, California, United States","Embodied Labs is an immersive training platform that improves outcomes in training, awareness, and family and caregiver support.",11015,"Less than $1M","2016-08-01","day","Education, Hardware, Health Care, Software","3","1-10","1","3200000","USD","3200000","6","Private","NA","NA","17","1","Seed","2020-01-13","3200000","USD","3200000","Seed","NA","NA","NA",0
"497",497,"Lofty AI","https://www.crunchbase.com/organization/lofty-ai","Artificial Intelligence, Real Estate","Marina Del Rey, California, United States","Lofty AI is a real estate investment technology using artificial intelligence to identify neighborhood growth.",11030,"NA","2018-06-01","month","Artificial Intelligence, Data and Analytics, Real Estate, Science and Engineering, Software","3","1-10","2","8e+05","USD","8e+05","11","Private","NA","NA","NA","2","Seed","2019-08-19","8e+05","USD","800000","Seed","NA","NA","NA",0
"498",498,"Social Native","https://www.crunchbase.com/organization/social-native","Advertising, Brand Marketing, Content","Beverly Hills, California, United States","Social Native is a technology platform for creating high performing branded content.",11032,"NA","2015-01-01","day","Advertising, Media and Entertainment, Sales and Marketing","2","11-50","1","8e+06","USD","8e+06","22","Private","NA","NA","1","1","Seed","2017-05-15","8e+06","USD","8000000","Seed","0","2","NA",0
"499",499,"Syxsense","https://www.crunchbase.com/organization/verismic-software-inc-cloud-management-suite","Cloud Management, Cloud Security, Enterprise Software, IT Management, Security, Software","Aliso Viejo, California, United States","IT management and security solution that combines Vulnerability Scanning, Patch Management and EDR capabilities",11181,"$1M to $10M","2012-10-10","day","Information Technology, Internet Services, Privacy and Security, Software","1","51-100","2","2e+06","USD","2e+06","2","Private","NA","NA","NA","1","Seed","2019-06-19","2e+06","USD","2000000","Debt Financing","NA","NA","NA",0
"500",500,"SetPoint Medical","https://www.crunchbase.com/organization/setpoint-medical","Biotechnology, Health Care, Medical Device, Neuroscience","Valencia, California, United States","SetPoint Medical treats patients with debilitating inflammatory diseases using proprietary implantable bioelectronic devices.",11187,"$1M to $10M","2006-01-01","year","Biotechnology, Health Care, Science and Engineering","3","11-50","7","84300000","USD","84300000","10","Private","NA","NA","NA","1","Late Stage Venture","2017-08-28","3e+07","USD","30000000","Series D","31","3","NA",0
"501",501,"Hype and Vice","https://www.crunchbase.com/organization/hype-and-vice","E-Commerce, Education, Fashion, Lifestyle, Retail","Los Angeles, California, United States","Hype and Vice combines on-trend fashion with University brands to create apparel women actually want to wear.",11200,"NA","2015-11-23","day","Clothing and Apparel, Commerce and Shopping, Community and Lifestyle, Design, Education","2","1-10","2","1650000","USD","1650000","5","Private","NA","NA","NA","2","Seed","2019-11-13","1500000","USD","1500000","Seed","0","4","NA",0
"502",502,"Mahmee","https://www.crunchbase.com/organization/mahmee","Health Care, mHealth, Women's","Los Angeles, California, United States","Mahmee provides comprehensive, personalized supports and care management pregnancy through infancy.",11210,"Less than $1M","2014-01-01","year","Health Care, Mobile","2","11-50","4","3e+06","USD","3e+06","12","Private","NA","NA","1","2","Seed","2019-09-01","NA","NA","NA","Seed","0","1","NA",0
"503",503,"HomeHero","https://www.crunchbase.com/organization/homehero","Health Care, Home Health Care, Internet, Service Industry","Santa Monica, California, United States","HomeHero is a non-medical home care provider that leverages technology and human compassion to extend the health system into the home.",11229,"NA","2013-05-01","day","Health Care, Internet Services","2","11-50","3","2.3e+07","USD","2.3e+07","9","Private","NA","NA","NA","2","Seed","2016-03-28","NA","NA","NA","Pre-Seed","NA","NA","NA",0
"504",504,"Quarterly","https://www.crunchbase.com/organization/quarterly","E-Commerce, Gift Card","Culver City, California, United States","Quarterly offers a design-oriented subscription service enabling anyone to sign up and receive curated gifts from influential contributors.",11238,"NA","2011-05-01","day","Commerce and Shopping, Financial Services","1","11-50","4","3650000","USD","3650000","11","Private","NA","Made Acquisitions","NA","1","Early Stage Venture","2015-09-02","NA","NA","NA","Convertible Note","NA","NA","NA",0
"505",505,"Skechers U.S.A.","https://www.crunchbase.com/organization/skechers-u-s-a","Fashion, Lifestyle, Shopping","Manhattan Beach, California, United States","SKECHERS USA, Inc. designs, develops and markets more than 3,000 styles for men, women and children.",11249,"$1B to $10B","1992-01-01","year","Clothing and Apparel, Commerce and Shopping, Community and Lifestyle, Design","1","5001-10000","1","5e+08","USD","5e+08","NA","Public","1999-06-09","Made Acquisitions","NA","NA","IPO","2019-11-26","5e+08","USD","500000000","Post-IPO Debt","NA","NA","NA",0
"506",506,"Monkey","https://www.crunchbase.com/organization/monkey-9122","Mobile Apps, Social Network, Video Chat","Los Angeles, California, United States","Monkey is a social networking app where like-minded people meet.",11264,"NA","2017-01-01","year","Apps, Information Technology, Internet Services, Messaging and Telecommunications, Mobile, Software","3","1-10","1","2e+06","USD","2e+06","2","Private","NA","Was Acquired","NA","NA","M&A","2017-02-01","2e+06","USD","2000000","Seed","NA","NA","NA",0
"507",507,"Iodine","https://www.crunchbase.com/organization/iodine","Analytics, Data Visualization, Health Care, Internet, Location Based Services","Santa Monica, California, United States","Iodine is a healthcare company helps people find the right medications.",11271,"NA","2013-01-01","year","Data and Analytics, Design, Health Care, Information Technology, Internet Services, Navigation and Mapping, Software","2","11-50","2","2500000","USD","2500000","10","Private","NA","Was Acquired","NA","NA","M&A","2014-02-28","2500000","USD","2500000","Seed","0","6","NA",0
"508",508,"ArmaGen Technologies","https://www.crunchbase.com/organization/armagen-technologies","Biotechnology, Health Care, Medical","Santa Monica, California, United States","ArmaGen is focused on developing technologies for siRNA delivery across the blood-brain barrier.",11288,"$1M to $10M","2001-01-01","year","Biotechnology, Health Care, Science and Engineering","1","11-50","2","25492899","USD","25492899","4","Private","NA","Was Acquired","NA","1","M&A","2012-11-29","1.7e+07","USD","17000000","Series A","3","1","NA",0
"509",509,"Ticketmaster","https://www.crunchbase.com/organization/ticketmaster","Concerts, Digital Entertainment, Enterprise Software, Events, Media and Entertainment, Mobile, Social Media, Ticketing","West Hollywood, California, United States","Ticketmaster is the world’s largest ticket marketplace and the global market leader in live event ticketing.",11306,"$1B to $10B","1976-01-01","year","Events, Internet Services, Media and Entertainment, Mobile, Software","4","5001-10000","1","NA","NA","NA","1","Public","1996-11-19","Made Acquisitions, Was Acquired","4","NA","M&A","1997-11-20","NA","NA","NA","Venture - Series Unknown","19","0","NA",0
"510",510,"Koia","https://www.crunchbase.com/organization/koia","Food and Beverage, Food Delivery, Food Processing","Los Angeles, California, United States","Koia fresh plant-based protein beverages.",11351,"$1M to $10M","2014-01-01","year","Food and Beverage, Transportation","3","1-10","3","7500000","USD","7500000","3","Private","NA","NA","NA","2","NA","2018-10-23","NA","NA","NA","Undisclosed","NA","NA","NA",0
"511",511,"ForwardLine","https://www.crunchbase.com/organization/forwardline","Financial Services, Small and Medium Businesses","Woodland Hills, California, United States","ForwardLine is a non-bank lender providing small business owners, nationwide, with alternatives to traditional business loans.",11363,"$1M to $10M","2003-01-01","year","Financial Services","3","51-100","2","1.2e+08","USD","1.2e+08","2","Private","NA","NA","NA","2","NA","2019-09-26","2e+07","USD","20000000","Venture - Series Unknown","0","5","NA",0
"512",512,"mitú","https://www.crunchbase.com/organization/mitú","Communities, Hospitality, Publishing","Santa Monica, California, United States","Home to the largest community of Latino",11377,"$1M to $10M","2012-01-01","year","Community and Lifestyle, Content and Publishing, Media and Entertainment, Travel and Tourism","3","51-100","5","5.2e+07","USD","5.2e+07","13","Private","NA","Was Acquired","2","2","M&A","2018-11-14","1e+07","USD","10000000","Series D","1","10","NA",0
"513",513,"Reaction Commerce","https://www.crunchbase.com/organization/ongo-works","E-Commerce, E-Commerce Platforms, Information Technology, Internet, Marketplace, Open Source, Software","Santa Monica, California, United States","Reaction Commerce is an open and real-time commerce platform for modern retailers.",11406,"$1M to $10M","2013-10-01","day","Commerce and Shopping, Information Technology, Internet Services, Software","2","11-50","2","11200000","USD","11200000","8","Private","NA","NA","NA","2","Early Stage Venture","2017-10-31","8500000","USD","8500000","Series A","0","4","NA",0
"514",514,"PKRS.AI","https://www.crunchbase.com/organization/peakers","Artificial Intelligence, Internet, Machine Learning, Sports","Santa Monica, California, United States","The future of personal coaching. AI powered, human enhanced.",11464,"NA","2018-01-01","day","Artificial Intelligence, Data and Analytics, Internet Services, Science and Engineering, Software, Sports","1","11-50","4","4095000","USD","4095000","1","Private","NA","NA","NA","1","Seed","2019-09-20","2750000","USD","2750000","Seed","0","2","NA",0
"515",515,"TPx Communications","https://www.crunchbase.com/organization/telepacific-communications","Internet, ISP, Telecommunications, Web Hosting","Los Angeles, California, United States","TPx Communications provides business internet, phone and data services for business telecommunication needs.",11466,"NA","1998-01-01","year","Hardware, Internet Services","1","1001-5000","5","2.92e+08","USD","2.92e+08","2","Private","NA","Made Acquisitions, Was Acquired","9","2","M&A","2011-07-26","1.25e+08","USD","125000000","Private Equity","NA","NA","NA",0
"516",516,"BeautyCon","https://www.crunchbase.com/organization/beautycon","Beauty, Fashion, Lifestyle","Los Angeles, California, United States","BeautyCon Media is a website for all things beauty and fashion.",11467,"NA","2011-01-01","year","Clothing and Apparel, Community and Lifestyle, Consumer Goods, Design","3","11-50","4","1.1e+07","USD","1.1e+07","26","Private","NA","NA","NA","1","Early Stage Venture","2018-01-15","NA","NA","NA","Series A","0","9","NA",0
"517",517,"Rally Cry","https://www.crunchbase.com/organization/rally-cry","Gaming, Media and Entertainment","Irvine, California, United States","Rally Cry is an early-stage gaming technology startup located in Southern California.",11487,"NA","2020-01-01","year","Gaming, Media and Entertainment","3","1-10","1","1200000","USD","1200000","8","Private","NA","NA","NA","NA","Seed","2020-03-26","1200000","USD","1200000","Seed","NA","NA","NA",0
"518",518,"Intellect","https://www.crunchbase.com/organization/interneer","Enterprise Software, Information Technology, SaaS, Software","Los Angeles, California, United States","Intellect, is a leader in SaaS BPM software that helps to empower everyone to innovate with Smart Business Apps.",11503,"$1M to $10M","2000-01-01","year","Information Technology, Software","1","11-50","6","4100000","USD","4100000","2","Private","NA","NA","NA","1","Seed","2018-03-30","2e+05","USD","200000","Debt Financing","2","3","NA",0
"519",519,"Liberman Broadcasting","https://www.crunchbase.com/organization/liberman-broadcasting","Broadcasting, Music, TV","Burbank, California, United States","LBI Media, Inc. engages in the ownership and operation of Spanish-language radio and television",11510,"$100M to $500M","1987-01-01","year","Media and Entertainment, Music and Audio, Video","1","501-1000","1","211526000","USD","211526000","NA","Private","NA","NA","NA","NA","NA","2015-01-07","211526000","USD","211526000","Debt Financing","NA","NA","NA",0
"520",520,"Tuition.io","https://www.crunchbase.com/organization/tuition-io","Education, Finance, Financial Services, Personal Finance","Santa Monica, California, United States","Tuition.io delivers student loan contributions as a benefit, allowing companies and governments of all sizes to recruit and retain talent.",11613,"NA","2011-01-01","year","Education, Financial Services","2","11-50","5","15150000","USD","15150000","19","Private","NA","NA","1","2","Early Stage Venture","2017-09-21","7e+06","USD","7000000","Series B","0","1","NA",0
"521",521,"Stop, Breathe & Think, PBC","https://www.crunchbase.com/organization/stop-breathe-think-pbc","Fitness, Health Care, Mobile","Santa Monica, California, United States","Inspiring the world to practice mental wellness every day",11654,"NA","2016-01-01","year","Health Care, Mobile, Sports","2","1-10","3","3e+06","USD","3e+06","2","Private","NA","Was Acquired","NA","1","M&A","2018-10-01","6e+05","USD","600000","Seed","0","1","NA",0
"522",522,"ODK Media, Inc.","https://www.crunchbase.com/organization/odk-media","Media and Entertainment, Video Streaming","Fullerton, California, United States","Korean TV, Movies, Video Streaming",11688,"Less than $1M","2011-12-31","day","Content and Publishing, Media and Entertainment, Video","4","11-50","2","3562743","USD","3562743","3","Private","NA","NA","NA","NA","Early Stage Venture","2014-04-01","2062743","USD","2062743","Series B","0","4","NA",0
"523",523,"Workpop","https://www.crunchbase.com/organization/workpop","Internet, Recruiting, Small and Medium Businesses, Software","Santa Monica, California, United States","Workpop is a seamless hiring platform for small and medium businesses.",11690,"NA","2014-02-01","month","Internet Services, Professional Services, Software","4","11-50","3","16100000","USD","16100000","18","Private","NA","Was Acquired","NA","1","M&A","2016-04-01","8200000","USD","8200000","Venture - Series Unknown","0","5","NA",0
"524",524,"Jakks Pacific","https://www.crunchbase.com/organization/jakks-pacific","Electronics, Green Consumer Goods, Toys","Santa Monica, California, United States","JAKKS Pacific designs, develops, produces, and markets consumer products for kids.",11698,"$100M to $500M","1995-01-01","year","Consumer Electronics, Consumer Goods, Hardware, Sustainability","1","501-1000","2","7.5e+07","USD","7.5e+07","2","Public","1998-06-10","Made Acquisitions","NA","NA","IPO","2016-10-17","NA","NA","NA","Post-IPO Equity","44","320","NA",0
"525",525,"Enplug","https://www.crunchbase.com/organization/enplug","Advertising, Digital Signage, Enterprise Software, Local Advertising, SaaS, Social Media, Software","Culver City, California, United States","Enplug is a software company that built the first open platform for digital displays everywhere.",11698,"$1M to $10M","2012-09-01","day","Advertising, Internet Services, Media and Entertainment, Sales and Marketing, Software","5","11-50","3","3700000","USD","3700000","16","Private","NA","NA","NA","NA","Seed","2014-04-17","2500000","USD","2500000","Seed","6","2","NA",0
"526",526,"Unitas Global","https://www.crunchbase.com/organization/unitas-global","Cloud Computing, Cloud Management, Enterprise Software, IaaS, Private Cloud","Los Angeles, California, United States","Enterprise Managed Cloud and Cloud Connectivity Solutions",11718,"$50M to $100M","2009-01-01","year","Hardware, Information Technology, Internet Services, Software","4","101-250","4","20600000","USD","20600000","5","Private","NA","Made Acquisitions","NA","1","Late Stage Venture","2018-01-17","1e+07","USD","10000000","Series C","0","7","NA",0
"527",527,"Vetted PetCare","https://www.crunchbase.com/organization/vetted-petcare","Health Care, Medical, Pet, Veterinary","Los Angeles, California, United States","Vetted PetCare provides veterinarians for in-home care and video triage.",11729,"$1M to $10M","2015-01-01","year","Community and Lifestyle, Health Care","1","1-10","2","3450000","USD","3450000","5","Private","NA","Made Acquisitions","NA","1","NA","2019-11-26","150000","USD","150000","Venture - Series Unknown","NA","NA","NA",0
"528",528,"EcoSense Lighting","https://www.crunchbase.com/organization/ecosense-lighting","Consumer Applications, Electronics, Manufacturing, Product Design, Software","Los Angeles, California, United States","EcoSense Lighting designs and develops lighting solutions for commercial and residential applications.",11729,"$10M to $50M","2009-01-01","year","Apps, Consumer Electronics, Design, Hardware, Manufacturing, Software","1","51-100","5","56788185","USD","56788185","2","Private","NA","Made Acquisitions","NA","2","Late Stage Venture","2014-12-16","25215501","USD","25215501","Series C","95","20","NA",0
"529",529,"Digital Map Products","https://www.crunchbase.com/organization/digital-map-products","Cloud Data Services, Geospatial, Location Based Services, PaaS, Real Estate, SaaS, Software","Irvine, California, United States","We provide context to the world around you with the most extensible location intelligence platform available.",11758,"$10M to $50M","2000-10-01","month","Data and Analytics, Information Technology, Internet Services, Navigation and Mapping, Real Estate, Software","1","101-250","3","41227000","USD","41227000","2","Private","NA","Made Acquisitions, Was Acquired","2","1","M&A","2016-09-15","36300000","USD","36300000","Private Equity","2","5","NA",0
