Y,id,Organization.Name,Industries,Headquarters.Location,Description,CB.Rank..Company.,Estimated.Revenue.Range,Founded.Date,Founded.Date.Precision,Industry.Groups,Number.of.Founders,Number.of.Employees,Number.of.Funding.Rounds,Total.Funding.Amount,Number.of.Investors,IPO.Status,IPO.Date,Acquisition.Status,Number.of.Events,Number.of.Lead.Investors,Funding.Status,Last.Funding.Date,Last.Funding.Amount.Currency..in.USD.,Last.Funding.Type,IPqwery...Total.Patents,IPqwery...Total.Trademarks,Investment.Stage
0,469,Solaborate,"Information Technology, Private Social Networking, Social Media, Software","Los Angeles, California, United States","Solaborate, is all in one  communication  and collaboration platform company",10421,NA,6/1/2012,day,"Community and Lifestyle, Information Technology, Internet Services, Media and Entertainment, Software",2,51-100,3,11430000,2,Private,NA,NA,5,NA,Early Stage Venture,2/3/2020,10000000,Series A,1,0,NA
0,470,Iyuno Media Group,"Broadcasting, Digital Media, Film Distribution, Media and Entertainment","Burbank, California, United States",Iyuno Media Group is a global localization and media content distribution services with 40 facilities in 30 countries.,10466,$1M to $10M,1/1/2002,year,"Media and Entertainment, Video",1,1001-5000,1,23500000,1,Private,NA,"Made Acquisitions, Was Acquired",NA,1,M&A,4/13/2018,23500000,Series A,NA,NA,NA
0,471,Nasty Gal,"E-Commerce, Fashion, Retail","Los Angeles, California, United States",Fashion,10501,$10M to $50M,11/1/2006,day,"Clothing and Apparel, Commerce and Shopping, Design",1,251-500,3,65000000,2,Private,NA,Was Acquired,NA,2,M&A,2/26/2015,16000000,Series C,NA,NA,NA
0,472,Storyblaster,"Social Media, Social Media Marketing, Software","Studio City, California, United States",Storyblaster is a computer software platform designed for crowdfunding.,10526,NA,1/1/2016,year,"Internet Services, Media and Entertainment, Sales and Marketing, Software",2,11-50,3,4710000,5,Private,NA,NA,NA,2,Seed,3/5/2020,2500000,Seed,1,2,NA
0,473,Collab,"Computer, Internet, Software","Los Angeles, California, United States",Collab is a creator development studio transforming popular digital video creators into professional entertainers,10533,$50M to $100M,1/1/2012,month,"Consumer Electronics, Hardware, Internet Services, Software",2,101-250,1,3000000,1,Private,NA,NA,7,1,Early Stage Venture,11/1/2017,3000000,Series A,0,4,NA
0,474,Warner Bros.,"Art, Digital Entertainment, Film, Film Production, Telecommunications, TV Production","Burbank, California, United States","Warner Bros. is a media company that creates, produces, distributes, licenses, and markets of several forms of entertainment.",10561,NA,4/4/1918,day,"Hardware, Media and Entertainment, Video",1,501-1000,,,NA,Private,NA,Made Acquisitions,5,NA,NA,,NA,NA,165,"2,079",NA
0,475,Scalefast,"B2B, B2C, Cloud Computing, E-Commerce, E-Commerce Platforms, Payments, Subscription Service","El Segundo, California, United States",Scalefast is a global digital commerce solution that simplifies and streamlines ecommerce for inspirational brands.,10562,NA,1/1/2014,year,"Commerce and Shopping, Financial Services, Internet Services, Payments, Software",3,51-100,2,10000000,4,Private,NA,NA,2,1,Early Stage Venture,12/21/2017,8000000,Series A,0,3,NA
0,476,Glaukos,"Health Care, Medical, Wellness","San Clemente, California, United States",Glaukos is a glaucoma treatment company developing micro-bypass therapies to moderate the intraocular pressures that help preserve vision.,10577,$50M to $100M,1/1/1998,year,Health Care,3,251-500,7,121000392,8,Public,2015-06-25,Made Acquisitions,NA,2,IPO,2/7/2013,30000000,Series F,120,46,NA
0,477,Alphaeon,"Health Care, Medical Device, Wellness","Irvine, California, United States",ALPHAEON Corporation is a social commerce company with the goal of transforming self-pay healthcare.,10583,NA,7/22/2013,day,Health Care,1,251-500,4,160760133,4,Private,NA,"Made Acquisitions, Was Acquired",NA,2,M&A,8/10/2016,53700000,Convertible Note,52,42,NA
0,478,Forge,"Human Resources, SaaS, Software","Playa Vista, California, United States",Forge is platform that empowers hourly workforces to work on-demand while giving their employers the tools needed to run their business.,10610,$1M to $10M,1/1/2015,year,Software,4,11-50,3,4000000,11,Private,NA,"Made Acquisitions, Was Acquired",NA,NA,M&A,6/6/2018,NA,Convertible Note,NA,NA,NA
0,479,Maple Media,"Advertising, Android, Digital Media, iOS, Marketing, Media and Entertainment, Mobile Advertising, Mobile Apps, Social Media","Los Angeles, California, United States","Maple Media is a mobile media, advertising and technology company that acquires, manages, and operates mobile applications.",10619,Less than $1M,12/1/2016,day,"Advertising, Apps, Internet Services, Media and Entertainment, Mobile, Platforms, Sales and Marketing, Software",2,11-50,1,30000000,1,Private,NA,Made Acquisitions,NA,1,Private Equity,2/22/2017,30000000,Private Equity,0,9,NA
0,480,PEAR SPORTS,"Fitness, Health Care, mHealth, Personal Health, Real Time, Software, Sports, Training, Wellness","Irvine, California, United States","Pear is the smart training system that coaches you in real-time, creating the ultimate workout experience that inspires and pushes you to",10704,$1M to $10M,1/1/2010,year,"Education, Health Care, Mobile, Software, Sports",2,11-50,3,6988095,3,Private,NA,Made Acquisitions,NA,2,NA,5/27/2015,821095,Venture - Series Unknown,6,7,NA
0,481,Specright,"SaaS, Software, Supply Chain Management","Irvine, California, United States",Specright’s Specification Data Management™platform enables companies to manage & map product and packaging data across the supply chain..,10722,NA,11/1/2014,month,"Software, Transportation",1,51-100,3,11955273,4,Private,NA,NA,NA,1,Early Stage Venture,4/29/2019,8800000,Series A,0,6,NA
0,482,Parrot Analytics,"Artificial Intelligence, Big Data, Content Discovery, Enterprise Software, Film, Internet, Machine Learning, Media and Entertainment, TV","Beverly Hills, California, United States","Parrot Analytics is a data science company that measures and predicts global demand for content, across all platforms, around the world. ",10755,$1M to $10M,1/1/2013,year,"Artificial Intelligence, Content and Publishing, Data and Analytics, Internet Services, Media and Entertainment, Science and Engineering, Software, Video",3,11-50,3,18000000,10,Private,NA,NA,NA,1,Early Stage Venture,7/25/2018,10265401,Series A,0,12,NA
0,483,FaceFirst,"Facial Recognition, Software","Encino, California, United States","The FaceFirst platform uses face recognition technology to prevent fraud, security risks and public safety threats.",10765,$1M to $10M,1/1/2007,year,"Data and Analytics, Software",NA,11-50,1,7403920,NA,Private,NA,NA,1,NA,Early Stage Venture,5/5/2016,7403920,Series A,0,2,NA
0,484,Brainbase,"Enterprise Software, Intellectual Property","Los Angeles, California, United States",Brainbase helps companies manage and monetize their intellectual property.,10774,NA,11/1/2016,month,"Professional Services, Software",3,11-50,2,4000000,13,Private,NA,NA,NA,2,Seed,8/20/2019,3000000,Seed,NA,NA,NA
0,485,Pearl,"Artificial Intelligence, Computer Vision, Dental, Health Care, Image Recognition, Software","West Hollywood, California, United States",Pearl is a computer vision company focusing on solving challenging problems in the dental industry.,10797,NA,4/30/2019,day,"Artificial Intelligence, Data and Analytics, Hardware, Health Care, Science and Engineering, Software",2,11-50,1,11000000,2,Private,NA,NA,NA,1,Early Stage Venture,5/8/2019,11000000,Series A,0,5,NA
0,486,Camino Financial,"Commercial Lending, Credit, Financial Services, FinTech, Small and Medium Businesses","Los Angeles, California, United States",Camino Financial is a data-driven fintech platform pioneering affordable small business loans to Latinx businesses,10798,NA,1/1/2014,year,"Financial Services, Lending and Investments",2,51-100,9,20350000,7,Private,NA,NA,NA,3,Early Stage Venture,12/11/2019,8000000,Series A,0,1,NA
0,487,JustFoodForDogs,"Food and Beverage, Food Processing, Health Care","West Hollywood, California, United States","Nutritionally Balanced, 100% USDA Ingredients, No Preservatives, Vet Recommended & Always Hand-made in Small Batches.",10817,$10M to $50M,4/1/2010,day,"Food and Beverage, Health Care",1,11-50,3,11100000,1,Private,NA,NA,NA,1,NA,10/25/2018,8500000,Venture - Series Unknown,0,6,NA
0,488,Hippeas,"Food and Beverage, Health Care, Organic Food","Los Angeles, California, United States",Hippeas is a operator of natural snack food companies.,10822,$1M to $10M,1/1/2015,year,"Food and Beverage, Health Care",1,11-50,4,22000000,3,Private,NA,NA,NA,2,NA,12/7/2018,8000000,Venture - Series Unknown,NA,NA,NA
0,489,Virtualitics,"Artificial Intelligence, Augmented Reality, Data Visualization, Machine Learning, Natural Language Processing, Software, Virtual Reality","Pasadena, California, United States",Virtualitics provides data visualization in virtual reality and augmented reality environments.,10846,Less than $1M,1/1/2015,year,"Artificial Intelligence, Data and Analytics, Design, Hardware, Information Technology, Science and Engineering, Software",4,11-50,3,11400000,2,Private,NA,NA,5,2,Early Stage Venture,2/28/2018,7000000,Series B,2,2,NA
0,490,Matter,"Independent Music, Media and Entertainment, Music, Music Streaming","Los Angeles, California, United States",beyond streaming,10854,NA,2/1/2019,month,"Internet Services, Media and Entertainment, Music and Audio",2,1-10,1,500000,NA,Private,NA,NA,NA,NA,Seed,6/1/2019,500000,Pre-Seed,0,2,NA
0,491,Apelab,"Augmented Reality, Digital Entertainment, Media and Entertainment, Software, Virtual Reality","Los Angeles, California, United States",Apelab is a software company focusing on AR/VR/MR.,10883,Less than $1M,1/1/2014,year,"Hardware, Media and Entertainment, Software",4,1-10,2,300000,3,Private,NA,NA,1,2,Seed,4/3/2020,NA,Seed,NA,NA,NA
0,492,Jumpcut,"Digital Media, Education, Film Production, Internet, Social Media Marketing, Video, Video Editing","Los Angeles, California, United States",Jumpcut creates captivating online courses.,10919,Less than $1M,6/1/2014,month,"Content and Publishing, Education, Internet Services, Media and Entertainment, Sales and Marketing, Video",3,11-50,2,2000000,13,Private,NA,NA,1,1,Seed,8/6/2019,NA,Seed,NA,NA,NA
0,493,Funraise,"Crowdfunding, Enterprise Software, SaaS, Software","Los Angeles, California, United States",Nonprofit Fundraising Software,10936,$1M to $10M,1/1/2015,year,"Financial Services, Software",3,51-100,2,12700000,3,Private,NA,NA,NA,1,Early Stage Venture,1/30/2018,9700000,Series A,0,5,Early Stage Venture
0,494,AWAK Technologies,"Biotechnology, Wearables","Burbank, California, United States","AWAK develops wearable dialysis machines that operate and function like a normal kidney, for continuous dialysis.",10936,NA,1/1/2007,year,"Biotechnology, Consumer Electronics, Hardware, Science and Engineering",1,11-50,3,57200000,5,Private,NA,NA,NA,2,Early Stage Venture,12/13/2019,40000000,Series A,NA,NA,NA
0,495,Lucid Sight,"Blockchain, Computer, Cryptocurrency, Ethereum, Product Design, Video Games, Virtual Reality","Los Angeles, California, United States","Lucid Sight, Inc. develops games with digital scarcity and true digital ownership as first principles.",10968,$1M to $10M,1/1/2015,year,"Consumer Electronics, Design, Financial Services, Gaming, Hardware, Payments, Software",3,11-50,3,11000000,10,Private,NA,NA,NA,2,Early Stage Venture,4/2/2019,6000000,Series B,0,11,NA
0,496,Embodied Labs,"Corporate Training, Elder Care, Health Care, Home Health Care, Nursing and Residential Care, Training, Virtual Reality, Wellness","Los Angeles, California, United States","Embodied Labs is an immersive training platform that improves outcomes in training, awareness, and family and caregiver support.",11015,Less than $1M,8/1/2016,day,"Education, Hardware, Health Care, Software",3,1-10,1,3200000,6,Private,NA,NA,17,1,Seed,1/13/2020,3200000,Seed,NA,NA,NA
0,497,Lofty AI,"Artificial Intelligence, Real Estate","Marina Del Rey, California, United States",Lofty AI is a real estate investment technology using artificial intelligence to identify neighborhood growth.,11030,NA,6/1/2018,month,"Artificial Intelligence, Data and Analytics, Real Estate, Science and Engineering, Software",3,1-10,2,800000,11,Private,NA,NA,NA,2,Seed,8/19/2019,800000,Seed,NA,NA,NA
0,498,Social Native,"Advertising, Brand Marketing, Content","Beverly Hills, California, United States",Social Native is a technology platform for creating high performing branded content.,11032,NA,1/1/2015,day,"Advertising, Media and Entertainment, Sales and Marketing",2,11-50,1,8000000,22,Private,NA,NA,1,1,Seed,5/15/2017,8000000,Seed,0,2,NA
0,499,Syxsense,"Cloud Management, Cloud Security, Enterprise Software, IT Management, Security, Software","Aliso Viejo, California, United States","IT management and security solution that combines Vulnerability Scanning, Patch Management and EDR capabilities",11181,$1M to $10M,10/10/2012,day,"Information Technology, Internet Services, Privacy and Security, Software",1,51-100,2,2000000,2,Private,NA,NA,NA,1,Seed,6/19/2019,2000000,Debt Financing,NA,NA,NA
0,500,SetPoint Medical,"Biotechnology, Health Care, Medical Device, Neuroscience","Valencia, California, United States",SetPoint Medical treats patients with debilitating inflammatory diseases using proprietary implantable bioelectronic devices.,11187,$1M to $10M,1/1/2006,year,"Biotechnology, Health Care, Science and Engineering",3,11-50,7,84300000,10,Private,NA,NA,NA,1,Late Stage Venture,8/28/2017,30000000,Series D,31,3,NA
0,501,Hype and Vice,"E-Commerce, Education, Fashion, Lifestyle, Retail","Los Angeles, California, United States",Hype and Vice combines on-trend fashion with University brands to create apparel women actually want to wear.,11200,NA,11/23/2015,day,"Clothing and Apparel, Commerce and Shopping, Community and Lifestyle, Design, Education",2,1-10,2,1650000,5,Private,NA,NA,NA,2,Seed,11/13/2019,1500000,Seed,0,4,NA
0,502,Mahmee,"Health Care, mHealth, Women's","Los Angeles, California, United States","Mahmee provides comprehensive, personalized supports and care management pregnancy through infancy.",11210,Less than $1M,1/1/2014,year,"Health Care, Mobile",2,11-50,4,3000000,12,Private,NA,NA,1,2,Seed,9/1/2019,NA,Seed,0,1,NA
0,503,HomeHero,"Health Care, Home Health Care, Internet, Service Industry","Santa Monica, California, United States",HomeHero is a non-medical home care provider that leverages technology and human compassion to extend the health system into the home.,11229,NA,5/1/2013,day,"Health Care, Internet Services",2,11-50,3,23000000,9,Private,NA,NA,NA,2,Seed,3/28/2016,NA,Pre-Seed,NA,NA,NA
0,504,Quarterly,"E-Commerce, Gift Card","Culver City, California, United States",Quarterly offers a design-oriented subscription service enabling anyone to sign up and receive curated gifts from influential contributors.,11238,NA,5/1/2011,day,"Commerce and Shopping, Financial Services",1,11-50,4,3650000,11,Private,NA,Made Acquisitions,NA,1,Early Stage Venture,9/2/2015,NA,Convertible Note,NA,NA,NA
0,505,Skechers U.S.A.,"Fashion, Lifestyle, Shopping","Manhattan Beach, California, United States","SKECHERS USA, Inc. designs, develops and markets more than 3,000 styles for men, women and children.",11249,$1B to $10B,1/1/1992,year,"Clothing and Apparel, Commerce and Shopping, Community and Lifestyle, Design",1,5001-10000,1,500000000,NA,Public,1999-06-09,Made Acquisitions,NA,NA,IPO,11/26/2019,500000000,Post-IPO Debt,NA,NA,NA
0,506,Monkey,"Mobile Apps, Social Network, Video Chat","Los Angeles, California, United States",Monkey is a social networking app where like-minded people meet.,11264,NA,1/1/2017,year,"Apps, Information Technology, Internet Services, Messaging and Telecommunications, Mobile, Software",3,1-10,1,2000000,2,Private,NA,Was Acquired,NA,NA,M&A,2/1/2017,2000000,Seed,NA,NA,NA
0,507,Iodine,"Analytics, Data Visualization, Health Care, Internet, Location Based Services","Santa Monica, California, United States",Iodine is a healthcare company helps people find the right medications.,11271,NA,1/1/2013,year,"Data and Analytics, Design, Health Care, Information Technology, Internet Services, Navigation and Mapping, Software",2,11-50,2,2500000,10,Private,NA,Was Acquired,NA,NA,M&A,2/28/2014,2500000,Seed,0,6,NA
0,508,ArmaGen Technologies,"Biotechnology, Health Care, Medical","Santa Monica, California, United States",ArmaGen is focused on developing technologies for siRNA delivery across the blood-brain barrier.,11288,$1M to $10M,1/1/2001,year,"Biotechnology, Health Care, Science and Engineering",1,11-50,2,25492899,4,Private,NA,Was Acquired,NA,1,M&A,11/29/2012,17000000,Series A,3,1,NA
0,509,Ticketmaster,"Concerts, Digital Entertainment, Enterprise Software, Events, Media and Entertainment, Mobile, Social Media, Ticketing","West Hollywood, California, United States",Ticketmaster is the world’s largest ticket marketplace and the global market leader in live event ticketing.,11306,$1B to $10B,1/1/1976,year,"Events, Internet Services, Media and Entertainment, Mobile, Software",4,5001-10000,1,,1,Public,1996-11-19,"Made Acquisitions, Was Acquired",4,NA,M&A,11/20/1997,NA,Venture - Series Unknown,19,0,NA
0,510,Koia,"Food and Beverage, Food Delivery, Food Processing","Los Angeles, California, United States",Koia fresh plant-based protein beverages.,11351,$1M to $10M,1/1/2014,year,"Food and Beverage, Transportation",3,1-10,3,7500000,3,Private,NA,NA,NA,2,NA,10/23/2018,NA,Undisclosed,NA,NA,NA
0,511,ForwardLine,"Financial Services, Small and Medium Businesses","Woodland Hills, California, United States","ForwardLine is a non-bank lender providing small business owners, nationwide, with alternatives to traditional business loans.",11363,$1M to $10M,1/1/2003,year,Financial Services,3,51-100,2,120000000,2,Private,NA,NA,NA,2,NA,9/26/2019,20000000,Venture - Series Unknown,0,5,NA
0,512,mitú,"Communities, Hospitality, Publishing","Santa Monica, California, United States",Home to the largest community of Latino,11377,$1M to $10M,1/1/2012,year,"Community and Lifestyle, Content and Publishing, Media and Entertainment, Travel and Tourism",3,51-100,5,52000000,13,Private,NA,Was Acquired,2,2,M&A,11/14/2018,10000000,Series D,1,10,NA
0,513,Reaction Commerce,"E-Commerce, E-Commerce Platforms, Information Technology, Internet, Marketplace, Open Source, Software","Santa Monica, California, United States",Reaction Commerce is an open and real-time commerce platform for modern retailers.,11406,$1M to $10M,10/1/2013,day,"Commerce and Shopping, Information Technology, Internet Services, Software",2,11-50,2,11200000,8,Private,NA,NA,NA,2,Early Stage Venture,10/31/2017,8500000,Series A,0,4,NA
0,514,PKRS.AI,"Artificial Intelligence, Internet, Machine Learning, Sports","Santa Monica, California, United States","The future of personal coaching. AI powered, human enhanced.",11464,NA,1/1/2018,day,"Artificial Intelligence, Data and Analytics, Internet Services, Science and Engineering, Software, Sports",1,11-50,4,4095000,1,Private,NA,NA,NA,1,Seed,9/20/2019,2750000,Seed,0,2,NA
0,515,TPx Communications,"Internet, ISP, Telecommunications, Web Hosting","Los Angeles, California, United States","TPx Communications provides business internet, phone and data services for business telecommunication needs.",11466,NA,1/1/1998,year,"Hardware, Internet Services",1,1001-5000,5,292000000,2,Private,NA,"Made Acquisitions, Was Acquired",9,2,M&A,7/26/2011,125000000,Private Equity,NA,NA,NA
0,516,BeautyCon,"Beauty, Fashion, Lifestyle","Los Angeles, California, United States",BeautyCon Media is a website for all things beauty and fashion.,11467,NA,1/1/2011,year,"Clothing and Apparel, Community and Lifestyle, Consumer Goods, Design",3,11-50,4,11000000,26,Private,NA,NA,NA,1,Early Stage Venture,1/15/2018,NA,Series A,0,9,NA
0,517,Rally Cry,"Gaming, Media and Entertainment","Irvine, California, United States",Rally Cry is an early-stage gaming technology startup located in Southern California.,11487,NA,1/1/2020,year,"Gaming, Media and Entertainment",3,1-10,1,1200000,8,Private,NA,NA,NA,NA,Seed,3/26/2020,1200000,Seed,NA,NA,NA
0,518,Intellect,"Enterprise Software, Information Technology, SaaS, Software","Los Angeles, California, United States","Intellect, is a leader in SaaS BPM software that helps to empower everyone to innovate with Smart Business Apps.",11503,$1M to $10M,1/1/2000,year,"Information Technology, Software",1,11-50,6,4100000,2,Private,NA,NA,NA,1,Seed,3/30/2018,200000,Debt Financing,2,3,NA
0,519,Liberman Broadcasting,"Broadcasting, Music, TV","Burbank, California, United States","LBI Media, Inc. engages in the ownership and operation of Spanish-language radio and television",11510,$100M to $500M,1/1/1987,year,"Media and Entertainment, Music and Audio, Video",1,501-1000,1,211526000,NA,Private,NA,NA,NA,NA,NA,1/7/2015,211526000,Debt Financing,NA,NA,NA
0,520,Tuition.io,"Education, Finance, Financial Services, Personal Finance","Santa Monica, California, United States","Tuition.io delivers student loan contributions as a benefit, allowing companies and governments of all sizes to recruit and retain talent.",11613,NA,1/1/2011,year,"Education, Financial Services",2,11-50,5,15150000,19,Private,NA,NA,1,2,Early Stage Venture,9/21/2017,7000000,Series B,0,1,NA
0,521,"Stop, Breathe & Think, PBC","Fitness, Health Care, Mobile","Santa Monica, California, United States",Inspiring the world to practice mental wellness every day,11654,NA,1/1/2016,year,"Health Care, Mobile, Sports",2,1-10,3,3000000,2,Private,NA,Was Acquired,NA,1,M&A,10/1/2018,600000,Seed,0,1,NA
0,522,"ODK Media, Inc.","Media and Entertainment, Video Streaming","Fullerton, California, United States","Korean TV, Movies, Video Streaming",11688,Less than $1M,12/31/2011,day,"Content and Publishing, Media and Entertainment, Video",4,11-50,2,3562743,3,Private,NA,NA,NA,NA,Early Stage Venture,4/1/2014,2062743,Series B,0,4,NA
0,523,Workpop,"Internet, Recruiting, Small and Medium Businesses, Software","Santa Monica, California, United States",Workpop is a seamless hiring platform for small and medium businesses.,11690,NA,2/1/2014,month,"Internet Services, Professional Services, Software",4,11-50,3,16100000,18,Private,NA,Was Acquired,NA,1,M&A,4/1/2016,8200000,Venture - Series Unknown,0,5,NA
0,524,Jakks Pacific,"Electronics, Green Consumer Goods, Toys","Santa Monica, California, United States","JAKKS Pacific designs, develops, produces, and markets consumer products for kids.",11698,$100M to $500M,1/1/1995,year,"Consumer Electronics, Consumer Goods, Hardware, Sustainability",1,501-1000,2,75000000,2,Public,1998-06-10,Made Acquisitions,NA,NA,IPO,10/17/2016,NA,Post-IPO Equity,44,320,NA
0,525,Enplug,"Advertising, Digital Signage, Enterprise Software, Local Advertising, SaaS, Social Media, Software","Culver City, California, United States",Enplug is a software company that built the first open platform for digital displays everywhere.,11698,$1M to $10M,9/1/2012,day,"Advertising, Internet Services, Media and Entertainment, Sales and Marketing, Software",5,11-50,3,3700000,16,Private,NA,NA,NA,NA,Seed,4/17/2014,2500000,Seed,6,2,NA
0,526,Unitas Global,"Cloud Computing, Cloud Management, Enterprise Software, IaaS, Private Cloud","Los Angeles, California, United States",Enterprise Managed Cloud and Cloud Connectivity Solutions,11718,$50M to $100M,1/1/2009,year,"Hardware, Information Technology, Internet Services, Software",4,101-250,4,20600000,5,Private,NA,Made Acquisitions,NA,1,Late Stage Venture,1/17/2018,10000000,Series C,0,7,NA
0,527,Vetted PetCare,"Health Care, Medical, Pet, Veterinary","Los Angeles, California, United States",Vetted PetCare provides veterinarians for in-home care and video triage.,11729,$1M to $10M,1/1/2015,year,"Community and Lifestyle, Health Care",1,1-10,2,3450000,5,Private,NA,Made Acquisitions,NA,1,NA,11/26/2019,150000,Venture - Series Unknown,NA,NA,NA
0,528,EcoSense Lighting,"Consumer Applications, Electronics, Manufacturing, Product Design, Software","Los Angeles, California, United States",EcoSense Lighting designs and develops lighting solutions for commercial and residential applications.,11729,$10M to $50M,1/1/2009,year,"Apps, Consumer Electronics, Design, Hardware, Manufacturing, Software",1,51-100,5,56788185,2,Private,NA,Made Acquisitions,NA,2,Late Stage Venture,12/16/2014,25215501,Series C,95,20,NA
0,529,Digital Map Products,"Cloud Data Services, Geospatial, Location Based Services, PaaS, Real Estate, SaaS, Software","Irvine, California, United States",We provide context to the world around you with the most extensible location intelligence platform available.,11758,$10M to $50M,10/1/2000,month,"Data and Analytics, Information Technology, Internet Services, Navigation and Mapping, Real Estate, Software",1,101-250,3,41227000,2,Private,NA,"Made Acquisitions, Was Acquired",2,1,M&A,9/15/2016,36300000,Private Equity,2,5,NA
0,530,HMBradley,"Apps, Banking, Finance, Financial Services, Mobile, Wealth Management","Santa Monica, California, United States",HMBradley develops a digital banking platform that automates the process of physical banking.,11765,NA,1/1/2018,year,"Apps, Financial Services, Lending and Investments, Mobile, Software",3,11-50,1,3500000,5,Private,NA,NA,NA,2,Seed,11/6/2019,3500000,Seed,0,1,NA
0,531,Songtradr,"Digital Media, E-Commerce, Marketplace, Music, Music Streaming","Santa Monica, California, United States","Songtradr is an online marketplace designed to facilitate music licensing for films, TV shows, ads, apps, and other media.",11786,NA,1/1/2014,year,"Commerce and Shopping, Internet Services, Media and Entertainment, Music and Audio",1,11-50,7,21240000,3,Private,NA,Made Acquisitions,2,2,Early Stage Venture,3/21/2019,12000000,Series B,2,5,NA
0,532,Plant Prefab,"Architecture, Construction, GreenTech, Manufacturing, Smart Building","Rialto, California, United States",Plant Prefab is the first prefabricated home factory in the nation dedicated to sustainable construction.,11817,NA,1/1/2015,year,"Manufacturing, Real Estate, Sustainability",1,NA,2,9700000,3,Private,NA,NA,NA,2,Early Stage Venture,9/25/2018,6700000,Series A,1,1,NA
0,533,BookingPal,"Leisure, SaaS, Travel","Irvine, California, United States","BookingPal is a distribution platform for vacation rental properties, resorts, campgrounds and RV park owners.",11857,$1M to $10M,1/1/2013,year,"Community and Lifestyle, Software, Travel and Tourism",1,11-50,5,22009994,8,Private,NA,NA,NA,3,Late Stage Venture,3/4/2019,12000000,Series D,0,3,NA
0,534,TOCA Football,"Recreation, Soccer, Sports","Costa Mesa, California, United States",TOCA is a soccer technology company that aims to disrupt and elevate the soccer experience through user-centered technology.,11863,$10M to $50M,1/1/2013,year,Sports,1,11-50,3,36460671,2,Private,NA,NA,NA,1,Late Stage Venture,10/30/2019,25000000,Series D,6,27,NA
0,535,Quality Systems,"Biotechnology, Health Care, Medical","Irvine, California, United States",Quality Systems develops healthcare information systems that automate medical and dental practices.,11869,$500M to $1B,1/1/1974,year,"Biotechnology, Health Care, Science and Engineering",1,1001-5000,3,323394037,2,Public,1982-12-10,Made Acquisitions,NA,2,IPO,4/2/2018,300000000,Post-IPO Debt,0,7,NA
0,536,Anine Bing,"E-Commerce, Internet, Retail, Shopping","Los Angeles, California, United States","ANINE BING offers luxurious staples, wardrobe basics and statement pieces that are current and timeless.",11880,$10M to $50M,1/1/2012,year,"Commerce and Shopping, Internet Services",1,NA,1,15000000,3,Private,NA,NA,NA,1,Early Stage Venture,9/1/2018,15000000,Series A,0,6,NA
0,537,Breitbart News Network,"Media and Entertainment, News, Publishing","Los Angeles, California, United States",Breitbart News Network offers real-time access to news and analysis sources online.,11895,$1M to $10M,1/1/2007,year,"Content and Publishing, Media and Entertainment",1,1-10,1,10000000,NA,Private,NA,NA,NA,NA,NA,9/26/2011,10000000,Venture - Series Unknown,0,1,NA
0,538,SurveySparrow,Market Research,"Walnut, California, United States","SurveySparrow lets you collect feedback naturally, gain insights and make better decisions.",11910,NA,3/2/2017,day,"Data and Analytics, Design",2,11-50,1,1425000,1,Private,NA,NA,NA,1,NA,4/2/2019,1425000,Venture - Series Unknown,NA,NA,NA
0,539,DMarket,"Digital Entertainment, Gaming, Internet","Santa Monica, California, United States",DMarket is an in-game item trading platform.,11932,NA,5/1/2017,month,"Gaming, Internet Services, Media and Entertainment",3,101-250,1,19000000,3,Private,NA,NA,5,1,NA,12/5/2017,19000000,Initial Coin Offering,NA,NA,NA
0,540,Luxury Presence,"Advertising, Real Estate","Santa Monica, California, United States",Website and marketing system used by the world’s leading real estate agents and brokers.,11952,$1M to $10M,1/1/2014,year,"Advertising, Real Estate, Sales and Marketing",1,NA,2,5400000,7,Private,NA,NA,NA,1,Early Stage Venture,1/8/2020,5400000,Series A,NA,NA,NA
0,541,Jukin Media,"Digital Entertainment, Digital Media, TV Production","Los Angeles, California, United States",Jukin Media is the global leader in user-generated entertainment,11954,NA,1/1/2009,year,"Media and Entertainment, Video",3,101-250,6,8400000,7,Private,NA,Made Acquisitions,9,NA,NA,6/30/2016,2500000,Debt Financing,0,53,NA
0,542,Yamibuy,"Beauty, E-Commerce, Retail","Brea, California, United States",Yamibuy is the leading Asian-centric Internet retailer in the U.S.,11954,NA,3/28/2013,day,"Commerce and Shopping, Consumer Goods",1,251-500,1,10000000,3,Private,NA,NA,NA,1,Early Stage Venture,7/10/2017,10000000,Series A,0,4,NA
0,543,Patch of Land,"Crowdfunding, Finance, FinTech, Internet, Lending, Real Estate","Los Angeles, California, United States",Patch of Land is real estate crowdfunding site that brings together borrowers and investors through a simple online interface,11971,NA,2/2/2013,day,"Financial Services, Internet Services, Real Estate",3,51-100,3,24925000,6,Private,NA,NA,3,1,Early Stage Venture,4/8/2015,23600000,Series A,0,4,NA
0,544,Homestead,"Construction, Property Development, Property Management, Real Estate","Los Angeles, California, United States",Homestead finances and manages the conversion of garages into rental apartments.,11977,NA,12/17/2019,day,Real Estate,2,11-50,1,150000,1,Private,NA,NA,NA,NA,Seed,3/16/2020,150000,Seed,NA,NA,NA
