"","Y","id","Organization.Name","CB.Rank..Company.","Headquarters.Location","Industry.Groups","Description","Estimated.Revenue.Range","Founded.Date","Number.of.Founders","Number.of.Employees","Number.of.Funding.Rounds","Total.Funding.Amount","Number.of.Investors","IPO.Status","IPO.Date","Acquisition.Status","Number.of.Events","Number.of.Lead.Investors","Funding.Status","Last.Funding.Date","Last.Funding.Amount.Currency..in.USD.","Last.Funding.Type","IPqwery...Total.Patents","IPqwery...Total.Trademarks"
"407",1,407,"Nimble CRM",9000,"Santa Monica, California, United States","Information Technology, Sales and Marketing, Software","Nimble is a Web and SaaS-based platform providing small businesses with high-end CRM systems combined with social media.","$1M to $10M","4/1/2009","2","11-50",4,1.2e+07,"13","Private","NA","NA",1,1,"Early Stage Venture","3/2/2017","9000000","Series A","0","15"
"408",1,408,"Arrowhead Pharmaceuticals",9061,"Pasadena, California, United States","Biotechnology, Consumer Electronics, Energy, Hardware, Science and Engineering","Arrowhead Research is focused on developing, commercializing, and licensing a range of nanotechnology products and applications.","$10M to $50M","1/1/2004","1","51-100",8,413882896,"4","Public","2000-10-20","NA",NA,2,"IPO","12/6/2019","266800000","Post-IPO Equity","110","0"
"409",1,409,"The Young Turks",9072,"Los Angeles, California, United States","Content and Publishing, Government and Military, Media and Entertainment, Video","The Young Turks provides an online news show covering politics, pop culture and lifestyle.","$1M to $10M","2/14/2003","1","11-50",3,2.6e+07,"5","Private","NA","NA",NA,2,"NA","8/8/2017","20000000","Venture - Series Unknown","0","3"
"410",1,410,"8i",9088,"Los Angeles, California, United States","Consumer Electronics, Hardware, Software","8i is a virtual reality software development company focusing on creating life like humans in virtual reality.","NA","5/1/2014","4","11-50",3,41481914,"26","Private","NA","NA",1,3,"Early Stage Venture","2/13/2017","27000000","Series B","0","4"
"411",1,411,"Collab Asia",9094,"Los Angeles, California, United States","Advertising, Internet Services, Media and Entertainment, Sales and Marketing","Collab Asia, Inc. is a venture-backed digital media company and social media influencer network with offices throughout Asia.","NA","7/1/2017","2","101-250",2,10500000,"4","Private","NA","NA",NA,2,"Early Stage Venture","12/3/2019","7500000","Series B","NA","NA"
"412",1,412,"Hopscotch",9173,"El Segundo, California, United States","Mobile, Software, Sports","Hopscotch is an open mobile-platform for sports teams, venues, and events for generating revenues.","NA","9/1/2014","1","51-100",4,1.4e+07,"4","Private","NA","NA",NA,2,"Early Stage Venture","11/15/2017","5000000","Series B","0","1"
"413",1,413,"Greenlots",9176,"Los Angeles, California, United States","Software, Transportation","Greenlots delivers innovative software, services, and expertise that empowers utilities, cities, communities, and automakers.","NA","9/1/2008","1","51-100",3,13355000,"4","Private","NA","Was Acquired",NA,3,"M&A","7/25/2017","10255000","Series A","NA","NA"
"414",1,414,"Ready, Set, Food!",9185,"Los Angeles, California, United States","Commerce and Shopping, Food and Beverage, Health Care","Ready, Set, Food! develops an evidence-based solution that makes it easy for parents to protect their babies from common food allergies.","NA","1/1/2017","2","1-10",3,2550000,"9","Private","NA","NA",NA,2,"Seed","1/20/2020","350000","Seed","1","1"
"415",1,415,"Forte Biosciences",9187,"Sherman Oaks, California, United States","Biotechnology, Health Care, Science and Engineering","Forte Biosciences is a biotechnology company.","NA","1/1/2017","NA","NA",1,5756000,"NA","Private","NA","Was Acquired",NA,NA,"M&A","11/27/2018","5756000","Venture - Series Unknown","NA","NA"
"416",1,416,"Trueface",9213,"Santa Monica, California, United States","Artificial Intelligence, Data and Analytics, Hardware, Privacy and Security, Science and Engineering, Software","Trueface applies computer vision technology to camera streams to enable businesses to make immediate decisions based on identified patterns.","NA","1/1/2014","2","11-50",4,4950000,"13","Private","NA","NA",2,3,"Early Stage Venture","7/31/2019","3700000","Series A","2","2"
"417",1,417,"GuRu",9217,"Pasadena, California, United States","Consumer Electronics, Design, Hardware, Information Technology, Mobile","GuRu develops products for business and people who wants to stop running wires, changing batteries, or plugging things in.","$1M to $10M","1/1/2017","3","11-50",2,1.5e+07,"2","Private","NA","NA",NA,NA,"Early Stage Venture","11/12/2019","15000000","Series A","0","12"
"418",1,418,"Altruist",9266,"Venice, California, United States","Financial Services","Digital Investment Platform","NA","9/14/2018","1","11-50",1,8500000,"1","Private","NA","NA",NA,1,"Early Stage Venture","9/9/2019","8500000","Series A","0","12"
"419",1,419,"Gento",9269,"Los Angeles, California, United States","Health Care","Gento is transforming the way in-home care is delivered by directly connecting providers, clinicians, and patients.","Less than $1M","4/1/2016","2","11-50",2,5e+06,"1","Private","NA","NA",NA,1,"Early Stage Venture","2/5/2020","5000000","Series A","0","2"
"420",1,420,"Swell",9278,"Santa Monica, California, United States","Apps, Financial Services, Lending and Investments, Mobile, Software","Swell is an impact investing platform that aims to deliver profit as well as purpose.","$1M to $10M","1/15/2015","1","11-50",1,3e+07,"1","Private","NA","NA",NA,1,"NA","2/1/2018","30000000","Venture - Series Unknown","0","20"
"421",1,421,"Flip Fit",9281,"Los Angeles, California, United States","Clothing and Apparel, Commerce and Shopping, Design, Internet Services, Media and Entertainment","Flip Fit is a fashion focused social media application","NA","10/25/2019","NA","11-50",1,3750000,"3","Private","NA","NA",NA,1,"Seed","10/23/2019","3750000","Seed","0","1"
"422",1,422,"BloomNation",9303,"Los Angeles, California, United States","Commerce and Shopping, Consumer Goods, Software","Largest marketplace for fresh artisan flowers and complete end-to-end SaaS platform (web-builder, CRM, PoS) for local independent florists.","NA","3/22/2010","3","11-50",2,7200000,"7","Private","NA","NA",2,2,"Early Stage Venture","10/7/2014","5550000","Series A","0","5"
"423",1,423,"Experian",9306,"Costa Mesa, California, United States","Data and Analytics, Financial Services, Information Technology, Lending and Investments, Payments, Privacy and Security","Experian unlocks the power of data to create opportunities for consumers, businesses and society.","$1B to $10B","1/1/1980","NA","10001+",NA,NA,"NA","Public","2006-10-20","Made Acquisitions",32,NA,"IPO",NA,"NA","NA","213","88"
"424",1,424,"inXile Entertainment",9373,"Newport Beach, California, United States","Gaming, Media and Entertainment","inXile Entertainment is a video game development studio that offers Bard’s Tale, Wasteland, and Torment.","NA","1/1/2003","1","11-50",3,11750000,"1","Private","NA","Was Acquired",NA,1,"M&A","7/12/2017","4500000","Venture - Series Unknown","2","37"
"425",1,425,"Hutch Interiors",9393,"West Hollywood, California, United States","Apps, Commerce and Shopping, Community and Lifestyle, Consumer Goods, Information Technology, Internet Services, Messaging and Telecommunications, Mobile, Real Estate, Software","Hutch Interiors is a mobile app that transforms spaces from before to after, faster than ever.","$1M to $10M","9/15/2015","5","11-50",3,17135000,"11","Private","NA","Made Acquisitions",NA,2,"Early Stage Venture","7/12/2017","10000000","Series A","0","1"
"426",1,426,"The LIVEKINDLY Co",9410,"Los Angeles, California, United States","Food and Beverage","The LIVEKINDLY co. is a collective of plant-based heritage and start-up brands.","NA","1/1/2020","1","NA",1,2e+08,"NA","Private","NA","Made Acquisitions",NA,NA,"NA","3/11/2020","200000000","Venture - Series Unknown","NA","NA"
"427",1,427,"Clearinghouse CDFI",9434,"Lake Forest, California, United States","Financial Services, Lending and Investments, Real Estate","Clearinghouse CDFI is a community development lender that finances projects benefiting low-income and under-served communities.","$1M to $10M","1/1/1996","1","11-50",5,6550000,"5","Private","NA","NA",NA,5,"NA","3/19/2020","3000000","Grant","NA","NA"
"428",1,428,"Prevoty",9444,"Los Angeles, California, United States","Information Technology, Privacy and Security, Software","Prevoty is a provider of RASP security that enables enterprises to automatically protect their applications in production.","NA","3/1/2013","2","11-50",4,25827000,"12","Private","NA","Was Acquired",6,5,"M&A","12/5/2017","13000000","Series B","7","0"
"429",1,429,"Drybar",9458,"Irvine, California, United States","Commerce and Shopping, Internet Services","Drybar is a retail chain exclusively for blow-drying hair for a reduced price compared to traditional salons.","$500M to $1B","1/1/2009","3","1001-5000",6,48500000,"5","Private","NA","Was Acquired",NA,2,"M&A","6/27/2016","NA","Private Equity","NA","NA"
"430",1,430,"JOANY",9505,"Los Angeles, California, United States","Financial Services, Health Care, Internet Services, Software","Joany is your trusted healthcare concierge. We simplify buying and using health insurance, all year long.","$1M to $10M","1/1/2014","2","51-100",7,19306550,"14","Private","NA","NA",1,3,"Early Stage Venture","7/17/2017","13000000","Series A","0","1"
"431",1,431,"ShoeDazzle",9511,"El Segundo, California, United States","Clothing and Apparel, Commerce and Shopping, Consumer Goods, Design","ShoeDazzle is an online e-commerce site offering personalized and stylish ladies footwear handpicked by fashion experts.","NA","3/1/2009","3","51-100",4,6.6e+07,"4","Private","NA","Was Acquired",NA,2,"M&A","10/3/2012","6000000","Venture - Series Unknown","0","10"
"432",1,432,"HyreCar",9517,"Los Angeles, California, United States","Commerce and Shopping, Transportation","HyreCar is a peer-to-peer car sharing marketplace that allows anyone to rent their idle cars to Uber and Lyft drivers safely and reliably.","$1M to $10M","1/1/2014","1","51-100",4,4960000,"1","Public","2018-06-25","NA",NA,1,"IPO","2/1/2018","1460000","Debt Financing","NA","NA"
"433",1,433,"engage:BDR",9525,"West Hollywood, California, United States","Advertising, Commerce and Shopping, Media and Entertainment, Mobile, Sales and Marketing, Video","engage:BDR is a digital advertising company that offers cross-device video and display advertising solutions.","$1M to $10M","1/1/2009","3","51-100",1,26250000,"NA","Public","2017-12-14","Made Acquisitions",1,NA,"IPO","9/23/2019","26250000","Post-IPO Equity","0","3"
"434",1,434,"Elevate Services, Inc.",9526,"Los Angeles, California, United States","Information Technology, Professional Services","Elevate is the law company. We provide consulting, technology and services to law departments and law firms.","$10M to $50M","1/1/2011","1","1001-5000",2,2.5e+07,"2","Private","NA","Made Acquisitions",1,1,"NA","6/17/2019","25000000","Venture - Series Unknown","0","4"
"435",1,435,"EnjoyHQ",9535,"Los Angeles, California, United States","Data and Analytics, Design, Software","EnjoyHQ is the easiest way to search, organize and share all your customer feedback and user research in one place.","NA","3/15/2015","2","1-10",3,2218000,"9","Private","NA","NA",2,3,"Seed","8/6/2019","2000000","Seed","NA","NA"
"436",1,436,"ObEN",9545,"Pasadena, California, United States","Artificial Intelligence, Data and Analytics, Hardware, Internet Services, Science and Engineering, Software","ObEN is an AI company that is building a decentralized AI platform for intelligent avatars.","$1M to $10M","2/26/2014","2","11-50",6,23700000,"21","Private","NA","NA",NA,4,"Early Stage Venture","1/9/2018","10000000","Series B","8","6"
"437",1,437,"Retention Science",9585,"Santa Monica, California, United States","Artificial Intelligence, Data and Analytics, Information Technology, Sales and Marketing, Software","Retention Science, the global leader in Retention Marketing, is the best way to target, engage and retain your customers.","NA","1/1/2011","1","51-100",4,10250000,"11","Private","NA","NA",NA,2,"Early Stage Venture","8/5/2014","7000000","Series A","NA","NA"
"438",1,438,"Team SoloMid",9589,"Santa Monica, California, United States","Gaming, Internet Services, Media and Entertainment, Sales and Marketing","Team Solomid is successful gaming organizations.","$1M to $10M","9/1/2009","1","101-250",1,3.7e+07,"7","Private","NA","NA",2,1,"Early Stage Venture","7/24/2018","37000000","Series A","NA","NA"
"439",1,439,"Bitvore",9604,"Irvine, California, United States","Artificial Intelligence, Data and Analytics, Science and Engineering, Software","Real-time information for companies.","NA","1/1/2009","2","11-50",4,27294700,"3","Private","NA","NA",NA,1,"NA","2/2/2018","14200000","Venture - Series Unknown","21","11"
"440",1,440,"ICON Aircraft",9620,"Los Angeles, California, United States","Hardware, Science and Engineering, Transportation","ICON Aircraft's mission is to bring the freedom, fun, and adventure of flying to all who have dreamed of flight.","$10M to $50M","1/1/2005","2","51-100",5,89466000,"9","Private","NA","NA",NA,2,"Late Stage Venture","6/20/2013","60000000","Series D","37","28"
"441",1,441,"Mobilitie",9637,"Newport Beach, California, United States","Hardware, Mobile","Mobilitie develops and operates networks and infrastructure that wireless carriers rely upon to provide coverage for their customers.","$100M to $500M","1/1/2005","1","501-1000",2,4.25e+08,"3","Private","NA","NA",4,2,"Private Equity","11/10/2015","325000000","Debt Financing","48","50"
"442",1,442,"Sense360",9668,"Los Angeles, California, United States","Apps, Artificial Intelligence, Consumer Electronics, Data and Analytics, Hardware, Internet Services, Mobile, Navigation and Mapping, Science and Engineering, Software","Sense360 provides companies with actionable data & intelligence about their customers, competitors, and industry.","$1M to $10M","1/1/2014","2","11-50",4,13250002,"13","Private","NA","NA",2,1,"NA","4/20/2018","3500002","Venture - Series Unknown","0","2"
"443",1,443,"TTYL",9719,"Los Angeles, California, United States","Apps, Internet Services, Media and Entertainment, Mobile, Music and Audio, Platforms, Software","TTYL is a social voice platform.","NA","1/1/2018","2","1-10",1,2e+06,"1","Private","NA","NA",NA,1,"Seed","7/3/2018","2000000","Seed","0","1"
"444",1,444,"Cedars Sinai Medical Center",9737,"Los Angeles, California, United States","Community and Lifestyle, Health Care","Cedars-Sinai is a non-profit, academic, community-centric medical center in Los Angeles, California.","$1M to $10M","1/1/1902","1","11-50",3,28300000,"2","Private","NA","NA",1,2,"NA","1/4/2020","1000000","Grant","433","34"
"445",1,445,"Argent",9767,"Los Angeles, California, United States","Clothing and Apparel, Commerce and Shopping, Design","Argent is an online retailer of women's clothing and apparel.","Less than $1M","1/1/2016","2","1-10",2,4050000,"2","Private","NA","NA",NA,1,"NA","2/14/2019","4000000","Venture - Series Unknown","1","0"
"446",1,446,"Skylar",9808,"Los Angeles, California, United States","Commerce and Shopping, Consumer Goods, Sales and Marketing","Skylar designs an online retail platform that offers clean and consciously crafted fragrances that inspire happiness.","$1M to $10M","4/25/2017","1","NA",3,1.1e+07,"7","Private","NA","NA",NA,3,"Early Stage Venture","2/13/2019","8000000","Series A","0","3"
"447",1,447,"MediaAlpha",9822,"Los Angeles, California, United States","Advertising, Financial Services, Hardware, Internet Services, Sales and Marketing","MediaAlpha is an advertising technology company that develops programmatic advertising platforms.","$1M to $10M","1/1/2012","3","11-50",2,2e+07,"2","Private","NA","NA",2,2,"Private Equity","2/4/2019","NA","Private Equity","NA","NA"
"448",1,448,"Maker Studios",9855,"Culver City, California, United States","Content and Publishing, Media and Entertainment, Video","Maker Studios is a next-generation, talent first media company providing video stars, channels and content.","NA","1/1/2009","4","501-1000",4,6.5e+07,"15","Private","NA","Made Acquisitions, Was Acquired",2,3,"M&A","9/12/2013","26000000","Series C","0","32"
"449",1,449,"Jaanuu",9867,"El Segundo, California, United States","Clothing and Apparel, Commerce and Shopping, Design, Health Care","Jaanuu is the most contemporary medical apparel brand in the world.","NA","1/1/2013","1","11-50",7,22625000,"22","Private","NA","NA",NA,3,"NA","12/10/2018","15000000","Venture - Series Unknown","0","2"
"450",1,450,"Fullscreen",9902,"Culver City, California, United States","Content and Publishing, Media and Entertainment, Video","Fullscreen, a media company, powers the creation and sharing of video content with the connected generation through technology and services.","$50M to $100M","1/24/2011","1","501-1000",2,3e+07,"4","Private","NA","Made Acquisitions, Was Acquired",4,1,"M&A","6/17/2013","30000000","Series A","0","23"
"451",1,451,"Knowable Universe",9954,"Los Angeles, California, United States","Software","Knowable Universe is an audio learning platform","NA","1/1/2013","NA","NA",1,4e+06,"4","Private","NA","NA",NA,1,"Seed","10/1/2019","4000000","Seed","0","1"
"452",1,452,"Mobalytics",9981,"Santa Monica, California, United States","Artificial Intelligence, Data and Analytics, Education, Gaming, Software, Sports","Mobalytics is the first personal performance analytics for competitive gamers and esports.","$1M to $10M","8/1/2016","3","11-50",3,2600000,"11","Private","NA","Made Acquisitions",NA,1,"NA","7/13/2018","NA","Venture - Series Unknown","0","3"
"453",0,453,"Shipsi",10008,"Venice, California, United States","Commerce and Shopping, Information Technology","Shipsi empowers any retailer with the ability to offer an easy “Instant Delivery” option on their checkout page.","NA","1/1/2017","2","11-50",6,2800000,"9","Private","NA","NA",NA,4,"Seed","2/26/2019","NA","Non-equity Assistance","0","1"
"454",0,454,"Zadara Storage",10081,"Irvine, California, United States","Hardware, Information Technology, Internet Services, Software","Zadara Storage offers enterprise-class storage as a service for private and public clouds.","$1M to $10M","1/1/2011","2","51-100",5,5.7e+07,"4","Private","NA","NA",26,4,"Late Stage Venture","8/30/2018","25000000","Series C","4","3"
"455",0,455,"NantCell",10082,"Culver City, California, United States","Health Care","NantCel is an offshoot of Soon-Shiong's NantWorks conglomerate. Developing molecular-level cell-based treatments for diseases.","NA","1/1/2014","1","NA",3,1.62e+08,"1","Private","NA","Made Acquisitions",NA,1,"Private Equity","12/19/2018","30000000","Private Equity","27","2"
"456",0,456,"Maestro",10122,"Los Angeles, California, United States","Content and Publishing, Media and Entertainment, Sports, Video","Maestro provides a white label platform for enterprise live streamers to own, engage, and monetize their audiences.","NA","1/1/2015","1","11-50",3,5800000,"11","Private","NA","NA",2,1,"Early Stage Venture","12/21/2019","NA","Series A","0","1"
"457",0,457,"Connect Homes",10174,"Los Angeles, California, United States","Real Estate","Connect Homes is a modern, smart, prefab home builder based in Los Angeles.","NA","1/1/2011","2","11-50",5,19826000,"5","Private","NA","NA",NA,2,"Early Stage Venture","5/15/2019","10800000","Series A","0","2"
"458",0,458,"Dash Radio",10176,"Los Angeles, California, United States","Media and Entertainment, Music and Audio, Video","Dash Radio is an all original radio broadcaster for the digital world.","$1M to $10M","6/15/2015","3","11-50",2,8800000,"19","Private","NA","NA",NA,NA,"Seed","10/24/2018","8800000","Seed","1","1"
"459",0,459,"Joymode",10177,"Los Angeles, California, United States","Commerce and Shopping, Sports","Joymode lets you access everything you need—but don't own—for great experiences.","Less than $1M","1/1/2015","3","NA",3,16726100,"15","Private","NA","NA",NA,2,"Early Stage Venture","1/31/2018","14400000","Series A","0","1"
"460",0,460,"AmazeVR",10208,"West Hollywood, California, United States","Content and Publishing, Gaming, Hardware, Media and Entertainment, Software, Video","A Virtual Reality startup to become the world's top platform for premium VR content","NA","7/9/2015","4","11-50",3,15800000,"11","Private","NA","NA",NA,2,"Early Stage Venture","1/27/2020","2500000","Series A","0","7"
"461",0,461,"Pepper Financial",10225,"Los Angeles, California, United States","NA","Pepper gives modern businesses a new perspective on their financial health and helps them grow smarter.","NA","1/1/2019","6","1-10",1,5600000,"3","Private","NA","Made Acquisitions",NA,NA,"Seed","12/17/2019","5600000","Seed","0","1"
"462",0,462,"Edlio",10241,"Los Angeles, California, United States","Consumer Electronics, Hardware, Software","Edlio creates custom designed websites with an intuitive content management software.","$1M to $10M","1/1/2011","1","101-250",2,4e+07,"2","Private","NA","Made Acquisitions",2,2,"Private Equity","10/17/2018","NA","Private Equity","0","2"
"463",0,463,"AwesomenessTV",10242,"Los Angeles, California, United States","Media and Entertainment, Video","AwesomenessTV is a next generation media company serving the global Generation Z audience","NA","6/21/2012","3","251-500",2,162500000,"11","Private","NA","Made Acquisitions, Was Acquired",7,2,"M&A","4/6/2016","159000000","Undisclosed","0","36"
"464",0,464,"Hixme",10255,"Agoura Hills, California, United States","Financial Services, Health Care","Connecting mid-market companies to the cost savings and consumer choice of the individual health insurance markets","$1M to $10M","1/1/2013","1","11-50",4,23947500,"4","Private","NA","NA",NA,2,"Early Stage Venture","10/25/2016","14100000","Series B","0","1"
"465",0,465,"Clique",10276,"Los Angeles, California, United States","Advertising, Clothing and Apparel, Commerce and Shopping, Community and Lifestyle, Consumer Goods, Design, Media and Entertainment, Sales and Marketing","Clique is a media and commerce company","NA","1/1/2006","2","101-250",4,27600000,"17","Private","NA","Made Acquisitions",2,2,"Late Stage Venture","6/27/2017","15000000","Series C","0","36"
"466",0,466,"Trippy",10330,"Manhattan Beach, California, United States","Community and Lifestyle, Content and Publishing, Internet Services, Media and Entertainment, Travel and Tourism","Trippy is a community of travelers helping each other travel better.","$1M to $10M","1/1/2011","2","11-50",2,5250000,"5","Private","NA","NA",1,1,"Early Stage Venture","4/29/2014","3500000","Series A","NA","NA"
"467",0,467,"Trellis Research",10373,"Los Angeles, California, United States","Information Technology, Professional Services","Trellis Research is a research tool for litigators.","NA","1/1/2017","2","1-10",3,6400000,"9","Private","NA","NA",NA,2,"NA","2/6/2020","4400000","Venture - Series Unknown","NA","NA"
"468",0,468,"Vyng",10381,"Venice, California, United States","Apps, Media and Entertainment, Software, Video","Vyng has built a next-generation phone call platform to start better conversations with friends and better interactions with businesses","$1M to $10M","1/1/2015","3","NA",3,7e+06,"13","Private","NA","NA",NA,3,"Early Stage Venture","12/13/2018","4000000","Series A","14","2"
"469",0,469,"Solaborate",10421,"Los Angeles, California, United States","Community and Lifestyle, Information Technology, Internet Services, Media and Entertainment, Software","Solaborate, is all in one  communication  and collaboration platform company","NA","6/1/2012","2","51-100",3,11430000,"2","Private","NA","NA",5,NA,"Early Stage Venture","2/3/2020","10000000","Series A","1","0"
"470",0,470,"Iyuno Media Group",10466,"Burbank, California, United States","Media and Entertainment, Video","Iyuno Media Group is a global localization and media content distribution services with 40 facilities in 30 countries.","$1M to $10M","1/1/2002","1","1001-5000",1,23500000,"1","Private","NA","Made Acquisitions, Was Acquired",NA,1,"M&A","4/13/2018","23500000","Series A","NA","NA"
"471",0,471,"Nasty Gal",10501,"Los Angeles, California, United States","Clothing and Apparel, Commerce and Shopping, Design","Fashion","$10M to $50M","11/1/2006","1","251-500",3,6.5e+07,"2","Private","NA","Was Acquired",NA,2,"M&A","2/26/2015","16000000","Series C","NA","NA"
"472",0,472,"Storyblaster",10526,"Studio City, California, United States","Internet Services, Media and Entertainment, Sales and Marketing, Software","Storyblaster is a computer software platform designed for crowdfunding.","NA","1/1/2016","2","11-50",3,4710000,"5","Private","NA","NA",NA,2,"Seed","3/5/2020","2500000","Seed","1","2"
"473",0,473,"Collab",10533,"Los Angeles, California, United States","Consumer Electronics, Hardware, Internet Services, Software","Collab is a creator development studio transforming popular digital video creators into professional entertainers","$50M to $100M","1/1/2012","2","101-250",1,3e+06,"1","Private","NA","NA",7,1,"Early Stage Venture","11/1/2017","3000000","Series A","0","4"
"474",0,474,"Warner Bros.",10561,"Burbank, California, United States","Hardware, Media and Entertainment, Video","Warner Bros. is a media company that creates, produces, distributes, licenses, and markets of several forms of entertainment.","NA","4/4/1918","1","501-1000",NA,NA,"NA","Private","NA","Made Acquisitions",5,NA,"NA",NA,"NA","NA","165","2,079"
"475",0,475,"Scalefast",10562,"El Segundo, California, United States","Commerce and Shopping, Financial Services, Internet Services, Payments, Software","Scalefast is a global digital commerce solution that simplifies and streamlines ecommerce for inspirational brands.","NA","1/1/2014","3","51-100",2,1e+07,"4","Private","NA","NA",2,1,"Early Stage Venture","12/21/2017","8000000","Series A","0","3"
"476",0,476,"Glaukos",10577,"San Clemente, California, United States","Health Care","Glaukos is a glaucoma treatment company developing micro-bypass therapies to moderate the intraocular pressures that help preserve vision.","$50M to $100M","1/1/1998","3","251-500",7,121000392,"8","Public","2015-06-25","Made Acquisitions",NA,2,"IPO","2/7/2013","30000000","Series F","120","46"
"477",0,477,"Alphaeon",10583,"Irvine, California, United States","Health Care","ALPHAEON Corporation is a social commerce company with the goal of transforming self-pay healthcare.","NA","7/22/2013","1","251-500",4,160760133,"4","Private","NA","Made Acquisitions, Was Acquired",NA,2,"M&A","8/10/2016","53700000","Convertible Note","52","42"
"478",0,478,"Forge",10610,"Playa Vista, California, United States","Software","Forge is platform that empowers hourly workforces to work on-demand while giving their employers the tools needed to run their business.","$1M to $10M","1/1/2015","4","11-50",3,4e+06,"11","Private","NA","Made Acquisitions, Was Acquired",NA,NA,"M&A","6/6/2018","NA","Convertible Note","NA","NA"
"479",0,479,"Maple Media",10619,"Los Angeles, California, United States","Advertising, Apps, Internet Services, Media and Entertainment, Mobile, Platforms, Sales and Marketing, Software","Maple Media is a mobile media, advertising and technology company that acquires, manages, and operates mobile applications.","Less than $1M","12/1/2016","2","11-50",1,3e+07,"1","Private","NA","Made Acquisitions",NA,1,"Private Equity","2/22/2017","30000000","Private Equity","0","9"
"480",0,480,"PEAR SPORTS",10704,"Irvine, California, United States","Education, Health Care, Mobile, Software, Sports","Pear is the smart training system that coaches you in real-time, creating the ultimate workout experience that inspires and pushes you to","$1M to $10M","1/1/2010","2","11-50",3,6988095,"3","Private","NA","Made Acquisitions",NA,2,"NA","5/27/2015","821095","Venture - Series Unknown","6","7"
"481",0,481,"Specright",10722,"Irvine, California, United States","Software, Transportation","Specright’s Specification Data Management™platform enables companies to manage & map product and packaging data across the supply chain..","NA","11/1/2014","1","51-100",3,11955273,"4","Private","NA","NA",NA,1,"Early Stage Venture","4/29/2019","8800000","Series A","0","6"
"482",0,482,"Parrot Analytics",10755,"Beverly Hills, California, United States","Artificial Intelligence, Content and Publishing, Data and Analytics, Internet Services, Media and Entertainment, Science and Engineering, Software, Video","Parrot Analytics is a data science company that measures and predicts global demand for content, across all platforms, around the world. ","$1M to $10M","1/1/2013","3","11-50",3,1.8e+07,"10","Private","NA","NA",NA,1,"Early Stage Venture","7/25/2018","10265401","Series A","0","12"
"483",0,483,"FaceFirst",10765,"Encino, California, United States","Data and Analytics, Software","The FaceFirst platform uses face recognition technology to prevent fraud, security risks and public safety threats.","$1M to $10M","1/1/2007","NA","11-50",1,7403920,"NA","Private","NA","NA",1,NA,"Early Stage Venture","5/5/2016","7403920","Series A","0","2"
"484",0,484,"Brainbase",10774,"Los Angeles, California, United States","Professional Services, Software","Brainbase helps companies manage and monetize their intellectual property.","NA","11/1/2016","3","11-50",2,4e+06,"13","Private","NA","NA",NA,2,"Seed","8/20/2019","3000000","Seed","NA","NA"
"485",0,485,"Pearl",10797,"West Hollywood, California, United States","Artificial Intelligence, Data and Analytics, Hardware, Health Care, Science and Engineering, Software","Pearl is a computer vision company focusing on solving challenging problems in the dental industry.","NA","4/30/2019","2","11-50",1,1.1e+07,"2","Private","NA","NA",NA,1,"Early Stage Venture","5/8/2019","11000000","Series A","0","5"
"486",0,486,"Camino Financial",10798,"Los Angeles, California, United States","Financial Services, Lending and Investments","Camino Financial is a data-driven fintech platform pioneering affordable small business loans to Latinx businesses","NA","1/1/2014","2","51-100",9,20350000,"7","Private","NA","NA",NA,3,"Early Stage Venture","12/11/2019","8000000","Series A","0","1"
"487",0,487,"JustFoodForDogs",10817,"West Hollywood, California, United States","Food and Beverage, Health Care","Nutritionally Balanced, 100% USDA Ingredients, No Preservatives, Vet Recommended & Always Hand-made in Small Batches.","$10M to $50M","4/1/2010","1","11-50",3,11100000,"1","Private","NA","NA",NA,1,"NA","10/25/2018","8500000","Venture - Series Unknown","0","6"
"488",0,488,"Hippeas",10822,"Los Angeles, California, United States","Food and Beverage, Health Care","Hippeas is a operator of natural snack food companies.","$1M to $10M","1/1/2015","1","11-50",4,2.2e+07,"3","Private","NA","NA",NA,2,"NA","12/7/2018","8000000","Venture - Series Unknown","NA","NA"
"489",0,489,"Virtualitics",10846,"Pasadena, California, United States","Artificial Intelligence, Data and Analytics, Design, Hardware, Information Technology, Science and Engineering, Software","Virtualitics provides data visualization in virtual reality and augmented reality environments.","Less than $1M","1/1/2015","4","11-50",3,11400000,"2","Private","NA","NA",5,2,"Early Stage Venture","2/28/2018","7000000","Series B","2","2"
"490",0,490,"Matter",10854,"Los Angeles, California, United States","Internet Services, Media and Entertainment, Music and Audio","beyond streaming","NA","2/1/2019","2","1-10",1,5e+05,"NA","Private","NA","NA",NA,NA,"Seed","6/1/2019","500000","Pre-Seed","0","2"
"491",0,491,"Apelab",10883,"Los Angeles, California, United States","Hardware, Media and Entertainment, Software","Apelab is a software company focusing on AR/VR/MR.","Less than $1M","1/1/2014","4","1-10",2,3e+05,"3","Private","NA","NA",1,2,"Seed","4/3/2020","NA","Seed","NA","NA"
"492",0,492,"Jumpcut",10919,"Los Angeles, California, United States","Content and Publishing, Education, Internet Services, Media and Entertainment, Sales and Marketing, Video","Jumpcut creates captivating online courses.","Less than $1M","6/1/2014","3","11-50",2,2e+06,"13","Private","NA","NA",1,1,"Seed","8/6/2019","NA","Seed","NA","NA"
"493",0,493,"Funraise",10936,"Los Angeles, California, United States","Financial Services, Software","Nonprofit Fundraising Software","$1M to $10M","1/1/2015","3","51-100",2,12700000,"3","Private","NA","NA",NA,1,"Early Stage Venture","1/30/2018","9700000","Series A","0","5"
