"","Y","id","Organization.Name","Industries","Headquarters.Location","Description","CB.Rank..Company.","Estimated.Revenue.Range","Founded.Date","Founded.Date.Precision","Industry.Groups","Number.of.Founders","Number.of.Employees","Number.of.Funding.Rounds","Total.Funding.Amount","Number.of.Investors","IPO.Status","IPO.Date","Acquisition.Status","Number.of.Events","Number.of.Lead.Investors","Funding.Status","Last.Funding.Date","Last.Funding.Amount.Currency..in.USD.","Last.Funding.Type","IPqwery...Total.Patents","IPqwery...Total.Trademarks","Investment.Stage"
"1308",0,1308,"BrainRush","EdTech, Education","Santa Monica, California, United States","BrainRush develops a software platform that provides education, technology, games and media-related services.",31298,"Less than $1M","10/1/2012","day","Education, Software","3","11-50",1,875000,"1","Private","NA","NA","NA","NA","NA","10/15/2012","875000","Debt Financing","0","1","NA"
"1345",0,1345,"StrongBlock","Bitcoin, Blockchain, Cyber Security, Information Technology, Mobile Payments, Payments, Security","Santa Monica, California, United States","StrongBlock is a team of highly experienced blockchain, governance, security, and database technology experts.",32361,"NA","1/1/2018","year","Financial Services, Information Technology, Mobile, Payments, Privacy and Security, Software","1","NA",1,4e+06,"2","Private","NA","NA","NA","1","Seed","3/7/2019","4000000","Seed","NA","NA","NA"
"1832",0,1832,"WeStrive","Fitness, Mobile, Mobile Apps, Personal Health, SaaS","Los Angeles, California, United States","A personal training SaaS platform that allows personal trainers to build, operate, and grow their business online and from our mobile app.",45318,"NA","1/1/2015","year","Apps, Health Care, Mobile, Software, Sports","1","1-10",3,145000,"3","Private","NA","NA","NA","1","Seed","6/17/2019","20000","Seed","NA","NA","NA"
"271",1,271,"VoxelCloud","Artificial Intelligence, Health Care, Health Diagnostics, Medical, Medical Device","Los Angeles, California, United States","VoxelCloud provides automated medical image analysis services and diagnosis assistance based on AI and cloud computing technologies.",6149,"$1M to $10M","1/1/2016","year","Artificial Intelligence, Data and Analytics, Health Care, Science and Engineering, Software","3","11-50",4,78500000,"7","Private","NA","NA","NA","3","Early Stage Venture","12/18/2018","50000000","Series B","NA","NA","NA"
"1836",0,1836,"PayQwick","Banking, E-Commerce, Legal","Calabasas, California, United States"," It provides electronic payment services.",45479,"$10M to $50M","1/1/2013","year","Commerce and Shopping, Financial Services, Lending and Investments, Professional Services","1","NA",1,2900000,"NA","Private","NA","NA","NA","NA","NA","10/31/2017","2900000","Venture - Series Unknown","NA","NA","NA"
"1202",0,1202,"Torhea Education Group","Education, Information Technology","Los Angeles, California, United States","Torhea revolutionizes learning experience through research-based education with both CIS summer programs and online education.",28549,"NA","6/5/2012","day","Education, Information Technology","2","51-100",1,1e+07,"NA","Private","NA","NA","NA","NA","Early Stage Venture","8/1/2019","10000000","Series A","NA","NA","NA"
"205",1,205,"Oblong Industries","Collaboration, Hardware, Software","Los Angeles, California, United States","Oblong develops gesture-based computing tools.",4658,"$10M to $50M","1/1/2006","year","Hardware, Software","2","101-250",8,103729995,"10","Private","NA","NA","5","1","Late Stage Venture","10/18/2016","35000000","Series D","59","5","NA"
"344",1,344,"LendingUSA","Credit, Finance, Financial Services, FinTech, Payments, Personal Finance, Point of Sale","Sherman Oaks, California, United States","Provides Point-of-Sale merchant financing solutions serving specialty niche markets.",7647,"NA","1/1/2015","year","Commerce and Shopping, Financial Services, Lending and Investments, Payments","1","51-100",3,3.6e+08,"3","Private","NA","NA","3","3","NA","10/21/2019","250000000","Debt Financing","0","3","NA"
"1584",0,1584,"Microfabrica","Manufacturing, Semiconductor","Van Nuys, California, United States","Microfabrica is an advanced technology company with a proprietary fabrication process that yields complex, metal micro-structures.",38692,"$10M to $50M","1/1/1999","year","Hardware, Manufacturing, Science and Engineering","1","51-100",6,65199999,"9","Private","NA","NA","NA","5","NA","1/5/2012","2999999","Venture - Series Unknown","92","2","NA"
"1556",0,1556,"Valencia Technologies","Crowdfunding, Health Care, Medical Device","Valencia, California, United States","Valencia Technologies Corp. operates in the healthcare sector. The company was incorporated in 2011 and is based in Valencia, California.",37675,"$1M to $10M","1/1/2011","year","Financial Services, Health Care","1","11-50",2,4876506,"NA","Private","NA","NA","NA","NA","NA","3/2/2015","2216506","Venture - Series Unknown","44","1","NA"
"1460",0,1460,"GluMetrics","Health Care, Health Diagnostics, Medical","Irvine, California, United States","GluMetrics, a medical company based in Irvine, California, develops tools that enable clinicians to implement a care paradigm for patients.",35259,"$1M to $10M","1/1/2005","year","Health Care","1","11-50",8,68176045,"4","Private","NA","NA","NA","2","NA","1/31/2014","7055894","Venture - Series Unknown","4","0","NA"
"1806",0,1806,"SimpliPhi Power","Environmental Consulting, Information Technology, Renewable Energy","Ojai, California, United States","SimpliPhi Power, an Ojai, CA-based provider of battery and plug-and-play storage solutions",44716,"Less than $1M","1/1/2001","year","Energy, Information Technology, Professional Services, Sustainability","1","11-50",1,2e+06,"NA","Private","NA","NA","NA","NA","Early Stage Venture","8/30/2016","2000000","Series A","3","0","NA"
"1165",0,1165,"Esri","3D Technology, Analytics, Artificial Intelligence, Big Data, Business Intelligence, Data Visualization, Desktop Apps, Internet of Things, Mapping Services, Software","Redlands, California, United States","Esri is the global market leader in GIS, pioneering problem solving to help you see what others can’t. We build ArcGIS.",27519,"$1M to $10M","1/1/1969","year","Artificial Intelligence, Data and Analytics, Design, Hardware, Information Technology, Internet Services, Navigation and Mapping, Science and Engineering, Software","1","1001-5000",NA,NA,"NA","Private","NA","Made Acquisitions","76","NA","NA",NA,"NA","NA","10","39","NA"
"924",0,924,"Alexandria Real Estate Equities","Asset Management, Commercial Real Estate, Life Science, Real Estate","Pasadena, California, United States","Alexandria Real Estate Equities, Inc., Landlord of Choice to the Life Science Industry, is the largest owner and pre-eminent",21827,"$100M to $500M","1/1/1994","year","Biotechnology, Financial Services, Real Estate, Science and Engineering","1","251-500",1,220000,"NA","Public","1997-06-06","Was Acquired","2","NA","M&A","1/15/2017","220000","Seed","0","144","Late Stage Venture, Private Equity"
"1233",0,1233,"Betagig","Apps, Computer, Software","Los Angeles, California, United States","Betagig is a , online marketplace, explore exciting roles in the field of your choice.",29339,"NA","3/5/2016","day","Apps, Consumer Electronics, Hardware, Software","2","1-10",2,1625000,"2","Private","NA","NA","NA","NA","Seed","2/6/2017","1600000","Seed","0","1","NA"
"1118",0,1118,"Spira","Agriculture, Biotechnology, Food Processing, Nutrition","San Pedro, California, United States","Spira creates industrial ingredients that replace petroleum and animal compounds using cyanobacteria",26329,"NA","4/18/2016","day","Agriculture and Farming, Biotechnology, Food and Beverage, Health Care, Science and Engineering","2","1-10",4,130000,"7","Private","NA","NA","1","2","Seed","4/1/2019","NA","Pre-Seed","NA","NA","NA"
"621",0,621,"Violet Grey","E-Commerce, Fashion, Retail","Los Angeles, California, United States","VIOLET GREY began as a private dressing studio for Hollywood denizens. Its storied walls (the space was formerly owned by legendary",13863,"$1M to $10M","7/4/2012","day","Clothing and Apparel, Commerce and Shopping, Design","4","11-50",4,18828182,"6","Private","NA","NA","NA","1","Late Stage Venture","1/1/2018","NA","Series C","0","16","NA"
"1639",0,1639,"1200 Pharma","Biotechnology, Health Care, Pharmaceutical","Pasadena, California, United States","Breakthrough medicinal chemistry technology to dramatically accelerate pre-clinical drug discovery and clinical approval timelines.",40166,"NA","1/1/2017","year","Biotechnology, Health Care, Science and Engineering","NA","NA",1,6249997,"1","Private","NA","NA","NA","1","Seed","11/22/2017","6249997","Seed","NA","NA","NA"
"809",0,809,"Exactuals","Payments, SaaS","Los Angeles, California, United States","Exactuals is a SaaS payments company that focuses on royalty/residual based markets.",18727,"NA","7/1/2011","day","Financial Services, Payments, Software","1","11-50",2,20600000,"11","Private","NA","Was Acquired","NA","3","M&A","2/15/2017","10600000","Series B","0","5","NA"
"316",1,316,"Mobcrush","Android, Gaming, iOS, Mobile, Video Streaming","Santa Monica, California, United States","Mobcrush is a live streaming app and community for mobile gamers.",7039,"Less than $1M","1/1/2014","year","Content and Publishing, Gaming, Media and Entertainment, Mobile, Platforms, Software, Video","4","11-50",4,35900000,"18","Private","NA","NA","2","2","Early Stage Venture","10/25/2016","20000000","Series B","0","13","NA"
"380",1,380,"Dentulu","Consumer Goods, Enterprise Resource Planning (ERP), Health Care, Health Diagnostics, Marketing, Medical Device, Mobile, Mobile Apps, Software, Telecommunications","Los Angeles, California, United States","Consumer and Professional Mobile Dentistry and Teledentistry / Telemedicine Company. Providing Teledentistry Solutions direct to Consumers",8503,"NA","9/1/2018","month","Apps, Consumer Goods, Hardware, Health Care, Mobile, Sales and Marketing, Software","3","11-50",2,6e+05,"2","Private","NA","NA","1","2","Seed","10/1/2019","300000","Seed","0","1","NA"
"40",1,40,"CBRE Group","Consulting, Industrial, Intellectual Property, Project Management, Real Estate","Los Angeles, California, United States","CBRE Group, Inc. is a holding company that conducts all of its operations through its indirect subsidiaries",862,"$1B to $10B","8/27/1906","day","Professional Services, Real Estate","NA","10001+",2,4.5e+08,"1","Public","2004-06-11","Made Acquisitions","55","1","IPO","11/18/2019","300000000","Post-IPO Debt","1","73","Early Stage Venture"
"283",1,283,"Crownpeak","SaaS, Software, Web Development","Los Angeles, California, United States","Crownpeak is the only cloud-first Digital Experience Management (DXM) platform with native Digital Quality Management (DQM).",6464,"$10M to $50M","1/19/2001","day","Software","4","101-250",4,6.2e+07,"5","Private","NA","Made Acquisitions","3","3","Private Equity","4/6/2016","50000000","Private Equity","NA","NA","NA"
"373",1,373,"Avita Medical","Biotechnology, Health Care, Medical Device","Valencia, California, United States","AVITA Medical is a publicly listed, global regenerative medicine company that provides a novel approach to skin regeneration.",8315,"$1M to $10M","1/1/1999","year","Biotechnology, Health Care, Science and Engineering","1","11-50",4,110004793,"2","Public","1999-09-10","NA","NA","NA","IPO","11/14/2019","81441901","Post-IPO Equity","4","2","NA"
"1635",0,1635,"Network Optix","Software, Video","Burbank, California, United States","Network Optix is a software development company focused on creating cutting edge video management solutions.",40013,"$1M to $10M","2/7/2011","day","Media and Entertainment, Software, Video","2","51-100",1,750000,"2","Private","NA","NA","2","NA","NA","11/30/2011","750000","Debt Financing","0","4","NA"
"827",0,827,"TITAN School Solutions","Education, Information Technology, Software","Irvine, California, United States","School Nutrition Software",19044,"NA","5/1/2014","day","Education, Information Technology, Software","1","11-50",1,5200000,"3","Private","NA","NA","NA","2","Early Stage Venture","12/18/2018","5200000","Series A","0","1","NA"
"770",0,770,"Ozobot","EdTech, Robotics, Toys","Redondo Beach, California, United States","Ozobot & Evollve is a company built around the idea that blends creative thinking with business disciplines to bring new ideas to market.",17622,"$10M to $50M","1/1/2012","year","Consumer Goods, Education, Hardware, Science and Engineering, Software","1","11-50",2,3e+06,"1","Private","NA","NA","1","1","Early Stage Venture","8/1/2017","NA","Convertible Note","4","7","NA"
"333",1,333,"Arcutis Biotherapeutics","Health Diagnostics, Pharmaceutical","Westlake Village, California, United States","Arcutis Biotherapeutics is a pharmaceutical company.",7452,"$1M to $10M","1/6/2016","day","Health Care","1","11-50",3,1.66e+08,"9","Public","2020-01-31","NA","NA","3","IPO","10/22/2019","94500000","Series C","0","2","NA"
"8",1,8,"Riot Games","Computer, Developer Platform, PC Games, Video Games","Los Angeles, California, United States","Riot Games is a global company that develops online games.",95,"$10B+","1/1/2006","year","Consumer Electronics, Gaming, Hardware, Software","2","1001-5000",5,2.1e+07,"4","Private","NA","Made Acquisitions, Was Acquired","1","3","M&A","12/31/2018","6000000","Venture - Series Unknown","12","259","NA"
"1663",0,1663,"Farmers Insurance Group","Auto Insurance, Financial Services, Insurance","Los Angeles, California, United States","A US insurer group of automobiles, homes and small businesses.",40660,"NA","1/1/1928","year","Financial Services","NA","10001+",NA,NA,"NA","Private","NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA"
"1751",0,1751,"V One, Inc.","Information Technology, Internet, Software","Los Angeles, California, United States","Build your V One (version 1) (V/One) of your product NOW. Get your app on iOS & Android for only $197/month, cancel whenever you want.",43085,"NA","2/26/2019","day","Information Technology, Internet Services, Software","1","1-10",1,50000,"1","Private","NA","NA","NA","1","Seed","5/22/2019","50000","Seed","NA","NA","NA"
"189",1,189,"HUM Nutrition","Beauty, Consumer Goods, Health Care, Nutrition, Wellness","Los Angeles, California, United States","HUM is the leading beauty nutrition brand with the mission is to help you look and feel your absolute best all the time.",4369,"Less than $1M","1/1/2012","year","Consumer Goods, Food and Beverage, Health Care","2","11-50",2,2e+07,"4","Private","NA","NA","NA","2","Early Stage Venture","4/29/2019","15000000","Series B","0","41","NA"
"1440",0,1440,"Ledgersync","Accounting, Banking, Financial Services, Software","Santa Monica, California, United States","Ledgersync is a Bank Feed Software for Accountants/Lenders that find it impossible to get client's financial data.",34847,"$1M to $10M","6/1/2014","day","Financial Services, Lending and Investments, Professional Services, Software","2","11-50",3,430000,"3","Private","NA","NA","NA","1","Seed","7/18/2019","150000","Seed","NA","NA","NA"
"836",0,836,"Spero Foods","Food and Beverage, Food Processing, Marketing, Organic, Organic Food","Los Angeles, California, United States","Spero Foods produces and sells substitutes for dairy and eggs from plants.",19288,"NA","1/1/2016","year","Food and Beverage, Sales and Marketing, Sustainability","1","1-10",1,120000,"2","Private","NA","NA","1","NA","Seed","8/4/2018","120000","Pre-Seed","0","2","NA"
"423",1,423,"Experian","Analytics, Big Data, Credit, Cyber Security, Financial Services, Fraud Detection, Identity Management, Information Services","Costa Mesa, California, United States","Experian unlocks the power of data to create opportunities for consumers, businesses and society.",9306,"$1B to $10B","1/1/1980","year","Data and Analytics, Financial Services, Information Technology, Lending and Investments, Payments, Privacy and Security","NA","10001+",NA,NA,"NA","Public","2006-10-20","Made Acquisitions","32","NA","IPO",NA,"NA","NA","213","88","NA"
"511",0,511,"ForwardLine","Financial Services, Small and Medium Businesses","Woodland Hills, California, United States","ForwardLine is a non-bank lender providing small business owners, nationwide, with alternatives to traditional business loans.",11363,"$1M to $10M","1/1/2003","year","Financial Services","3","51-100",2,1.2e+08,"2","Private","NA","NA","NA","2","NA","9/26/2019","20000000","Venture - Series Unknown","0","5","NA"
"1070",0,1070,"OpenDrives","Data Storage, Homeland Security, Information Technology, Media and Entertainment, Software, Video Games","Los Angeles, California, United States","Open Drives builds network attached, shared storage solution for high resolution image and video workflows.",25020,"Less than $1M","3/29/2011","day","Gaming, Hardware, Information Technology, Media and Entertainment, Privacy and Security, Software","2","51-100",2,1.1e+07,"1","Private","NA","NA","NA","NA","NA","11/1/2015","8000000","Venture - Series Unknown","NA","NA","NA"
"1137",0,1137,"SOFIE","Biotechnology, Life Science, Medical Device","Culver City, California, United States","SOFIE is a molecular imaging company focused on empowering people with new PET technologies.",26909,"$100M to $500M","1/1/2008","year","Biotechnology, Health Care, Science and Engineering","3","251-500",5,17200000,"5","Private","NA","Made Acquisitions","NA","3","NA","10/5/2018","5000000","Grant","2","0","NA"
"1207",0,1207,"Unilev Capital Corporation","Leasing, Real Estate, Real Estate Investment","Beverly Hills, California, United States","Unilev Capital Corporation is a privately held real estate investment organization ",28703,"$1M to $10M","1/1/1993","day","Financial Services, Real Estate","1","11-50",1,7e+07,"1","Private","NA","NA","NA","1","NA","1/25/2018","70000000","Debt Financing","NA","NA","NA"
"949",0,949,"Wrazel","Angel Investment, Banking, Cannabis, Crowdfunding, E-Commerce, Internet, Small and Medium Businesses, Venture Capital","Irvine, California, United States","Cannabis Industry B2B Directory & Investment Marketplace",22258,"NA","1/1/2018","year","Commerce and Shopping, Community and Lifestyle, Financial Services, Food and Beverage, Health Care, Internet Services, Lending and Investments","1","11-50",2,3500000,"NA","Private","NA","NA","NA","NA","Seed","3/1/2019","3000000","Seed","NA","NA","NA"
"164",1,164,"Tongal","Communities, Content Creators, Media and Entertainment, Video","Santa Monica, California, United States","Tongal is an online platform for content creation, used by studios, brands, and talent from all over the world.",3714,"$10M to $50M","1/1/2009","year","Community and Lifestyle, Media and Entertainment, Video","3","11-50",5,36246010,"2","Private","NA","NA","1","1","Late Stage Venture","3/3/2020","13000000","Series D","0","7","NA"
"1624",0,1624,"Syntiant","Artificial Intelligence, Machine Learning, Semiconductor","Irvine, California, United States","Syntiant is a new breed of semiconductor company,  combining the best of deep learning and semiconductor design.",39885,"$1M to $10M","1/1/2017","year","Artificial Intelligence, Data and Analytics, Hardware, Science and Engineering, Software","4","NA",3,30059996,"12","Private","NA","NA","NA","2","Early Stage Venture","10/24/2018","25000000","Series B","0","2","NA"
"1072",0,1072,"NanoH2O","Nanotechnology, Water","Los Angeles, California, United States","NanoH2O enhances current polymer-based membranes with a nano-structured material that allows additional control of key membrane properties.",25125,"NA","1/1/2005","year","Natural Resources, Science and Engineering","1","NA",3,95500000,"7","Private","NA","Was Acquired","NA","3","M&A","4/30/2012","60500000","Venture - Series Unknown","4","4","NA"
"41",1,41,"OPSkins","E-Commerce, Gaming, Internet","Santa Monica, California, United States","OPSkins Marketplace is an online trading platform, where gamers around the world buy and sell digital items using real-life money.",875,"$1M to $10M","1/1/2015","year","Commerce and Shopping, Gaming, Internet Services","3","11-50",1,4.1e+07,"NA","Private","NA","NA","NA","NA","NA","11/13/2017","41000000","Initial Coin Offering","NA","NA","NA"
"1948",0,1948,"Opposing Views","Information Technology, News","Los Angeles, California, United States","Using compelling articles and videos, Opposing Views provides balanced coverage in an increasingly partisan media climate.",48396,"$1M to $10M","9/1/2007","day","Content and Publishing, Information Technology, Media and Entertainment","3","11-50",2,2e+06,"4","Private","NA","NA","NA","1","Early Stage Venture","6/1/2011","750000","Series A","NA","NA","NA"
"1693",0,1693,"eFlix","Digital Entertainment, Digital Media, TV, Video on Demand","West Hollywood, California, United States","eFlix enables internet entertainment service for its members across the globe.",41590,"$10M to $50M","8/10/2008","day","Media and Entertainment, Video","1","1-10",1,2e+05,"1","Private","NA","NA","NA","NA","Seed","8/10/2011","200000","Seed","NA","NA","NA"
"1372",0,1372,"TearClear","Chemical Engineering, Medical Device, Pharmaceutical","Orange, California, United States","TearClear Corp. is an early-stage, disruptive eye health technology company.",33147,"NA","12/15/2015","day","Health Care, Science and Engineering","3","NA",2,9499999,"2","Private","NA","NA","NA","2","Early Stage Venture","4/12/2019","4999999","Series A","NA","NA","NA"
"1915",0,1915,"Circular Systems","Information Technology","Los Angeles, California, United States","Circular Systems  is a  SPC provides Resource Solutions for the Circular Economy. ",47609,"NA","1/1/2017","year","Information Technology","1","1-10",2,250000,"1","Private","NA","NA","NA","1","NA","9/26/2019","NA","Corporate Round","0","5","NA"
"514",0,514,"PKRS.AI","Artificial Intelligence, Internet, Machine Learning, Sports","Santa Monica, California, United States","The future of personal coaching. AI powered, human enhanced.",11464,"NA","1/1/2018","day","Artificial Intelligence, Data and Analytics, Internet Services, Science and Engineering, Software, Sports","1","11-50",4,4095000,"1","Private","NA","NA","NA","1","Seed","9/20/2019","2750000","Seed","0","2","NA"
"1945",0,1945,"Supplyhub","B2B, Cloud Computing, CRM, E-Commerce, Enterprise Resource Planning (ERP), Industrial, PaaS, SaaS, Wholesale","Commerce, California, United States","SupplyHub is a SaaS based Marketplace platform designed for medium and large-sized businesses.",48343,"Less than $1M","1/1/2016","year","Commerce and Shopping, Information Technology, Internet Services, Sales and Marketing, Software","1","1-10",1,1500000,"NA","Private","NA","NA","NA","NA","Seed","11/14/2016","1500000","Seed","0","2","NA"
"1949",0,1949,"Wittlebee","E-Commerce, Fashion, Parenting","Culver City, California, United States","Wittlebee is a kids' clothing company offering custom packages based on a child’s age, color preferences, and geographic location.",48446,"NA","1/1/2012","year","Clothing and Apparel, Commerce and Shopping, Community and Lifestyle, Design","1","11-50",1,2500000,"6","Private","NA","Made Acquisitions, Was Acquired","NA","1","M&A","4/5/2012","2500000","Seed","NA","NA","NA"
"849",0,849,"Branded Online","E-Commerce, Internet, Online Portals","Costa Mesa, California, United States","Branded Online is a dynamic technology company that delivers enterprise-class ecommerce, marketing, and logistics solutions to brands.",19715,"$1M to $10M","1/1/2009","year","Commerce and Shopping, Internet Services","2","101-250",2,8332996,"3","Private","NA","NA","NA","NA","NA","6/14/2017","4332996","Venture - Series Unknown","0","8","NA"
"1297",0,1297,"ReadyForZero","Finance, FinTech, Software","Los Angeles, California, United States","ReadyForZero creates online financial software for actively managing personal debt and credit.",30951,"NA","5/1/2010","day","Financial Services, Software","2","11-50",3,4777000,"8","Private","NA","Was Acquired","NA","1","M&A","6/1/2011","4500000","Series A","NA","NA","NA"
"549",0,549,"Connexity","Advertising, E-Commerce, Internet, Internet of Things, Marketing, Online Portals","Los Angeles, California, United States","Connexity is an integrated digital advertising company providing optimized audience buying and selling solutions.",12096,"NA","7/1/1997","day","Advertising, Commerce and Shopping, Internet Services, Sales and Marketing","NA","501-1000",3,5e+06,"4","Private","NA","Made Acquisitions, Was Acquired","4","1","M&A","8/2/2012","3000000","Seed","10","40","NA"
"1139",0,1139,"BlueCava","Advertising, Information Technology, Software","Irvine, California, United States","BlueCava employs multiscreen identification and targeting technologies to provide consumer activity data to large brands.",26982,"NA","7/1/2010","day","Advertising, Information Technology, Sales and Marketing, Software","2","11-50",6,45527817,"4","Private","NA","Was Acquired","NA","3","M&A","9/3/2015","9795818","Venture - Series Unknown","NA","NA","NA"
"1263",0,1263,"Southern California Gas","Natural Resources, Oil and Gas","Los Angeles, California, United States","Southern California Gas Company (SoCalGas) has been delivering clean, safe and reliable natural gas to its customers for more than 140",30031,"$1B to $10B","1/1/1886","year","Energy, Natural Resources, Sustainability","NA","5001-10000",1,3e+06,"NA","Private","NA","NA","2","NA","NA","4/11/2019","3000000","Grant","0","7","NA"
"779",0,779,"Miramax","Film Distribution, Media and Entertainment, Video","Santa Monica, California, United States","Miramax produces and distributes films and television series in United States and internationally.",17962,"NA","1/1/1979","year","Media and Entertainment, Video","2","251-500",2,6.75e+08,"3","Private","NA","Was Acquired","NA","2","M&A","12/21/2019","375000000","Corporate Round","0","24","NA"
"337",1,337,"Ranker","Big Data, Data Center, Semantic Web","Los Angeles, California, United States","Ranker is a crowdsourced platform with curated lists of all topics.",7511,"$1M to $10M","5/2/2008","day","Data and Analytics, Hardware, Information Technology, Internet Services","1","101-250",4,5100000,"12","Private","NA","NA","NA","NA","NA","6/27/2013","2000000","Venture - Series Unknown","0","8","NA"
"743",0,743,"Live Nation Entertainment","Concerts, Digital Entertainment, Event Management, Event Promotion, Events, Media and Entertainment, Ticketing","Beverly Hills, California, United States","Live Nation Entertainment is the global leader in live entertainment events and concert promotion.",16940,"$1B to $10B","1/1/2005","day","Events, Media and Entertainment","NA","10001+",NA,NA,"NA","Public","2005-12-23","Made Acquisitions","8","NA","IPO",NA,"NA","NA","8","178","NA"
"1946",0,1946,"Harbor MedTech","Biotechnology, Life Science, Medical","Irvine, California, United States","Harbor MedTech develops and commercializes tissue regeneration products for chronic wounds, hernia and joint repair, and more.",48357,"$1M to $10M","1/1/2010","year","Biotechnology, Health Care, Science and Engineering","2","11-50",4,5757014,"4","Private","NA","NA","NA","NA","Late Stage Venture","9/5/2017","NA","Series C","4","6","NA"
"10",1,10,"Quibi","Media and Entertainment, TV, TV Production","Los Angeles, California, United States","Quibi is a media company developing short-form media content designed for smartphones.",113,"NA","1/1/2018","day","Media and Entertainment, Video","2","251-500",2,1.75e+09,"13","Private","NA","NA","NA","1","Private Equity","3/5/2020","750000000","Private Equity","0","2","NA"
"230",1,230,"INTELITY","Cloud Management, Enterprise Software, Hospitality, Mobile, PaaS, SaaS, Software, Travel","Los Angeles, California, United States","Enterprise technology platform that bridges the connection between service industry workforces and their customers.",5282,"$1M to $10M","1/1/2008","year","Information Technology, Internet Services, Mobile, Software, Travel and Tourism","4","51-100",8,6.3e+07,"11","Private","NA","Made Acquisitions","NA","3","NA","1/28/2019","44000000","Undisclosed","3","2","NA"
"1719",0,1719,"WebLife Balance","Cloud Security, Cyber Security, Network Security, Privacy, Web Browsers","Los Angeles, California, United States","Exceptional Web Browsing. Allowing enteprise customers to boldly go where we feared to browse before",42331,"NA","12/1/2013","day","Information Technology, Internet Services, Privacy and Security, Software","3","11-50",2,3500000,"NA","Private","NA","Was Acquired","NA","NA","M&A","11/1/2016","3000000","Series A","0","1","NA"
"1528",0,1528,"ImmunoCellular Therapeutics","Health Care, Health Diagnostics, Medical Device","Calabasas, California, United States","ImmunoCellular Therapeutics is focused on improving cancer treatment and diagnosis through the development of new immune-based products.",37041,"$10M to $50M","1/1/2006","year","Health Care","1","11-50",4,32470645,"2","Public","2013-01-11","NA","NA","2","IPO","9/24/2015","19900000","Grant","9","0","NA"
"1098",0,1098,"Rebound Therapeutics","Biotechnology, Medical Device, Therapeutics","Irvine, California, United States","Rebound Therapeutics is a medical device company.",25753,"Less than $1M","1/1/2015","year","Biotechnology, Health Care, Science and Engineering","2","NA",1,16500000,"3","Private","NA","Was Acquired","NA","3","M&A","7/25/2017","16500000","Series B","11","5","NA"
"1211",0,1211,"Privlo","Banking, Finance, Financial Services","Pasadena, California, United States","Privlo is a online lender for well-qualified borrowers who have fallen through the cracks inherent in the traditional agency.",28833,"NA","1/1/2011","year","Financial Services, Lending and Investments","2","11-50",3,355900000,"2","Private","NA","NA","1","2","Seed","7/30/2014","350000000","Debt Financing","NA","NA","NA"
"508",0,508,"ArmaGen Technologies","Biotechnology, Health Care, Medical","Santa Monica, California, United States","ArmaGen is focused on developing technologies for siRNA delivery across the blood-brain barrier.",11288,"$1M to $10M","1/1/2001","year","Biotechnology, Health Care, Science and Engineering","1","11-50",2,25492899,"4","Private","NA","Was Acquired","NA","1","M&A","11/29/2012","17000000","Series A","3","1","NA"
"1071",0,1071,"George Smith Partners","Commercial Real Estate, Real Estate","Los Angeles, California, United States","George Smith Partners is a real estate investment banking firm in Los Angeles.",25107,"$1M to $10M","1/1/1992","year","Real Estate","1","11-50",1,4.6e+08,"1","Private","NA","NA","6","1","NA","7/8/2019","460000000","Debt Financing","NA","NA","NA"
"409",1,409,"The Young Turks","Blogging Platforms, News, Politics, Video, Video Streaming","Los Angeles, California, United States","The Young Turks provides an online news show covering politics, pop culture and lifestyle.",9072,"$1M to $10M","2/14/2003","day","Content and Publishing, Government and Military, Media and Entertainment, Video","1","11-50",3,2.6e+07,"5","Private","NA","NA","NA","2","NA","8/8/2017","20000000","Venture - Series Unknown","0","3","NA"
"748",0,748,"Blizzard Entertainment","MMO Games, Software, Video Games","Irvine, California, United States","Blizzard Entertainment develops and publishes gaming software and computer games such as World of Warcraft, Hearthstone and StarCraft.",16993,"$50M to $100M","2/8/1991","day","Gaming, Software","3","5001-10000",NA,NA,"NA","Private","NA","Made Acquisitions","4","NA","NA",NA,"NA","NA","11","163","NA"
"31",1,31,"Cloud Imperium","Computer, Crowdfunding, Gaming, MMO Games, Online Games, PC Games, Video Games","West Hollywood, California, United States","Cloud Imperium aims to pave new ground in game development by sharing the process with the players.",577,"NA","1/1/2012","year","Consumer Electronics, Financial Services, Gaming, Hardware","3","501-1000",3,180916000,"5","Private","NA","NA","NA","2","NA","3/27/2020","17250000","Venture - Series Unknown","0","16","NA"
"151",1,151,"Yumi","Baby, Food and Beverage, Organic Food","Los Angeles, California, United States","Yumi offers a science-based early childhood meal delivery program.",3377,"$1M to $10M","1/1/2012","year","Food and Beverage","2","11-50",3,12099999,"20","Private","NA","NA","NA","5","Early Stage Venture","12/10/2019","8000000","Series A","0","9","NA"
"1838",0,1838,"Industrial Toys","Gaming, PC Games, Video Games","Pasadena, California, United States","We make mobile games for core gamers. Our first title, Midnight Star, is a re-imagining of the sci-fi shooter for mobile.",45506,"NA","1/1/2012","year","Gaming","3","11-50",1,5e+06,"2","Private","NA","Was Acquired","NA","1","M&A","3/31/2014","5000000","Series A","NA","NA","NA"
